query_run_id,region_ids,worker_task_region_ids,region_count,worker_task_region_count,regions_complete,worker_regions_complete,edge_ids,edge_source_region_ids,edge_destination_gac_ids,edge_count,edges_complete
20260802T003127Z-pressure-raw-v1-n3-colocation-holdou--370f1ef768c2--mit_k-100__tenant_modulus-1__user_id_max-2147483647,apac|eu|us,apac|eu|us,3,3,True,True,apac->eu-analytics-1|eu->eu-analytics-1|us->eu-analytics-1,apac|eu|us,eu-analytics-1,3,True
20260802T003342Z-pressure-raw-v1-n3-colocation-holdou--6101b7ee6e85--mit_k-100__tenant_modulus-1__user_id_max-2147483647,apac|eu|us,apac|eu|us,3,3,True,True,apac->eu-analytics-1|eu->eu-analytics-1|us->eu-analytics-1,apac|eu|us,eu-analytics-1,3,True
20260802T003721Z-pressure-raw-v1-n3-colocation-holdou--f57c9f511dc7--mit_k-100__tenant_modulus-1__user_id_max-2147483647,apac|eu|us,apac|eu|us,3,3,True,True,apac->eu-analytics-1|eu->eu-analytics-1|us->eu-analytics-1,apac|eu|us,eu-analytics-1,3,True
20260802T003827Z-pressure-raw-v1-n3-colocation-holdou--370f1ef768c2--mit_k-100__tenant_modulus-1__user_id_max-2147483647,apac|eu|us,apac|eu|us,3,3,True,True,apac->eu-analytics-1|eu->eu-analytics-1|us->eu-analytics-1,apac|eu|us,eu-analytics-1,3,True
20260802T004208Z-pressure-raw-v1-n3-colocation-holdou--6101b7ee6e85--mit_k-100__tenant_modulus-1__user_id_max-2147483647,apac|eu|us,apac|eu|us,3,3,True,True,apac->eu-analytics-1|eu->eu-analytics-1|us->eu-analytics-1,apac|eu|us,eu-analytics-1,3,True
20260802T004420Z-pressure-raw-v1-n3-colocation-holdou--101bb72944f7--mit_k-100__tenant_modulus-1__user_id_max-2147483647,apac|eu|us,apac|eu|us,3,3,True,True,apac->eu-analytics-1|eu->eu-analytics-1|us->eu-analytics-1,apac|eu|us,eu-analytics-1,3,True
20260802T004800Z-pressure-raw-v1-n3-colocation-holdou--f57c9f511dc7--mit_k-100__tenant_modulus-1__user_id_max-2147483647,apac|eu|us,apac|eu|us,3,3,True,True,apac->eu-analytics-1|eu->eu-analytics-1|us->eu-analytics-1,apac|eu|us,eu-analytics-1,3,True
20260802T004928Z-pressure-raw-v1-n3-colocation-holdou--52fbddce9d46--mit_k-100__tenant_modulus-1__user_id_max-2147483647,apac|eu|us,apac|eu|us,3,3,True,True,apac->eu-analytics-1|eu->eu-analytics-1|us->eu-analytics-1,apac|eu|us,eu-analytics-1,3,True
20260802T005039Z-pressure-raw-v1-n3-colocation-holdou--f57c9f511dc7--mit_k-100__tenant_modulus-1__user_id_max-2147483647,apac|eu|us,apac|eu|us,3,3,True,True,apac->eu-analytics-1|eu->eu-analytics-1|us->eu-analytics-1,apac|eu|us,eu-analytics-1,3,True
20260802T005145Z-pressure-raw-v1-n3-colocation-holdou--011e0c7a204a--mit_k-100__tenant_modulus-1__user_id_max-2147483647,apac|eu|us,apac|eu|us,3,3,True,True,apac->eu-analytics-1|eu->eu-analytics-1|us->eu-analytics-1,apac|eu|us,eu-analytics-1,3,True
20260802T005253Z-pressure-raw-v1-n3-colocation-holdou--afbd214de5e9--mit_k-100__tenant_modulus-1__user_id_max-2147483647,apac|eu|us,apac|eu|us,3,3,True,True,apac->eu-analytics-1|eu->eu-analytics-1|us->eu-analytics-1,apac|eu|us,eu-analytics-1,3,True
20260802T005404Z-pressure-raw-v1-n3-colocation-holdou--101bb72944f7--mit_k-100__tenant_modulus-1__user_id_max-2147483647,apac|eu|us,apac|eu|us,3,3,True,True,apac->eu-analytics-1|eu->eu-analytics-1|us->eu-analytics-1,apac|eu|us,eu-analytics-1,3,True
20260802T005620Z-pressure-raw-v1-n3-colocation-holdou--6101b7ee6e85--mit_k-100__tenant_modulus-1__user_id_max-2147483647,apac|eu|us,apac|eu|us,3,3,True,True,apac->eu-analytics-1|eu->eu-analytics-1|us->eu-analytics-1,apac|eu|us,eu-analytics-1,3,True
20260802T005834Z-pressure-raw-v1-n3-colocation-holdou--afbd214de5e9--mit_k-100__tenant_modulus-1__user_id_max-2147483647,apac|eu|us,apac|eu|us,3,3,True,True,apac->eu-analytics-1|eu->eu-analytics-1|us->eu-analytics-1,apac|eu|us,eu-analytics-1,3,True
20260802T010017Z-pressure-raw-v1-n3-colocation-holdou--101bb72944f7--mit_k-100__tenant_modulus-1__user_id_max-2147483647,apac|eu|us,apac|eu|us,3,3,True,True,apac->eu-analytics-1|eu->eu-analytics-1|us->eu-analytics-1,apac|eu|us,eu-analytics-1,3,True
20260802T010233Z-pressure-raw-v1-n3-colocation-holdou--011e0c7a204a--mit_k-100__tenant_modulus-1__user_id_max-2147483647,apac|eu|us,apac|eu|us,3,3,True,True,apac->eu-analytics-1|eu->eu-analytics-1|us->eu-analytics-1,apac|eu|us,eu-analytics-1,3,True
20260802T010404Z-pressure-raw-v1-n3-colocation-holdou--52fbddce9d46--mit_k-100__tenant_modulus-1__user_id_max-2147483647,apac|eu|us,apac|eu|us,3,3,True,True,apac->eu-analytics-1|eu->eu-analytics-1|us->eu-analytics-1,apac|eu|us,eu-analytics-1,3,True
20260802T010538Z-pressure-raw-v1-n3-colocation-holdou--52fbddce9d46--mit_k-100__tenant_modulus-1__user_id_max-2147483647,apac|eu|us,apac|eu|us,3,3,True,True,apac->eu-analytics-1|eu->eu-analytics-1|us->eu-analytics-1,apac|eu|us,eu-analytics-1,3,True
20260802T010647Z-pressure-raw-v1-n3-colocation-holdou--011e0c7a204a--mit_k-100__tenant_modulus-1__user_id_max-2147483647,apac|eu|us,apac|eu|us,3,3,True,True,apac->eu-analytics-1|eu->eu-analytics-1|us->eu-analytics-1,apac|eu|us,eu-analytics-1,3,True
20260802T010947Z-pressure-raw-v1-n3-colocation-holdou--29bd269d7867--mit_k-100__tenant_modulus-1__user_id_max-2147483647,apac|eu|us,apac|eu|us,3,3,True,True,apac->eu-analytics-1|eu->eu-analytics-1|us->eu-analytics-1,apac|eu|us,eu-analytics-1,3,True
20260802T011041Z-pressure-raw-v1-n3-colocation-holdou--4601264ca4e8--mit_k-100__tenant_modulus-1__user_id_max-2147483647,apac|eu|us,apac|eu|us,3,3,True,True,apac->eu-analytics-1|eu->eu-analytics-1|us->eu-analytics-1,apac|eu|us,eu-analytics-1,3,True
20260802T011156Z-pressure-raw-v1-n3-colocation-holdou--4601264ca4e8--mit_k-100__tenant_modulus-1__user_id_max-2147483647,apac|eu|us,apac|eu|us,3,3,True,True,apac->eu-analytics-1|eu->eu-analytics-1|us->eu-analytics-1,apac|eu|us,eu-analytics-1,3,True
20260802T011341Z-pressure-raw-v1-n3-colocation-holdou--29bd269d7867--mit_k-100__tenant_modulus-1__user_id_max-2147483647,apac|eu|us,apac|eu|us,3,3,True,True,apac->eu-analytics-1|eu->eu-analytics-1|us->eu-analytics-1,apac|eu|us,eu-analytics-1,3,True
20260802T011428Z-pressure-raw-v1-n3-colocation-holdou--c3cb1ae0db1a--mit_k-100__tenant_modulus-1__user_id_max-2147483647,apac|eu|us,apac|eu|us,3,3,True,True,apac->eu-analytics-1|eu->eu-analytics-1|us->eu-analytics-1,apac|eu|us,eu-analytics-1,3,True
20260802T011546Z-pressure-raw-v1-n3-colocation-holdou--02f2fd56b125--mit_k-100__tenant_modulus-1__user_id_max-2147483647,apac|eu|us,apac|eu|us,3,3,True,True,apac->eu-analytics-1|eu->eu-analytics-1|us->eu-analytics-1,apac|eu|us,eu-analytics-1,3,True
20260802T011633Z-pressure-raw-v1-n3-colocation-holdou--4601264ca4e8--mit_k-100__tenant_modulus-1__user_id_max-2147483647,apac|eu|us,apac|eu|us,3,3,True,True,apac->eu-analytics-1|eu->eu-analytics-1|us->eu-analytics-1,apac|eu|us,eu-analytics-1,3,True
20260802T011748Z-pressure-raw-v1-n3-colocation-holdou--dd0c13a59cd9--mit_k-100__tenant_modulus-1__user_id_max-2147483647,apac|eu|us,apac|eu|us,3,3,True,True,apac->eu-analytics-1|eu->eu-analytics-1|us->eu-analytics-1,apac|eu|us,eu-analytics-1,3,True
20260802T011935Z-pressure-raw-v1-n3-colocation-holdou--02f2fd56b125--mit_k-100__tenant_modulus-1__user_id_max-2147483647,apac|eu|us,apac|eu|us,3,3,True,True,apac->eu-analytics-1|eu->eu-analytics-1|us->eu-analytics-1,apac|eu|us,eu-analytics-1,3,True
20260802T012022Z-pressure-raw-v1-n3-colocation-holdou--dd0c13a59cd9--mit_k-100__tenant_modulus-1__user_id_max-2147483647,apac|eu|us,apac|eu|us,3,3,True,True,apac->eu-analytics-1|eu->eu-analytics-1|us->eu-analytics-1,apac|eu|us,eu-analytics-1,3,True
20260802T012138Z-pressure-raw-v1-n3-colocation-holdou--40141593d955--mit_k-100__tenant_modulus-1__user_id_max-2147483647,apac|eu|us,apac|eu|us,3,3,True,True,apac->eu-analytics-1|eu->eu-analytics-1|us->eu-analytics-1,apac|eu|us,eu-analytics-1,3,True
20260802T012253Z-pressure-raw-v1-n3-colocation-holdou--71e834aa1b54--mit_k-100__tenant_modulus-1__user_id_max-2147483647,apac|eu|us,apac|eu|us,3,3,True,True,apac->eu-analytics-1|eu->eu-analytics-1|us->eu-analytics-1,apac|eu|us,eu-analytics-1,3,True
20260802T012345Z-pressure-raw-v1-n3-colocation-holdou--29bd269d7867--mit_k-100__tenant_modulus-1__user_id_max-2147483647,apac|eu|us,apac|eu|us,3,3,True,True,apac->eu-analytics-1|eu->eu-analytics-1|us->eu-analytics-1,apac|eu|us,eu-analytics-1,3,True
20260802T012437Z-pressure-raw-v1-n3-colocation-holdou--3e14b8584a18--mit_k-100__tenant_modulus-1__user_id_max-2147483647,apac|eu|us,apac|eu|us,3,3,True,True,apac->eu-analytics-1|eu->eu-analytics-1|us->eu-analytics-1,apac|eu|us,eu-analytics-1,3,True
20260802T012533Z-pressure-raw-v1-n3-colocation-holdou--40141593d955--mit_k-100__tenant_modulus-1__user_id_max-2147483647,apac|eu|us,apac|eu|us,3,3,True,True,apac->eu-analytics-1|eu->eu-analytics-1|us->eu-analytics-1,apac|eu|us,eu-analytics-1,3,True
20260802T012649Z-pressure-raw-v1-n3-colocation-holdou--40141593d955--mit_k-100__tenant_modulus-1__user_id_max-2147483647,apac|eu|us,apac|eu|us,3,3,True,True,apac->eu-analytics-1|eu->eu-analytics-1|us->eu-analytics-1,apac|eu|us,eu-analytics-1,3,True
20260802T012834Z-pressure-raw-v1-n3-colocation-holdou--02f2fd56b125--mit_k-100__tenant_modulus-1__user_id_max-2147483647,apac|eu|us,apac|eu|us,3,3,True,True,apac->eu-analytics-1|eu->eu-analytics-1|us->eu-analytics-1,apac|eu|us,eu-analytics-1,3,True
20260802T012926Z-pressure-raw-v1-n3-colocation-holdou--c3cb1ae0db1a--mit_k-100__tenant_modulus-1__user_id_max-2147483647,apac|eu|us,apac|eu|us,3,3,True,True,apac->eu-analytics-1|eu->eu-analytics-1|us->eu-analytics-1,apac|eu|us,eu-analytics-1,3,True
20260802T013043Z-pressure-raw-v1-n3-colocation-holdou--71e834aa1b54--mit_k-100__tenant_modulus-1__user_id_max-2147483647,apac|eu|us,apac|eu|us,3,3,True,True,apac->eu-analytics-1|eu->eu-analytics-1|us->eu-analytics-1,apac|eu|us,eu-analytics-1,3,True
20260802T013130Z-pressure-raw-v1-n3-colocation-holdou--3e14b8584a18--mit_k-100__tenant_modulus-1__user_id_max-2147483647,apac|eu|us,apac|eu|us,3,3,True,True,apac->eu-analytics-1|eu->eu-analytics-1|us->eu-analytics-1,apac|eu|us,eu-analytics-1,3,True
20260802T013219Z-pressure-raw-v1-n3-colocation-holdou--71e834aa1b54--mit_k-100__tenant_modulus-1__user_id_max-2147483647,apac|eu|us,apac|eu|us,3,3,True,True,apac->eu-analytics-1|eu->eu-analytics-1|us->eu-analytics-1,apac|eu|us,eu-analytics-1,3,True
20260802T013305Z-pressure-raw-v1-n3-colocation-holdou--dd0c13a59cd9--mit_k-100__tenant_modulus-1__user_id_max-2147483647,apac|eu|us,apac|eu|us,3,3,True,True,apac->eu-analytics-1|eu->eu-analytics-1|us->eu-analytics-1,apac|eu|us,eu-analytics-1,3,True
20260802T013419Z-pressure-raw-v1-n3-colocation-holdou--3e14b8584a18--mit_k-100__tenant_modulus-1__user_id_max-2147483647,apac|eu|us,apac|eu|us,3,3,True,True,apac->eu-analytics-1|eu->eu-analytics-1|us->eu-analytics-1,apac|eu|us,eu-analytics-1,3,True
20260802T013507Z-pressure-raw-v1-n3-colocation-holdou--c3cb1ae0db1a--mit_k-100__tenant_modulus-1__user_id_max-2147483647,apac|eu|us,apac|eu|us,3,3,True,True,apac->eu-analytics-1|eu->eu-analytics-1|us->eu-analytics-1,apac|eu|us,eu-analytics-1,3,True
20260802T013841Z-pressure-raw-v1-n3-colocation-holdou--ced832e33eac--mit_k-100__tenant_modulus-1__user_id_max-2147483647,apac|eu|us,apac|eu|us,3,3,True,True,apac->eu-analytics-1|eu->eu-analytics-1|us->eu-analytics-1,apac|eu|us,eu-analytics-1,3,True
20260802T013934Z-pressure-raw-v1-n3-colocation-holdou--ced832e33eac--mit_k-100__tenant_modulus-1__user_id_max-2147483647,apac|eu|us,apac|eu|us,3,3,True,True,apac->eu-analytics-1|eu->eu-analytics-1|us->eu-analytics-1,apac|eu|us,eu-analytics-1,3,True
20260802T014027Z-pressure-raw-v1-n3-colocation-holdou--ba2b315f20fa--mit_k-100__tenant_modulus-1__user_id_max-2147483647,apac|eu|us,apac|eu|us,3,3,True,True,apac->eu-analytics-1|eu->eu-analytics-1|us->eu-analytics-1,apac|eu|us,eu-analytics-1,3,True
20260802T014210Z-pressure-raw-v1-n3-colocation-holdou--e3de66c1b2cb--mit_k-100__tenant_modulus-1__user_id_max-2147483647,apac|eu|us,apac|eu|us,3,3,True,True,apac->eu-analytics-1|eu->eu-analytics-1|us->eu-analytics-1,apac|eu|us,eu-analytics-1,3,True
20260802T014354Z-pressure-raw-v1-n3-colocation-holdou--e3de66c1b2cb--mit_k-100__tenant_modulus-1__user_id_max-2147483647,apac|eu|us,apac|eu|us,3,3,True,True,apac->eu-analytics-1|eu->eu-analytics-1|us->eu-analytics-1,apac|eu|us,eu-analytics-1,3,True
20260802T014508Z-pressure-raw-v1-n3-colocation-holdou--170d86fe9822--mit_k-100__tenant_modulus-1__user_id_max-2147483647,apac|eu|us,apac|eu|us,3,3,True,True,apac->eu-analytics-1|eu->eu-analytics-1|us->eu-analytics-1,apac|eu|us,eu-analytics-1,3,True
20260802T014555Z-pressure-raw-v1-n3-colocation-holdou--149997694680--mit_k-100__tenant_modulus-1__user_id_max-2147483647,apac|eu|us,apac|eu|us,3,3,True,True,apac->eu-analytics-1|eu->eu-analytics-1|us->eu-analytics-1,apac|eu|us,eu-analytics-1,3,True
