representation,feature,family,transform,included,source_scope,reason
coordinator_physical,worker_task_aggregate_node_count,worker,log1p,False,worker,excluded_multilayer_region_worker_edge_or_telemetry
full_multilayer,worker_task_aggregate_node_count,worker,log1p,True,worker,unchanged_existing_93_candidate_contract
coordinator_physical,worker_task_sort_node_count,worker,log1p,False,worker,excluded_multilayer_region_worker_edge_or_telemetry
full_multilayer,worker_task_sort_node_count,worker,log1p,True,worker,unchanged_existing_93_candidate_contract
coordinator_physical,worker_task_spill_count,worker,log1p,False,worker,excluded_multilayer_region_worker_edge_or_telemetry
full_multilayer,worker_task_spill_count,worker,log1p,True,worker,unchanged_existing_93_candidate_contract
coordinator_physical,worker_task_temp_written_sum,worker,log1p,False,worker,excluded_multilayer_region_worker_edge_or_telemetry
full_multilayer,worker_task_temp_written_sum,worker,log1p,True,worker,unchanged_existing_93_candidate_contract
coordinator_physical,worker_task_within_region_worker_scan_rows_cv_max,worker,identity,False,worker,excluded_multilayer_region_worker_edge_or_telemetry
full_multilayer,worker_task_within_region_worker_scan_rows_cv_max,worker,identity,True,worker,unchanged_existing_93_candidate_contract
coordinator_physical,worker_task_within_region_worker_scan_rows_max_share_max,worker,identity,False,worker,excluded_multilayer_region_worker_edge_or_telemetry
full_multilayer,worker_task_within_region_worker_scan_rows_max_share_max,worker,identity,True,worker,unchanged_existing_93_candidate_contract
coordinator_physical,regional_coordinator_tx_bytes_sum,telemetry,log1p,False,telemetry,excluded_multilayer_region_worker_edge_or_telemetry
full_multilayer,regional_coordinator_tx_bytes_sum,telemetry,log1p,True,telemetry,unchanged_existing_93_candidate_contract
coordinator_physical,analytics_rx_bytes_sum,telemetry,log1p,False,telemetry,excluded_multilayer_region_worker_edge_or_telemetry
full_multilayer,analytics_rx_bytes_sum,telemetry,log1p,True,telemetry,unchanged_existing_93_candidate_contract
coordinator_physical,worker_tx_bytes_sum,telemetry,log1p,False,telemetry,excluded_multilayer_region_worker_edge_or_telemetry
full_multilayer,worker_tx_bytes_sum,telemetry,log1p,True,telemetry,unchanged_existing_93_candidate_contract
coordinator_physical,os_cpu_busy_pct_mean,telemetry,identity,False,telemetry,excluded_multilayer_region_worker_edge_or_telemetry
full_multilayer,os_cpu_busy_pct_mean,telemetry,identity,True,telemetry,unchanged_existing_93_candidate_contract
coordinator_physical,os_cpu_busy_pct_max,telemetry,identity,False,telemetry,excluded_multilayer_region_worker_edge_or_telemetry
full_multilayer,os_cpu_busy_pct_max,telemetry,identity,True,telemetry,unchanged_existing_93_candidate_contract
coordinator_physical,os_mem_used_peak_bytes_max,telemetry,log1p,False,telemetry,excluded_multilayer_region_worker_edge_or_telemetry
full_multilayer,os_mem_used_peak_bytes_max,telemetry,log1p,True,telemetry,unchanged_existing_93_candidate_contract
coordinator_physical,os_disk_read_bytes_sum,telemetry,log1p,False,telemetry,excluded_multilayer_region_worker_edge_or_telemetry
full_multilayer,os_disk_read_bytes_sum,telemetry,log1p,True,telemetry,unchanged_existing_93_candidate_contract
coordinator_physical,os_disk_written_bytes_sum,telemetry,log1p,False,telemetry,excluded_multilayer_region_worker_edge_or_telemetry
full_multilayer,os_disk_written_bytes_sum,telemetry,log1p,True,telemetry,unchanged_existing_93_candidate_contract
coordinator_physical,os_net_rx_bytes_sum,telemetry,log1p,False,telemetry,excluded_multilayer_region_worker_edge_or_telemetry
full_multilayer,os_net_rx_bytes_sum,telemetry,log1p,True,telemetry,unchanged_existing_93_candidate_contract
coordinator_physical,os_net_tx_bytes_sum,telemetry,log1p,False,telemetry,excluded_multilayer_region_worker_edge_or_telemetry
full_multilayer,os_net_tx_bytes_sum,telemetry,log1p,True,telemetry,unchanged_existing_93_candidate_contract
coordinator_physical,os_tcp_retrans_segs_sum,telemetry,log1p,False,telemetry,excluded_multilayer_region_worker_edge_or_telemetry
full_multilayer,os_tcp_retrans_segs_sum,telemetry,log1p,True,telemetry,unchanged_existing_93_candidate_contract
coordinator_physical,os_tcp_timeouts_sum,telemetry,log1p,False,telemetry,excluded_multilayer_region_worker_edge_or_telemetry
full_multilayer,os_tcp_timeouts_sum,telemetry,log1p,True,telemetry,unchanged_existing_93_candidate_contract
coordinator_physical,edge_count,edge,log1p,False,edge,excluded_multilayer_region_worker_edge_or_telemetry
full_multilayer,edge_count,edge,log1p,True,edge,unchanged_existing_93_candidate_contract
coordinator_physical,edge_remote_rows_sum,edge,log1p,False,edge,excluded_multilayer_region_worker_edge_or_telemetry
full_multilayer,edge_remote_rows_sum,edge,log1p,True,edge,unchanged_existing_93_candidate_contract
coordinator_physical,edge_remote_rows_max_share,edge,identity,False,edge,excluded_multilayer_region_worker_edge_or_telemetry
full_multilayer,edge_remote_rows_max_share,edge,identity,True,edge,unchanged_existing_93_candidate_contract
coordinator_physical,edge_remote_bytes_sum,edge,log1p,False,edge,excluded_multilayer_region_worker_edge_or_telemetry
full_multilayer,edge_remote_bytes_sum,edge,log1p,True,edge,unchanged_existing_93_candidate_contract
coordinator_physical,edge_remote_bytes_max_share,edge,identity,False,edge,excluded_multilayer_region_worker_edge_or_telemetry
full_multilayer,edge_remote_bytes_max_share,edge,identity,True,edge,unchanged_existing_93_candidate_contract
coordinator_physical,edge_foreign_scan_time_ms_sum,edge,log1p,False,edge,excluded_multilayer_region_worker_edge_or_telemetry
full_multilayer,edge_foreign_scan_time_ms_sum,edge,log1p,True,edge,unchanged_existing_93_candidate_contract
coordinator_physical,edge_regional_plan_time_ms_sum,edge,log1p,False,edge,excluded_multilayer_region_worker_edge_or_telemetry
full_multilayer,edge_regional_plan_time_ms_sum,edge,log1p,True,edge,unchanged_existing_93_candidate_contract
coordinator_physical,edge_boundary_wait_ms_sum,edge,log1p,False,edge,excluded_multilayer_region_worker_edge_or_telemetry
full_multilayer,edge_boundary_wait_ms_sum,edge,log1p,True,edge,unchanged_existing_93_candidate_contract
coordinator_physical,edge_estimated_fetch_cycles_sum,edge,log1p,False,edge,excluded_multilayer_region_worker_edge_or_telemetry
full_multilayer,edge_estimated_fetch_cycles_sum,edge,log1p,True,edge,unchanged_existing_93_candidate_contract
coordinator_physical,edge_rtt_context_median_ms_mean,edge,log1p,False,edge,excluded_multilayer_region_worker_edge_or_telemetry
full_multilayer,edge_rtt_context_median_ms_mean,edge,log1p,True,edge,unchanged_existing_93_candidate_contract
coordinator_physical,edge_rtt_context_median_ms_max,edge,log1p,False,edge,excluded_multilayer_region_worker_edge_or_telemetry
full_multilayer,edge_rtt_context_median_ms_max,edge,log1p,True,edge,unchanged_existing_93_candidate_contract
coordinator_physical,edge_source_tx_bytes_sum,edge,log1p,False,edge,excluded_multilayer_region_worker_edge_or_telemetry
full_multilayer,edge_source_tx_bytes_sum,edge,log1p,True,edge,unchanged_existing_93_candidate_contract
coordinator_physical,edge_source_tx_bps_mean,edge,log1p,False,edge,excluded_multilayer_region_worker_edge_or_telemetry
full_multilayer,edge_source_tx_bps_mean,edge,log1p,True,edge,unchanged_existing_93_candidate_contract
coordinator_physical,edge_source_tx_bps_min,edge,log1p,False,edge,excluded_multilayer_region_worker_edge_or_telemetry
full_multilayer,edge_source_tx_bps_min,edge,log1p,True,edge,unchanged_existing_93_candidate_contract
coordinator_physical,edge_qdisc_drops_sum,edge,log1p,False,edge,excluded_multilayer_region_worker_edge_or_telemetry
full_multilayer,edge_qdisc_drops_sum,edge,log1p,True,edge,unchanged_existing_93_candidate_contract
coordinator_physical,edge_qdisc_overlimits_sum,edge,log1p,False,edge,excluded_multilayer_region_worker_edge_or_telemetry
full_multilayer,edge_qdisc_overlimits_sum,edge,log1p,True,edge,unchanged_existing_93_candidate_contract
coordinator_physical,edge_tcp_retrans_sum,edge,log1p,False,edge,excluded_multilayer_region_worker_edge_or_telemetry
full_multilayer,edge_tcp_retrans_sum,edge,log1p,True,edge,unchanged_existing_93_candidate_contract
coordinator_physical,edge_available_share,edge,identity,False,edge,excluded_multilayer_region_worker_edge_or_telemetry
full_multilayer,edge_available_share,edge,identity,True,edge,unchanged_existing_93_candidate_contract
