run_order,execution_slot_id,corpus_cell_id,condition_id,repetition_index,runtime_config_id,template_id
17,cond-5926239db67afb9d46cb::r0,q20_event_tenant_weighted__baseline,cond-5926239db67afb9d46cb,0,dba_topk_balanced_stressed,gac_fdw_dba_topk_raw
18,cond-b30a7fc475b723e301be::r0,q20_event_tenant_weighted__increase_gac_work_mem,cond-b30a7fc475b723e301be,0,dba_topk_balanced_gac_mitigated,gac_fdw_dba_topk_raw
19,cond-9283a7e79baf0172c0a6::r0,q20_event_tenant_weighted__mitigate_remote_path_bundle,cond-9283a7e79baf0172c0a6,0,dba_topk_balanced_remote_mitigated,gac_fdw_dba_topk_raw
20,cond-7ae32f0997ca20ccfaf7::r0,q20_event_tenant_weighted__regional_topk_candidates,cond-7ae32f0997ca20ccfaf7,0,dba_topk_balanced_stressed,gac_fdw_dba_topk_regional
21,cond-1ddc98899ffb69fd6f9c::r0,q25_tenant_day_avg__increase_gac_work_mem,cond-1ddc98899ffb69fd6f9c,0,dba_topk_balanced_gac_mitigated,gac_fdw_dba_topk_raw
22,cond-a28e3ac8abd2d1db0d3b::r0,q25_tenant_day_avg__regional_topk_candidates,cond-a28e3ac8abd2d1db0d3b,0,dba_topk_balanced_stressed,gac_fdw_dba_topk_regional
23,cond-a303f06d1d83f7eaea61::r0,q25_tenant_day_avg__baseline,cond-a303f06d1d83f7eaea61,0,dba_topk_balanced_stressed,gac_fdw_dba_topk_raw
24,cond-a31fb62a5a5f78eee06c::r0,q25_tenant_day_avg__mitigate_remote_path_bundle,cond-a31fb62a5a5f78eee06c,0,dba_topk_balanced_remote_mitigated,gac_fdw_dba_topk_raw
25,cond-84c446660059908a1502::r0,q21_tenant_value_range__regional_topk_candidates,cond-84c446660059908a1502,0,dba_topk_balanced_stressed,gac_fdw_dba_topk_regional
26,cond-45e1b3b75d664c5f6426::r0,q21_tenant_value_range__mitigate_remote_path_bundle,cond-45e1b3b75d664c5f6426,0,dba_topk_balanced_remote_mitigated,gac_fdw_dba_topk_raw
27,cond-15e89c93076e5554776a::r0,q21_tenant_value_range__increase_gac_work_mem,cond-15e89c93076e5554776a,0,dba_topk_balanced_gac_mitigated,gac_fdw_dba_topk_raw
28,cond-ff41e225c9daa4852d73::r0,q21_tenant_value_range__baseline,cond-ff41e225c9daa4852d73,0,dba_topk_balanced_stressed,gac_fdw_dba_topk_raw
29,cond-ae6bfc74ec4b88155b46::r0,q17_event_log_value__mitigate_remote_path_bundle,cond-ae6bfc74ec4b88155b46,0,dba_topk_balanced_remote_mitigated,gac_fdw_dba_topk_raw
30,cond-ffaf0f865cf7dc1409cc::r0,q17_event_log_value__baseline,cond-ffaf0f865cf7dc1409cc,0,dba_topk_balanced_stressed,gac_fdw_dba_topk_raw
31,cond-d640b35b387ab7459f6b::r0,q17_event_log_value__regional_topk_candidates,cond-d640b35b387ab7459f6b,0,dba_topk_balanced_stressed,gac_fdw_dba_topk_regional
32,cond-c08518b655f49020d9ab::r0,q17_event_log_value__increase_gac_work_mem,cond-c08518b655f49020d9ab,0,dba_topk_balanced_gac_mitigated,gac_fdw_dba_topk_raw
33,cond-333f20684c53a3cb86ae::r0,q22_tenant_distinct_users__baseline,cond-333f20684c53a3cb86ae,0,dba_topk_balanced_stressed,gac_fdw_dba_topk_raw
34,cond-af05aee8f4f3a1e281ce::r0,q22_tenant_distinct_users__increase_gac_work_mem,cond-af05aee8f4f3a1e281ce,0,dba_topk_balanced_gac_mitigated,gac_fdw_dba_topk_raw
35,cond-45acff50290f701783f3::r0,q22_tenant_distinct_users__mitigate_remote_path_bundle,cond-45acff50290f701783f3,0,dba_topk_balanced_remote_mitigated,gac_fdw_dba_topk_raw
36,cond-5946457e5fe45602d4c9::r0,q22_tenant_distinct_users__regional_topk_candidates,cond-5946457e5fe45602d4c9,0,dba_topk_balanced_stressed,gac_fdw_dba_topk_regional
37,cond-4036797e87876e752672::r0,q23_tenant_even_user_count__increase_gac_work_mem,cond-4036797e87876e752672,0,dba_topk_balanced_gac_mitigated,gac_fdw_dba_topk_raw
38,cond-f23cd7aab59e8ec5098d::r0,q23_tenant_even_user_count__regional_topk_candidates,cond-f23cd7aab59e8ec5098d,0,dba_topk_balanced_stressed,gac_fdw_dba_topk_regional
39,cond-a0db2eac4b88e0b54bdc::r0,q23_tenant_even_user_count__baseline,cond-a0db2eac4b88e0b54bdc,0,dba_topk_balanced_stressed,gac_fdw_dba_topk_raw
40,cond-e657cd5676494c699765::r0,q23_tenant_even_user_count__mitigate_remote_path_bundle,cond-e657cd5676494c699765,0,dba_topk_balanced_remote_mitigated,gac_fdw_dba_topk_raw
41,cond-e050755e4235df8d3cf3::r0,q16_event_value_squared__regional_topk_candidates,cond-e050755e4235df8d3cf3,0,dba_topk_balanced_stressed,gac_fdw_dba_topk_regional
42,cond-2546bf7240c2df6d63a8::r0,q16_event_value_squared__mitigate_remote_path_bundle,cond-2546bf7240c2df6d63a8,0,dba_topk_balanced_remote_mitigated,gac_fdw_dba_topk_raw
43,cond-dc94020b6c64b265c4d6::r0,q16_event_value_squared__increase_gac_work_mem,cond-dc94020b6c64b265c4d6,0,dba_topk_balanced_gac_mitigated,gac_fdw_dba_topk_raw
44,cond-be7744eddb28ec419dde::r0,q16_event_value_squared__baseline,cond-be7744eddb28ec419dde,0,dba_topk_balanced_stressed,gac_fdw_dba_topk_raw
45,cond-efd8889f42b630a339e9::r0,q30_user_day_sum__mitigate_remote_path_bundle,cond-efd8889f42b630a339e9,0,dba_topk_balanced_remote_mitigated,gac_fdw_dba_topk_raw
46,cond-5d0ef16459bfd07544ef::r0,q30_user_day_sum__baseline,cond-5d0ef16459bfd07544ef,0,dba_topk_balanced_stressed,gac_fdw_dba_topk_raw
47,cond-40a867772492e6202aa6::r0,q30_user_day_sum__regional_topk_candidates,cond-40a867772492e6202aa6,0,dba_topk_balanced_stressed,gac_fdw_dba_topk_regional
48,cond-0eab0fa927515555a83f::r0,q30_user_day_sum__increase_gac_work_mem,cond-0eab0fa927515555a83f,0,dba_topk_balanced_gac_mitigated,gac_fdw_dba_topk_raw
49,cond-dc01acff6e758d390b4a::r0,q19_event_old_low_value__baseline,cond-dc01acff6e758d390b4a,0,dba_topk_balanced_stressed,gac_fdw_dba_topk_raw
50,cond-ebc858113b618f505d31::r0,q19_event_old_low_value__increase_gac_work_mem,cond-ebc858113b618f505d31,0,dba_topk_balanced_gac_mitigated,gac_fdw_dba_topk_raw
51,cond-e080cd6be4eb1bdee62a::r0,q19_event_old_low_value__mitigate_remote_path_bundle,cond-e080cd6be4eb1bdee62a,0,dba_topk_balanced_remote_mitigated,gac_fdw_dba_topk_raw
52,cond-d1bf7e08b663c3f91ac6::r0,q19_event_old_low_value__regional_topk_candidates,cond-d1bf7e08b663c3f91ac6,0,dba_topk_balanced_stressed,gac_fdw_dba_topk_regional
53,cond-ba292ebb6b89446b3946::r0,q29_user_value_range__increase_gac_work_mem,cond-ba292ebb6b89446b3946,0,dba_topk_balanced_gac_mitigated,gac_fdw_dba_topk_raw
54,cond-1671ed2fbc5b758ad44e::r0,q29_user_value_range__regional_topk_candidates,cond-1671ed2fbc5b758ad44e,0,dba_topk_balanced_stressed,gac_fdw_dba_topk_regional
55,cond-907a996d966df8d95123::r0,q29_user_value_range__baseline,cond-907a996d966df8d95123,0,dba_topk_balanced_stressed,gac_fdw_dba_topk_raw
56,cond-f45b8496a90049d0b97d::r0,q29_user_value_range__mitigate_remote_path_bundle,cond-f45b8496a90049d0b97d,0,dba_topk_balanced_remote_mitigated,gac_fdw_dba_topk_raw
57,cond-853d379dfe002304522e::r0,q28_user_count__regional_topk_candidates,cond-853d379dfe002304522e,0,dba_topk_balanced_stressed,gac_fdw_dba_topk_regional
58,cond-a8b793a1a110500269f2::r0,q28_user_count__mitigate_remote_path_bundle,cond-a8b793a1a110500269f2,0,dba_topk_balanced_remote_mitigated,gac_fdw_dba_topk_raw
59,cond-2206c85945db8e92e8b5::r0,q28_user_count__increase_gac_work_mem,cond-2206c85945db8e92e8b5,0,dba_topk_balanced_gac_mitigated,gac_fdw_dba_topk_raw
60,cond-e518af9532fd3c8da41f::r0,q28_user_count__baseline,cond-e518af9532fd3c8da41f,0,dba_topk_balanced_stressed,gac_fdw_dba_topk_raw
61,cond-0eab0fa927515555a83f::r1,q30_user_day_sum__increase_gac_work_mem,cond-0eab0fa927515555a83f,1,dba_topk_balanced_gac_mitigated,gac_fdw_dba_topk_raw
62,cond-40a867772492e6202aa6::r1,q30_user_day_sum__regional_topk_candidates,cond-40a867772492e6202aa6,1,dba_topk_balanced_stressed,gac_fdw_dba_topk_regional
63,cond-5d0ef16459bfd07544ef::r1,q30_user_day_sum__baseline,cond-5d0ef16459bfd07544ef,1,dba_topk_balanced_stressed,gac_fdw_dba_topk_raw
64,cond-efd8889f42b630a339e9::r1,q30_user_day_sum__mitigate_remote_path_bundle,cond-efd8889f42b630a339e9,1,dba_topk_balanced_remote_mitigated,gac_fdw_dba_topk_raw
65,cond-84c446660059908a1502::r1,q21_tenant_value_range__regional_topk_candidates,cond-84c446660059908a1502,1,dba_topk_balanced_stressed,gac_fdw_dba_topk_regional
66,cond-45e1b3b75d664c5f6426::r1,q21_tenant_value_range__mitigate_remote_path_bundle,cond-45e1b3b75d664c5f6426,1,dba_topk_balanced_remote_mitigated,gac_fdw_dba_topk_raw
67,cond-15e89c93076e5554776a::r1,q21_tenant_value_range__increase_gac_work_mem,cond-15e89c93076e5554776a,1,dba_topk_balanced_gac_mitigated,gac_fdw_dba_topk_raw
68,cond-ff41e225c9daa4852d73::r1,q21_tenant_value_range__baseline,cond-ff41e225c9daa4852d73,1,dba_topk_balanced_stressed,gac_fdw_dba_topk_raw
69,cond-0c42c10f372ba8c3c4ed::r1,q18_event_recent_high_value__mitigate_remote_path_bundle,cond-0c42c10f372ba8c3c4ed,1,dba_topk_balanced_remote_mitigated,gac_fdw_dba_topk_raw
70,cond-38a3f871fc3298a9853c::r1,q18_event_recent_high_value__baseline,cond-38a3f871fc3298a9853c,1,dba_topk_balanced_stressed,gac_fdw_dba_topk_raw
71,cond-4d8790fa36869b64198e::r1,q18_event_recent_high_value__regional_topk_candidates,cond-4d8790fa36869b64198e,1,dba_topk_balanced_stressed,gac_fdw_dba_topk_regional
72,cond-c10c256b51a09fd89b2c::r1,q18_event_recent_high_value__increase_gac_work_mem,cond-c10c256b51a09fd89b2c,1,dba_topk_balanced_gac_mitigated,gac_fdw_dba_topk_raw
73,cond-5926239db67afb9d46cb::r1,q20_event_tenant_weighted__baseline,cond-5926239db67afb9d46cb,1,dba_topk_balanced_stressed,gac_fdw_dba_topk_raw
74,cond-b30a7fc475b723e301be::r1,q20_event_tenant_weighted__increase_gac_work_mem,cond-b30a7fc475b723e301be,1,dba_topk_balanced_gac_mitigated,gac_fdw_dba_topk_raw
75,cond-9283a7e79baf0172c0a6::r1,q20_event_tenant_weighted__mitigate_remote_path_bundle,cond-9283a7e79baf0172c0a6,1,dba_topk_balanced_remote_mitigated,gac_fdw_dba_topk_raw
76,cond-7ae32f0997ca20ccfaf7::r1,q20_event_tenant_weighted__regional_topk_candidates,cond-7ae32f0997ca20ccfaf7,1,dba_topk_balanced_stressed,gac_fdw_dba_topk_regional
77,cond-ba292ebb6b89446b3946::r1,q29_user_value_range__increase_gac_work_mem,cond-ba292ebb6b89446b3946,1,dba_topk_balanced_gac_mitigated,gac_fdw_dba_topk_raw
78,cond-1671ed2fbc5b758ad44e::r1,q29_user_value_range__regional_topk_candidates,cond-1671ed2fbc5b758ad44e,1,dba_topk_balanced_stressed,gac_fdw_dba_topk_regional
79,cond-907a996d966df8d95123::r1,q29_user_value_range__baseline,cond-907a996d966df8d95123,1,dba_topk_balanced_stressed,gac_fdw_dba_topk_raw
80,cond-f45b8496a90049d0b97d::r1,q29_user_value_range__mitigate_remote_path_bundle,cond-f45b8496a90049d0b97d,1,dba_topk_balanced_remote_mitigated,gac_fdw_dba_topk_raw
81,cond-e050755e4235df8d3cf3::r1,q16_event_value_squared__regional_topk_candidates,cond-e050755e4235df8d3cf3,1,dba_topk_balanced_stressed,gac_fdw_dba_topk_regional
82,cond-2546bf7240c2df6d63a8::r1,q16_event_value_squared__mitigate_remote_path_bundle,cond-2546bf7240c2df6d63a8,1,dba_topk_balanced_remote_mitigated,gac_fdw_dba_topk_raw
83,cond-dc94020b6c64b265c4d6::r1,q16_event_value_squared__increase_gac_work_mem,cond-dc94020b6c64b265c4d6,1,dba_topk_balanced_gac_mitigated,gac_fdw_dba_topk_raw
84,cond-be7744eddb28ec419dde::r1,q16_event_value_squared__baseline,cond-be7744eddb28ec419dde,1,dba_topk_balanced_stressed,gac_fdw_dba_topk_raw
85,cond-5210f09d3fae149ac1a3::r1,q26_tenant_hour_count__mitigate_remote_path_bundle,cond-5210f09d3fae149ac1a3,1,dba_topk_balanced_remote_mitigated,gac_fdw_dba_topk_raw
86,cond-e5f2ec8c336eb7496803::r1,q26_tenant_hour_count__baseline,cond-e5f2ec8c336eb7496803,1,dba_topk_balanced_stressed,gac_fdw_dba_topk_raw
87,cond-14e51d1d6f691b698a2d::r1,q26_tenant_hour_count__regional_topk_candidates,cond-14e51d1d6f691b698a2d,1,dba_topk_balanced_stressed,gac_fdw_dba_topk_regional
88,cond-8f34877def719a77b255::r1,q26_tenant_hour_count__increase_gac_work_mem,cond-8f34877def719a77b255,1,dba_topk_balanced_gac_mitigated,gac_fdw_dba_topk_raw
89,cond-72bd6c176bb9592b27fa::r1,q27_user_sum__baseline,cond-72bd6c176bb9592b27fa,1,dba_topk_balanced_stressed,gac_fdw_dba_topk_raw
90,cond-416644b0da6a48c2b9b7::r1,q27_user_sum__increase_gac_work_mem,cond-416644b0da6a48c2b9b7,1,dba_topk_balanced_gac_mitigated,gac_fdw_dba_topk_raw
91,cond-f90916670f1125d505bb::r1,q27_user_sum__mitigate_remote_path_bundle,cond-f90916670f1125d505bb,1,dba_topk_balanced_remote_mitigated,gac_fdw_dba_topk_raw
92,cond-ef17f7aa2b5811d0873a::r1,q27_user_sum__regional_topk_candidates,cond-ef17f7aa2b5811d0873a,1,dba_topk_balanced_stressed,gac_fdw_dba_topk_regional
93,cond-af05aee8f4f3a1e281ce::r1,q22_tenant_distinct_users__increase_gac_work_mem,cond-af05aee8f4f3a1e281ce,1,dba_topk_balanced_gac_mitigated,gac_fdw_dba_topk_raw
94,cond-5946457e5fe45602d4c9::r1,q22_tenant_distinct_users__regional_topk_candidates,cond-5946457e5fe45602d4c9,1,dba_topk_balanced_stressed,gac_fdw_dba_topk_regional
95,cond-333f20684c53a3cb86ae::r1,q22_tenant_distinct_users__baseline,cond-333f20684c53a3cb86ae,1,dba_topk_balanced_stressed,gac_fdw_dba_topk_raw
96,cond-45acff50290f701783f3::r1,q22_tenant_distinct_users__mitigate_remote_path_bundle,cond-45acff50290f701783f3,1,dba_topk_balanced_remote_mitigated,gac_fdw_dba_topk_raw
97,cond-711872a79328bba478df::r1,q24_tenant_midband_sum__regional_topk_candidates,cond-711872a79328bba478df,1,dba_topk_balanced_stressed,gac_fdw_dba_topk_regional
98,cond-ddc9360c1d096719515d::r1,q24_tenant_midband_sum__mitigate_remote_path_bundle,cond-ddc9360c1d096719515d,1,dba_topk_balanced_remote_mitigated,gac_fdw_dba_topk_raw
99,cond-75f64252c841322ea368::r1,q24_tenant_midband_sum__increase_gac_work_mem,cond-75f64252c841322ea368,1,dba_topk_balanced_gac_mitigated,gac_fdw_dba_topk_raw
100,cond-c793f69100da9d8073a9::r1,q24_tenant_midband_sum__baseline,cond-c793f69100da9d8073a9,1,dba_topk_balanced_stressed,gac_fdw_dba_topk_raw
101,cond-e080cd6be4eb1bdee62a::r1,q19_event_old_low_value__mitigate_remote_path_bundle,cond-e080cd6be4eb1bdee62a,1,dba_topk_balanced_remote_mitigated,gac_fdw_dba_topk_raw
102,cond-dc01acff6e758d390b4a::r1,q19_event_old_low_value__baseline,cond-dc01acff6e758d390b4a,1,dba_topk_balanced_stressed,gac_fdw_dba_topk_raw
103,cond-d1bf7e08b663c3f91ac6::r1,q19_event_old_low_value__regional_topk_candidates,cond-d1bf7e08b663c3f91ac6,1,dba_topk_balanced_stressed,gac_fdw_dba_topk_regional
104,cond-ebc858113b618f505d31::r1,q19_event_old_low_value__increase_gac_work_mem,cond-ebc858113b618f505d31,1,dba_topk_balanced_gac_mitigated,gac_fdw_dba_topk_raw
105,cond-a0db2eac4b88e0b54bdc::r1,q23_tenant_even_user_count__baseline,cond-a0db2eac4b88e0b54bdc,1,dba_topk_balanced_stressed,gac_fdw_dba_topk_raw
106,cond-4036797e87876e752672::r1,q23_tenant_even_user_count__increase_gac_work_mem,cond-4036797e87876e752672,1,dba_topk_balanced_gac_mitigated,gac_fdw_dba_topk_raw
107,cond-e657cd5676494c699765::r1,q23_tenant_even_user_count__mitigate_remote_path_bundle,cond-e657cd5676494c699765,1,dba_topk_balanced_remote_mitigated,gac_fdw_dba_topk_raw
108,cond-f23cd7aab59e8ec5098d::r1,q23_tenant_even_user_count__regional_topk_candidates,cond-f23cd7aab59e8ec5098d,1,dba_topk_balanced_stressed,gac_fdw_dba_topk_regional
109,cond-2206c85945db8e92e8b5::r1,q28_user_count__increase_gac_work_mem,cond-2206c85945db8e92e8b5,1,dba_topk_balanced_gac_mitigated,gac_fdw_dba_topk_raw
110,cond-853d379dfe002304522e::r1,q28_user_count__regional_topk_candidates,cond-853d379dfe002304522e,1,dba_topk_balanced_stressed,gac_fdw_dba_topk_regional
111,cond-e518af9532fd3c8da41f::r1,q28_user_count__baseline,cond-e518af9532fd3c8da41f,1,dba_topk_balanced_stressed,gac_fdw_dba_topk_raw
112,cond-a8b793a1a110500269f2::r1,q28_user_count__mitigate_remote_path_bundle,cond-a8b793a1a110500269f2,1,dba_topk_balanced_remote_mitigated,gac_fdw_dba_topk_raw
113,cond-d640b35b387ab7459f6b::r1,q17_event_log_value__regional_topk_candidates,cond-d640b35b387ab7459f6b,1,dba_topk_balanced_stressed,gac_fdw_dba_topk_regional
114,cond-ae6bfc74ec4b88155b46::r1,q17_event_log_value__mitigate_remote_path_bundle,cond-ae6bfc74ec4b88155b46,1,dba_topk_balanced_remote_mitigated,gac_fdw_dba_topk_raw
115,cond-c08518b655f49020d9ab::r1,q17_event_log_value__increase_gac_work_mem,cond-c08518b655f49020d9ab,1,dba_topk_balanced_gac_mitigated,gac_fdw_dba_topk_raw
116,cond-ffaf0f865cf7dc1409cc::r1,q17_event_log_value__baseline,cond-ffaf0f865cf7dc1409cc,1,dba_topk_balanced_stressed,gac_fdw_dba_topk_raw
117,cond-a31fb62a5a5f78eee06c::r1,q25_tenant_day_avg__mitigate_remote_path_bundle,cond-a31fb62a5a5f78eee06c,1,dba_topk_balanced_remote_mitigated,gac_fdw_dba_topk_raw
118,cond-a303f06d1d83f7eaea61::r1,q25_tenant_day_avg__baseline,cond-a303f06d1d83f7eaea61,1,dba_topk_balanced_stressed,gac_fdw_dba_topk_raw
119,cond-a28e3ac8abd2d1db0d3b::r1,q25_tenant_day_avg__regional_topk_candidates,cond-a28e3ac8abd2d1db0d3b,1,dba_topk_balanced_stressed,gac_fdw_dba_topk_regional
120,cond-1ddc98899ffb69fd6f9c::r1,q25_tenant_day_avg__increase_gac_work_mem,cond-1ddc98899ffb69fd6f9c,1,dba_topk_balanced_gac_mitigated,gac_fdw_dba_topk_raw
121,cond-7ae32f0997ca20ccfaf7::r2,q20_event_tenant_weighted__regional_topk_candidates,cond-7ae32f0997ca20ccfaf7,2,dba_topk_balanced_stressed,gac_fdw_dba_topk_regional
122,cond-9283a7e79baf0172c0a6::r2,q20_event_tenant_weighted__mitigate_remote_path_bundle,cond-9283a7e79baf0172c0a6,2,dba_topk_balanced_remote_mitigated,gac_fdw_dba_topk_raw
123,cond-b30a7fc475b723e301be::r2,q20_event_tenant_weighted__increase_gac_work_mem,cond-b30a7fc475b723e301be,2,dba_topk_balanced_gac_mitigated,gac_fdw_dba_topk_raw
124,cond-5926239db67afb9d46cb::r2,q20_event_tenant_weighted__baseline,cond-5926239db67afb9d46cb,2,dba_topk_balanced_stressed,gac_fdw_dba_topk_raw
125,cond-efd8889f42b630a339e9::r2,q30_user_day_sum__mitigate_remote_path_bundle,cond-efd8889f42b630a339e9,2,dba_topk_balanced_remote_mitigated,gac_fdw_dba_topk_raw
126,cond-5d0ef16459bfd07544ef::r2,q30_user_day_sum__baseline,cond-5d0ef16459bfd07544ef,2,dba_topk_balanced_stressed,gac_fdw_dba_topk_raw
127,cond-40a867772492e6202aa6::r2,q30_user_day_sum__regional_topk_candidates,cond-40a867772492e6202aa6,2,dba_topk_balanced_stressed,gac_fdw_dba_topk_regional
128,cond-0eab0fa927515555a83f::r2,q30_user_day_sum__increase_gac_work_mem,cond-0eab0fa927515555a83f,2,dba_topk_balanced_gac_mitigated,gac_fdw_dba_topk_raw
129,cond-e5f2ec8c336eb7496803::r2,q26_tenant_hour_count__baseline,cond-e5f2ec8c336eb7496803,2,dba_topk_balanced_stressed,gac_fdw_dba_topk_raw
130,cond-8f34877def719a77b255::r2,q26_tenant_hour_count__increase_gac_work_mem,cond-8f34877def719a77b255,2,dba_topk_balanced_gac_mitigated,gac_fdw_dba_topk_raw
131,cond-5210f09d3fae149ac1a3::r2,q26_tenant_hour_count__mitigate_remote_path_bundle,cond-5210f09d3fae149ac1a3,2,dba_topk_balanced_remote_mitigated,gac_fdw_dba_topk_raw
132,cond-14e51d1d6f691b698a2d::r2,q26_tenant_hour_count__regional_topk_candidates,cond-14e51d1d6f691b698a2d,2,dba_topk_balanced_stressed,gac_fdw_dba_topk_regional
133,cond-4036797e87876e752672::r2,q23_tenant_even_user_count__increase_gac_work_mem,cond-4036797e87876e752672,2,dba_topk_balanced_gac_mitigated,gac_fdw_dba_topk_raw
134,cond-f23cd7aab59e8ec5098d::r2,q23_tenant_even_user_count__regional_topk_candidates,cond-f23cd7aab59e8ec5098d,2,dba_topk_balanced_stressed,gac_fdw_dba_topk_regional
135,cond-a0db2eac4b88e0b54bdc::r2,q23_tenant_even_user_count__baseline,cond-a0db2eac4b88e0b54bdc,2,dba_topk_balanced_stressed,gac_fdw_dba_topk_raw
136,cond-e657cd5676494c699765::r2,q23_tenant_even_user_count__mitigate_remote_path_bundle,cond-e657cd5676494c699765,2,dba_topk_balanced_remote_mitigated,gac_fdw_dba_topk_raw
137,cond-e050755e4235df8d3cf3::r2,q16_event_value_squared__regional_topk_candidates,cond-e050755e4235df8d3cf3,2,dba_topk_balanced_stressed,gac_fdw_dba_topk_regional
138,cond-2546bf7240c2df6d63a8::r2,q16_event_value_squared__mitigate_remote_path_bundle,cond-2546bf7240c2df6d63a8,2,dba_topk_balanced_remote_mitigated,gac_fdw_dba_topk_raw
139,cond-dc94020b6c64b265c4d6::r2,q16_event_value_squared__increase_gac_work_mem,cond-dc94020b6c64b265c4d6,2,dba_topk_balanced_gac_mitigated,gac_fdw_dba_topk_raw
140,cond-be7744eddb28ec419dde::r2,q16_event_value_squared__baseline,cond-be7744eddb28ec419dde,2,dba_topk_balanced_stressed,gac_fdw_dba_topk_raw
141,cond-e080cd6be4eb1bdee62a::r2,q19_event_old_low_value__mitigate_remote_path_bundle,cond-e080cd6be4eb1bdee62a,2,dba_topk_balanced_remote_mitigated,gac_fdw_dba_topk_raw
142,cond-dc01acff6e758d390b4a::r2,q19_event_old_low_value__baseline,cond-dc01acff6e758d390b4a,2,dba_topk_balanced_stressed,gac_fdw_dba_topk_raw
143,cond-d1bf7e08b663c3f91ac6::r2,q19_event_old_low_value__regional_topk_candidates,cond-d1bf7e08b663c3f91ac6,2,dba_topk_balanced_stressed,gac_fdw_dba_topk_regional
144,cond-ebc858113b618f505d31::r2,q19_event_old_low_value__increase_gac_work_mem,cond-ebc858113b618f505d31,2,dba_topk_balanced_gac_mitigated,gac_fdw_dba_topk_raw
145,cond-333f20684c53a3cb86ae::r2,q22_tenant_distinct_users__baseline,cond-333f20684c53a3cb86ae,2,dba_topk_balanced_stressed,gac_fdw_dba_topk_raw
146,cond-af05aee8f4f3a1e281ce::r2,q22_tenant_distinct_users__increase_gac_work_mem,cond-af05aee8f4f3a1e281ce,2,dba_topk_balanced_gac_mitigated,gac_fdw_dba_topk_raw
147,cond-45acff50290f701783f3::r2,q22_tenant_distinct_users__mitigate_remote_path_bundle,cond-45acff50290f701783f3,2,dba_topk_balanced_remote_mitigated,gac_fdw_dba_topk_raw
148,cond-5946457e5fe45602d4c9::r2,q22_tenant_distinct_users__regional_topk_candidates,cond-5946457e5fe45602d4c9,2,dba_topk_balanced_stressed,gac_fdw_dba_topk_regional
