matrix,source_feature,output_feature,status,reason,transform,imputation,center,scale,null_fraction,non_null_count,distinct_non_null_count
m0,worker_node_count_merge_join,worker_node_count_merge_join__is_missing,kept,missing_indicator,identity,not_applicable,0.08,0.2712931993250107,,,2
m0,worker_node_count_nested_loop,worker_node_count_nested_loop__is_missing,kept,missing_indicator,identity,not_applicable,0.08,0.2712931993250107,,,2
m0,worker_node_count_sort,worker_node_count_sort__is_missing,kept,missing_indicator,identity,not_applicable,0.08,0.2712931993250107,,,2
m0,worker_node_count_incremental_sort,worker_node_count_incremental_sort__is_missing,kept,missing_indicator,identity,not_applicable,0.08,0.2712931993250107,,,2
m0,worker_node_count_hash_aggregate,worker_node_count_hash_aggregate__is_missing,kept,missing_indicator,identity,not_applicable,0.08,0.2712931993250107,,,2
m0,worker_node_count_group_aggregate,worker_node_count_group_aggregate__is_missing,kept,missing_indicator,identity,not_applicable,0.08,0.2712931993250107,,,2
m0,worker_node_count_aggregate,worker_node_count_aggregate,kept,,log1p,median,0.08348774539791275,0.584414217785389,0.08,138,2
m0,worker_node_count_aggregate,worker_node_count_aggregate__is_missing,kept,missing_indicator,identity,not_applicable,0.08,0.2712931993250107,,,2
m0,worker_node_count_materialize,worker_node_count_materialize__is_missing,kept,missing_indicator,identity,not_applicable,0.08,0.2712931993250107,,,2
m0,worker_node_count_memoize,worker_node_count_memoize__is_missing,kept,missing_indicator,identity,not_applicable,0.08,0.2712931993250107,,,2
m0,worker_node_count_other,worker_node_count_other__is_missing,kept,missing_indicator,identity,not_applicable,0.08,0.2712931993250107,,,2
m1,main_plan_node_count,main_plan_node_count,kept,,log1p,none,2.3938336724886944,0.531094798809607,0.0,150,9
m1,main_plan_max_depth,main_plan_max_depth,kept,,identity,none,6.24,3.0825963083089554,0.0,150,6
m1,main_plan_leaf_count,main_plan_leaf_count,kept,,identity,none,2.6,1.3114877048604001,0.0,150,4
m1,main_plan_branch_node_count,main_plan_branch_node_count,kept,,log1p,none,2.142601241755141,0.5773842862296565,0.0,150,8
m1,main_plan_avg_branching_factor,main_plan_avg_branching_factor,kept,,identity,none,1.1760657034743722,0.08992262733044806,0.0,150,8
m1,main_plan_max_branching_factor,main_plan_max_branching_factor,kept,,identity,none,1.92,0.2712931993250107,0.0,150,2
m1,remote_plan_leaf_count_sum,remote_plan_leaf_count_sum,kept,,log1p,median,1.354260540688899,0.5186933980394092,0.04,144,4
m1,remote_plan_leaf_count_sum,remote_plan_leaf_count_sum__is_missing,kept,missing_indicator,identity,not_applicable,0.04,0.19595917942265423,,,2
m1,remote_plan_avg_branching_factor,remote_plan_avg_branching_factor,kept,,identity,median,0.06,0.23748684174075832,0.04,144,2
m1,remote_plan_avg_branching_factor,remote_plan_avg_branching_factor__is_missing,kept,missing_indicator,identity,not_applicable,0.04,0.19595917942265423,,,2
m1,aggregate_min_depth,aggregate_min_depth,kept,,identity,median,1.54,0.8052328855678959,0.12,132,3
m1,aggregate_min_depth,aggregate_min_depth__is_missing,kept,missing_indicator,identity,not_applicable,0.12,0.32496153618543844,,,2
m1,aggregate_max_depth,aggregate_max_depth,kept,,identity,median,4.72,1.8659046063504963,0.12,132,5
m1,aggregate_max_depth,aggregate_max_depth__is_missing,kept,missing_indicator,identity,not_applicable,0.12,0.32496153618543844,,,2
m1,sort_min_depth,sort_min_depth,kept,,identity,median,0.9,0.3,0.2,120,2
m1,sort_min_depth,sort_min_depth__is_missing,kept,missing_indicator,identity,not_applicable,0.2,0.4,,,2
m1,sort_max_depth,sort_max_depth,kept,,identity,median,3.74,2.890051902648117,0.2,120,5
m1,sort_max_depth,sort_max_depth__is_missing,kept,missing_indicator,identity,not_applicable,0.2,0.4,,,2
m1,join_min_depth,join_min_depth__is_missing,kept,missing_indicator,identity,not_applicable,0.74,0.4386342439892262,,,2
m1,join_max_depth,join_max_depth,kept,,identity,median,8.16,0.5425863986500215,0.74,39,2
m1,join_max_depth,join_max_depth__is_missing,kept,missing_indicator,identity,not_applicable,0.74,0.4386342439892262,,,2
m1,foreign_scan_min_depth,foreign_scan_min_depth,kept,,identity,median,6.34,2.494874746355015,0.08,138,5
m1,foreign_scan_min_depth,foreign_scan_min_depth__is_missing,kept,missing_indicator,identity,not_applicable,0.08,0.2712931993250107,,,2
m1,foreign_scan_max_depth,foreign_scan_max_depth,kept,,identity,median,6.6,2.8774989139876315,0.08,138,5
m1,foreign_scan_max_depth,foreign_scan_max_depth__is_missing,kept,missing_indicator,identity,not_applicable,0.08,0.2712931993250107,,,2
m1,aggregate_above_foreign_scan,aggregate_above_foreign_scan,kept,,identity,none,0.84,0.3666060555964672,0.0,150,2
m1,sort_above_foreign_scan,sort_above_foreign_scan,kept,,identity,none,0.72,0.44899888641287294,0.0,150,2
m1,limit_above_foreign_scan,limit_above_foreign_scan,kept,,identity,none,0.62,0.48538644398046393,0.0,150,2
m1,join_above_foreign_scan,join_above_foreign_scan,kept,,identity,none,0.26,0.4386342439892262,0.0,150,2
m1,foreign_scan_under_aggregate,foreign_scan_under_aggregate,kept,,identity,none,0.84,0.3666060555964672,0.0,150,2
m1,foreign_scan_under_sort,foreign_scan_under_sort,kept,,identity,none,0.72,0.44899888641287294,0.0,150,2
m1,remote_aggregate_present,remote_aggregate_present,kept,,identity,none,0.06,0.23748684174075832,0.0,150,2
