matrix,query_run_id,kept,reason
m0,20260702T021024Z-clean-run-eu-us-gac-region-asymmetry--d4f1466f9afd--multi_dimension_rollup__lookback_days-7__limit_k-50,1,
m0,20260702T021043Z-clean-run-eu-us-gac-region-asymmetry--0761e2bca224--egion_global_user_join__lookback_days-7__limit_k-50,1,
m0,20260702T021101Z-clean-run-eu-us-gac-region-asymmetry--5dbe60075f81--gion_global_user_join__lookback_days-30__limit_k-50,1,
m0,20260702T021123Z-clean-run-eu-us-gac-region-asymmetry--59c005cf99e2--ultiregion_top_tenants__lookback_days-1__limit_k-50,1,
m0,20260702T021139Z-clean-run-eu-us-gac-region-asymmetry--7acb6ab2fff1--ent_filter_summary__lookback_days-30__min_value-500,1,
m0,20260702T021156Z-clean-run-eu-us-gac-region-asymmetry--6b638dfbdb3a--ultiregion_top_tenants__lookback_days-1__limit_k-25,1,
m0,20260702T021213Z-clean-run-eu-us-gac-region-asymmetry--b9be797e4727--gion_user_segment_join__lookback_days-7__limit_k-50,1,
m0,20260702T021232Z-clean-run-eu-us-gac-region-asymmetry--ec261603c92f--ltiregion_top_tenants__lookback_days-30__limit_k-50,1,
m0,20260702T021251Z-clean-run-eu-us-gac-region-asymmetry--c3f1b34d4591--ent_filter_summary__lookback_days-30__min_value-900,1,
m0,20260702T021308Z-clean-run-eu-us-gac-region-asymmetry--595f56bcdec0--ion_user_segment_join__lookback_days-30__limit_k-50,1,
m0,20260702T021327Z-clean-run-eu-us-gac-region-asymmetry--f8a0bbcb6aaa--lti_dimension_rollup__lookback_days-30__limit_k-100,1,
m0,20260702T021347Z-clean-run-eu-us-gac-region-asymmetry--bb73180c9c8f--egion_tenant_tier_join__lookback_days-7__limit_k-50,1,
m0,20260702T021405Z-clean-run-eu-us-gac-region-asymmetry--6cf9c5dd045e--u_tenant_id-1__us_tenant_id-10001__lookback_days-30,1,
m0,20260702T021422Z-clean-run-eu-us-gac-region-asymmetry--245f7145952e--_fdw_multiregion_raw_region_rollup__lookback_days-7,1,
m0,20260702T021440Z-clean-run-eu-us-gac-region-asymmetry--65a4dcb6875b--nt_rollup__lookback_days-1__min_value-0__limit_k-50,1,
m0,20260702T021458Z-clean-run-eu-us-gac-region-asymmetry--0855986bb2b0--vent_filter_summary__lookback_days-7__min_value-500,1,
m0,20260702T021514Z-clean-run-eu-us-gac-region-asymmetry--68a20690cf21--ulti_dimension_rollup__lookback_days-7__limit_k-100,1,
m0,20260702T021531Z-clean-run-eu-us-gac-region-asymmetry--d091e40c6f3a--rollup__lookback_days-14__min_value-500__limit_k-50,1,
m0,20260702T021548Z-clean-run-eu-us-gac-region-asymmetry--f0c2832b7994--_fdw_multiregion_raw_region_rollup__lookback_days-1,1,
m0,20260702T021604Z-clean-run-eu-us-gac-region-asymmetry--4b9a7d2dab70--ultiregion_top_tenants__lookback_days-7__limit_k-25,1,
m0,20260702T021623Z-clean-run-eu-us-gac-region-asymmetry--def012c76f2e--vent_filter_summary__lookback_days-1__min_value-500,1,
m0,20260702T021638Z-clean-run-eu-us-gac-region-asymmetry--e6819ba9d1e4--_event_filter_summary__lookback_days-1__min_value-0,1,
m0,20260702T021655Z-clean-run-eu-us-gac-region-asymmetry--c67deb14689b--__limit_k-100__payload_repeat-16__payload_width-512,1,
m0,20260702T021710Z-clean-run-eu-us-gac-region-asymmetry--e2e8f5795e3e--_rollup__lookback_days-7__min_value-500__limit_k-50,1,
m0,20260702T021726Z-clean-run-eu-us-gac-region-asymmetry--2af47e67705e--eu_tenant_id-1__us_tenant_id-10001__lookback_days-7,1,
m0,20260702T021740Z-clean-run-eu-us-gac-region-asymmetry--a08e7d21867d--nt_rollup__lookback_days-7__min_value-0__limit_k-50,1,
m0,20260702T021757Z-clean-run-eu-us-gac-region-asymmetry--1f1a18528140--ion_user_segment_join__lookback_days-30__limit_k-25,1,
m0,20260702T021816Z-clean-run-eu-us-gac-region-asymmetry--f532e0a8ea1d--__limit_k-250__payload_repeat-16__payload_width-512,1,
m0,20260702T021832Z-clean-run-eu-us-gac-region-asymmetry--1f2d29ab6b0a--_event_filter_summary__lookback_days-7__min_value-0,1,
m0,20260702T021850Z-clean-run-eu-us-gac-region-asymmetry--b24e3582d974--__limit_k-100__payload_repeat-16__payload_width-512,1,
m0,20260702T021908Z-clean-run-eu-us-gac-region-asymmetry--3f8dfc1d42cd--fdw_multiregion_raw_region_rollup__lookback_days-30,1,
m0,20260702T021925Z-clean-run-eu-us-gac-region-asymmetry--9ea3a1b123c1--t__gac_etl_top_tenants__lookback_days-7__limit_k-25,1,
m0,20260702T021939Z-clean-run-eu-us-gac-region-asymmetry--81948fe9da24--event_filter_summary__lookback_days-30__min_value-0,1,
m0,20260702T021956Z-clean-run-eu-us-gac-region-asymmetry--aab06bd89788--gion_user_segment_join__lookback_days-7__limit_k-25,1,
m0,20260702T022016Z-clean-run-eu-us-gac-region-asymmetry--39526b3c49c1--egion_global_user_join__lookback_days-7__limit_k-25,1,
m0,20260702T022036Z-clean-run-eu-us-gac-region-asymmetry--418d247523be--vent_filter_summary__lookback_days-1__min_value-900,1,
m0,20260702T022050Z-clean-run-eu-us-gac-region-asymmetry--561c4ac82de3--__gac_etl_top_tenants__lookback_days-30__limit_k-25,1,
m0,20260702T022106Z-clean-run-eu-us-gac-region-asymmetry--dd0059a16e0d--c_fdw_multiregion_event_full_scan_summary__case-001,1,
m0,20260702T022122Z-clean-run-eu-us-gac-region-asymmetry--dead5bee65c2--ulti_dimension_rollup__lookback_days-30__limit_k-50,1,
m0,20260702T022142Z-clean-run-eu-us-gac-region-asymmetry--fc00468f9816--rollup__lookback_days-30__min_value-500__limit_k-50,1,
m0,20260702T022158Z-clean-run-eu-us-gac-region-asymmetry--9fab3c6d786a--_rollup__lookback_days-1__min_value-500__limit_k-50,1,
m0,20260702T022214Z-clean-run-eu-us-gac-region-asymmetry--bb21839d8b65--gion_global_user_join__lookback_days-30__limit_k-25,1,
m0,20260702T022234Z-clean-run-eu-us-gac-region-asymmetry--7ed84d8c81ca--vent_filter_summary__lookback_days-7__min_value-900,1,
m0,20260702T022331Z-clean-run-eu-us-gac-region-asymmetry--f181cf629b85--fault__q10_top_tenants__lookback_days-7__limit_k-25,1,
m0,20260702T022345Z-clean-run-eu-us-gac-region-asymmetry--2d518a52e3de--ault__q10_top_tenants__lookback_days-30__limit_k-25,1,
m1,20260702T013121Z-clean-run-eu-us-gac-region-asymmetry--3bac889b763f--gion_global_user_join__lookback_days-30__limit_k-50,1,
m1,20260702T013142Z-clean-run-eu-us-gac-region-asymmetry--a9bb6af3e084--vent_filter_summary__lookback_days-1__min_value-900,1,
m1,20260702T013156Z-clean-run-eu-us-gac-region-asymmetry--070dfdc21c67--lti_dimension_rollup__lookback_days-30__limit_k-100,1,
m1,20260702T013216Z-clean-run-eu-us-gac-region-asymmetry--14a824853ab9--rollup__lookback_days-30__min_value-500__limit_k-50,1,
m1,20260702T013232Z-clean-run-eu-us-gac-region-asymmetry--8feef1e53d5c--_rollup__lookback_days-1__min_value-500__limit_k-50,1,
