k,seed,objective,iterations,converged,silhouette_hard_labels,partition_coefficient,modified_partition_coefficient,partition_entropy,normalized_partition_entropy,xie_beni_index,avg_max_membership,avg_top2_margin,cluster_min_share,cluster_max_share
6,4,88.48421730288095,22,True,0.47621239384181446,0.7709505622813219,0.7251406747375863,0.47048045232675345,0.26258014002819857,0.5331033208962638,0.8388067268973818,0.7407295356710718,0.09623217922606925,0.28105906313645623
6,5,88.48421761948589,18,True,0.47621239384181446,0.7709543805568378,0.7251452566682054,0.4704834353936489,0.26258180490953265,0.5333116675074552,0.838827110989566,0.740771141008719,0.09623217922606925,0.28105906313645623
6,6,88.48422784526875,19,True,0.47621239384181446,0.7709474497275367,0.725136939673044,0.47049527413970055,0.26258841223950913,0.5332939014674021,0.8388293187247904,0.7407749029675144,0.09623217922606925,0.28105906313645623
6,7,88.48422411231965,19,True,0.47621239384181446,0.7709590054401413,0.7251508065281695,0.47047648928411834,0.26257792821199044,0.5333387778527466,0.8388262323490459,0.7407704369271098,0.09623217922606925,0.28105906313645623
6,8,102.37158337903361,19,True,0.6113078590872187,0.8278889133703351,0.7934666960444021,0.39255073055919876,0.21908673418554428,0.31576217590530836,0.8844276308819691,0.8334351780960971,0.020366598778004074,0.4959266802443992
6,9,88.48422499656255,23,True,0.47621239384181446,0.7709473599037822,0.7251368318845386,0.4704947277310385,0.2625881072830284,0.5332692830119388,0.8388273460430394,0.740771021171653,0.09623217922606925,0.28105906313645623
7,0,77.69762302431968,23,True,0.46882197105557677,0.7682377649942137,0.7296107258265826,0.4936889657631733,0.25370594115193135,0.4649601403257016,0.833442252182589,0.7401685798724648,0.03054989816700611,0.28105906313645623
7,1,78.1009669805268,21,True,0.5023402287393814,0.769626981563601,0.7312314784908679,0.49194047968604904,0.25280739705524063,0.46273047507117887,0.839136129241812,0.7466437769776384,0.026476578411405296,0.26883910386965376
7,2,91.06834511313237,28,True,0.6035766379008737,0.8003481716395909,0.7670728669128559,0.4717093608885317,0.24241065864091096,0.43961226881812987,0.8637943556614947,0.8128885998231277,0.022912423625254582,0.47963340122199594
7,3,89.67280737805876,25,True,0.43789177847497857,0.7075060279811364,0.658757032644659,0.6138333025966453,0.3154479166957656,1.2209985328386865,0.7893263359113608,0.6770770970970709,0.020366598778004074,0.26476578411405294
7,4,77.31179111738885,19,True,0.4829398392160425,0.773881849066293,0.7361954905773417,0.47724915994539613,0.2452575521932951,0.4637930991567843,0.8410972734799145,0.7452367855906702,0.020366598778004074,0.28105906313645623
7,5,77.69763964119252,36,True,0.46882197105557677,0.7682336423330905,0.7296059160552723,0.49365510341885865,0.25368853934931934,0.4641738017263559,0.8333863449707869,0.7400529408322086,0.03054989816700611,0.28105906313645623
7,6,78.31745029524984,19,True,0.4795573391732892,0.7415940687363498,0.6985264135257415,0.5492565922817427,0.2822620523092456,0.9883160197922972,0.8185584462254114,0.722765644217461,0.08655804480651731,0.26476578411405294
7,7,78.31744798167405,17,True,0.4795573391732892,0.7415480304851181,0.6984727022326378,0.5493356744250454,0.2823026924915999,0.9896676578202253,0.8185186106014686,0.7226925498553388,0.08655804480651731,0.26476578411405294
7,8,69.12456397216378,24,True,0.5042584304443016,0.7875475653473814,0.7521388262386116,0.4470984729448182,0.2297631641223889,0.4128311867695782,0.8537206082962358,0.7623157028628897,0.024439918533604887,0.28105906313645623
7,9,78.10096054386082,26,True,0.5023402287393814,0.7696300872421081,0.7312351017824594,0.4919279931331987,0.25280098023642894,0.46265341544998667,0.8391336955856058,0.746632635317897,0.026476578411405296,0.26883910386965376
8,0,68.51590080699361,25,True,0.4977502762091654,0.7513793596696746,0.715862125336771,0.5462898021865167,0.2627098628342335,0.8471431801552851,0.8268648446439679,0.7403502931197,0.050407331975560084,0.26476578411405294
8,1,69.09696474409688,22,True,0.4959119395449298,0.7722229486337987,0.7396833698671985,0.5009307934572574,0.240896790516453,0.4082530297348354,0.8383023884700701,0.7508317159618719,0.026476578411405296,0.26883910386965376
8,2,68.03967345024503,20,True,0.48628478454751717,0.7463203344000388,0.7100803821714728,0.5501716094664512,0.26457661753838285,0.854331495540191,0.8219944984017944,0.7279460145823133,0.020366598778004074,0.26476578411405294
8,3,68.51590092998558,26,True,0.4977502762091654,0.7513676231311359,0.7158487121498697,0.5463088388566495,0.26271901753743204,0.847447378380458,0.8268524990660265,0.7403273849025063,0.050407331975560084,0.26476578411405294
8,4,68.41651954027314,29,True,0.47216691638705144,0.7434933505201198,0.7068495434515655,0.5600637558324848,0.2693337343737244,0.8515327842328496,0.8163683461735946,0.7252070615986119,0.03054989816700611,0.26476578411405294
8,5,67.46311456138139,21,True,0.5011617656299356,0.7803002341375116,0.7489145533000132,0.4825233250054638,0.23204466936621207,0.4027992901381945,0.8474416563283275,0.7612443529641115,0.020366598778004074,0.28105906313645623
8,6,59.15233851696753,29,True,0.5110148651965465,0.7915889678669521,0.7618159632765167,0.4482046077747588,0.21554085498007583,0.3522073161540246,0.8569885453586766,0.767242103792346,0.020366598778004074,0.28105906313645623
8,7,67.4631325634292,20,True,0.5011617656299356,0.7803007307229122,0.7489151208261854,0.4825300597644346,0.23204790810066833,0.4028772229866278,0.8474477900193653,0.7612605514570462,0.020366598778004074,0.28105906313645623
8,8,71.68421944585856,18,True,0.4169911279741936,0.7588702090128133,0.7244230960146438,0.5228499808574756,0.25143769150398987,1.3559306498816852,0.826283474187417,0.7281123008367286,0.03054989816700611,0.28105906313645623
