dataset,query_run_id,nearest_cluster,rank,feature,family,weighted_value,center_value,squared_distance,distance_contribution_share
validation_holdout_195,20260706T022110Z-clean-run-eu-us-gac-validation-holdo--71ab2e930775--eu_tenant_id-1__us_tenant_id-10800__lookback_days-7,0,1,remote_region_rows_isf_normalized,skew_imbalance,0.5773502691896258,0.0116047992404111,0.3200679367680578,0.3053695333085798
validation_holdout_195,20260706T022110Z-clean-run-eu-us-gac-validation-holdo--71ab2e930775--eu_tenant_id-1__us_tenant_id-10800__lookback_days-7,0,2,worker_task_scan_rows_isf_normalized,skew_imbalance,0.5773502691896258,0.0117629576996488,0.3198890069184604,0.30519882041175467
validation_holdout_195,20260706T022110Z-clean-run-eu-us-gac-validation-holdo--71ab2e930775--eu_tenant_id-1__us_tenant_id-10800__lookback_days-7,0,3,worker_scan_rows_cv_normalized,skew_imbalance,0.5773502691896258,0.0126778636065261,0.3188549256270047,0.3042122269886096
validation_holdout_195,20260706T022110Z-clean-run-eu-us-gac-validation-holdo--71ab2e930775--eu_tenant_id-1__us_tenant_id-10800__lookback_days-7,0,4,foreign_scan_time_to_root_ratio,remote_fanin_fetch,0.22253145170542302,0.0784779973498858,0.02075139771176285,0.019798436228036946
validation_holdout_195,20260706T022110Z-clean-run-eu-us-gac-validation-holdo--71ab2e930775--eu_tenant_id-1__us_tenant_id-10800__lookback_days-7,0,5,remote_root_rows_estimate_error_log,estimate_error,0.47033775845242265,0.3284649502361073,0.0201278937111834,0.019203565252844716
validation_holdout_195,20260706T022110Z-clean-run-eu-us-gac-validation-holdo--71ab2e930775--eu_tenant_id-1__us_tenant_id-10800__lookback_days-7,0,6,foreign_scan_rows_estimate_error_log,estimate_error,0.4327650090350492,0.306496905476921,0.015943633976166195,0.015211458278849304
validation_holdout_195,20260706T022110Z-clean-run-eu-us-gac-validation-holdo--71ab2e930775--eu_tenant_id-1__us_tenant_id-10800__lookback_days-7,0,7,task_count_to_shard_count_ratio,citus_topology_normalized,0.0192738269154615,0.1132573232053271,0.008832897574867181,0.008427266527963145
validation_holdout_195,20260706T022110Z-clean-run-eu-us-gac-validation-holdo--71ab2e930775--eu_tenant_id-1__us_tenant_id-10800__lookback_days-7,0,8,active_task_share,citus_topology_normalized,0.0192738269154615,0.1106980677042581,0.00835839180380786,0.007974551372162905
validation_holdout_195,20260706T022110Z-clean-run-eu-us-gac-validation-holdo--71ab2e930775--eu_tenant_id-1__us_tenant_id-10800__lookback_days-7,0,9,aggregate_rows_estimate_error_log,estimate_error,0.15353428952027387,0.2250377754480471,0.005112748499823264,0.004877956970887015
validation_holdout_195,20260706T022110Z-clean-run-eu-us-gac-validation-holdo--71ab2e930775--eu_tenant_id-1__us_tenant_id-10800__lookback_days-7,0,10,remote_to_final_rows_ratio,remote_fanin_fetch,0.50884825662058,0.4392964667554916,0.004837451473437409,0.004615302344130042
validation_holdout_195,20260706T022110Z-clean-run-eu-us-gac-validation-holdo--71ab2e930775--eu_tenant_id-1__us_tenant_id-10800__lookback_days-7,0,11,regional_input_to_wan_rows_ratio,remote_fanin_fetch,0.30593347330240334,0.2503950630260874,0.0030845150160203976,0.0029428655692182943
validation_holdout_195,20260706T022110Z-clean-run-eu-us-gac-validation-holdo--71ab2e930775--eu_tenant_id-1__us_tenant_id-10800__lookback_days-7,0,12,root_rows_estimate_error_log,estimate_error,0.18869211842833364,0.2326583507787861,0.001933029587093973,0.0018442595307830692
validation_holdout_195,20260706T022110Z-clean-run-eu-us-gac-validation-holdo--71ab2e930775--eu_tenant_id-1__us_tenant_id-10800__lookback_days-7,0,13,worker_task_seq_scan_share,citus_topology_normalized,0.0,0.0152347272997074,0.0002320969158964499,0.0002214383846296373
validation_holdout_195,20260706T022110Z-clean-run-eu-us-gac-validation-holdo--71ab2e930775--eu_tenant_id-1__us_tenant_id-10800__lookback_days-7,0,14,global_group_merge_ratio,regional_reduction,0.8813510338096907,0.8898312849793716,7.191465990087384e-05,6.861214014038881e-05
validation_holdout_195,20260706T022110Z-clean-run-eu-us-gac-validation-holdo--71ab2e930775--eu_tenant_id-1__us_tenant_id-10800__lookback_days-7,0,15,spill_present,normalized_spill_pressure,0.0,0.0040137326592349,1.611004985980886e-05,1.537023188559118e-05
validation_holdout_195,20260706T022110Z-clean-run-eu-us-gac-validation-holdo--71ab2e930775--eu_tenant_id-1__us_tenant_id-10800__lookback_days-7,0,16,temp_blocks_per_final_row,normalized_spill_pressure,0.0,0.0034743144995302,1.2070861241645782e-05,1.1516533962179308e-05
validation_holdout_195,20260706T022110Z-clean-run-eu-us-gac-validation-holdo--71ab2e930775--eu_tenant_id-1__us_tenant_id-10800__lookback_days-7,0,17,spill_bytes_to_wan_bytes_ratio,normalized_spill_pressure,0.0,0.0021848784672811,4.773693916788609e-06,4.554472710536196e-06
validation_holdout_195,20260706T022110Z-clean-run-eu-us-gac-validation-holdo--71ab2e930775--eu_tenant_id-1__us_tenant_id-10800__lookback_days-7,0,18,citus_repartition_observed_v2,citus_topology_normalized,0.0,0.001536174380174,2.3598317263029735e-06,2.2514617372315186e-06
validation_holdout_195,20260706T022110Z-clean-run-eu-us-gac-validation-holdo--71ab2e930775--eu_tenant_id-1__us_tenant_id-10800__lookback_days-7,0,19,hash_batch_excess,normalized_spill_pressure,0.0,0.0001210972805814,1.4664551364210319e-08,1.3991114672363238e-08
validation_holdout_195,20260706T022526Z-clean-run-eu-us-gac-validation-holdo--32f57e214b0e--eu_tenant_id-5__us_tenant_id-10800__lookback_days-7,0,1,remote_region_rows_isf_normalized,skew_imbalance,0.5773502691896258,0.0116047992404111,0.3200679367680578,0.3054225102778876
validation_holdout_195,20260706T022526Z-clean-run-eu-us-gac-validation-holdo--32f57e214b0e--eu_tenant_id-5__us_tenant_id-10800__lookback_days-7,0,2,worker_task_scan_rows_isf_normalized,skew_imbalance,0.5773502691896258,0.0117629576996488,0.3198890069184604,0.30525176776497137
validation_holdout_195,20260706T022526Z-clean-run-eu-us-gac-validation-holdo--32f57e214b0e--eu_tenant_id-5__us_tenant_id-10800__lookback_days-7,0,3,worker_scan_rows_cv_normalized,skew_imbalance,0.5773502691896258,0.0126778636065261,0.3188549256270047,0.3042650031828737
validation_holdout_195,20260706T022526Z-clean-run-eu-us-gac-validation-holdo--32f57e214b0e--eu_tenant_id-5__us_tenant_id-10800__lookback_days-7,0,4,foreign_scan_time_to_root_ratio,remote_fanin_fetch,0.22254768154520535,0.0784779973498858,0.020756073904139114,0.01980633317828848
validation_holdout_195,20260706T022526Z-clean-run-eu-us-gac-validation-holdo--32f57e214b0e--eu_tenant_id-5__us_tenant_id-10800__lookback_days-7,0,5,remote_root_rows_estimate_error_log,estimate_error,0.47033775845242265,0.3284649502361073,0.0201278937111834,0.01920689677932667
validation_holdout_195,20260706T022526Z-clean-run-eu-us-gac-validation-holdo--32f57e214b0e--eu_tenant_id-5__us_tenant_id-10800__lookback_days-7,0,6,foreign_scan_rows_estimate_error_log,estimate_error,0.43202440908211276,0.306496905476921,0.015757154161351435,0.015036150222954495
validation_holdout_195,20260706T022526Z-clean-run-eu-us-gac-validation-holdo--32f57e214b0e--eu_tenant_id-5__us_tenant_id-10800__lookback_days-7,0,7,task_count_to_shard_count_ratio,citus_topology_normalized,0.0192738269154615,0.1132573232053271,0.008832897574867181,0.008428728530525623
validation_holdout_195,20260706T022526Z-clean-run-eu-us-gac-validation-holdo--32f57e214b0e--eu_tenant_id-5__us_tenant_id-10800__lookback_days-7,0,8,active_task_share,citus_topology_normalized,0.0192738269154615,0.1106980677042581,0.00835839180380786,0.007975934835531724
validation_holdout_195,20260706T022526Z-clean-run-eu-us-gac-validation-holdo--32f57e214b0e--eu_tenant_id-5__us_tenant_id-10800__lookback_days-7,0,9,aggregate_rows_estimate_error_log,estimate_error,0.15353428952027387,0.2250377754480471,0.005112748499823264,0.004878803222226928
validation_holdout_195,20260706T022526Z-clean-run-eu-us-gac-validation-holdo--32f57e214b0e--eu_tenant_id-5__us_tenant_id-10800__lookback_days-7,0,10,remote_to_final_rows_ratio,remote_fanin_fetch,0.50884825662058,0.4392964667554916,0.004837451473437409,0.0046161030288872345
validation_holdout_195,20260706T022526Z-clean-run-eu-us-gac-validation-holdo--32f57e214b0e--eu_tenant_id-5__us_tenant_id-10800__lookback_days-7,0,11,regional_input_to_wan_rows_ratio,remote_fanin_fetch,0.30593347330240334,0.2503950630260874,0.0030845150160203976,0.00294337611163308
validation_holdout_195,20260706T022526Z-clean-run-eu-us-gac-validation-holdo--32f57e214b0e--eu_tenant_id-5__us_tenant_id-10800__lookback_days-7,0,12,root_rows_estimate_error_log,estimate_error,0.18869211842833364,0.2326583507787861,0.001933029587093973,0.0018445794817601663
validation_holdout_195,20260706T022526Z-clean-run-eu-us-gac-validation-holdo--32f57e214b0e--eu_tenant_id-5__us_tenant_id-10800__lookback_days-7,0,13,worker_task_seq_scan_share,citus_topology_normalized,0.0,0.0152347272997074,0.0002320969158964499,0.00022147680082125595
validation_holdout_195,20260706T022526Z-clean-run-eu-us-gac-validation-holdo--32f57e214b0e--eu_tenant_id-5__us_tenant_id-10800__lookback_days-7,0,14,global_group_merge_ratio,regional_reduction,0.8813510338096907,0.8898312849793716,7.191465990087384e-05,6.862404330310112e-05
validation_holdout_195,20260706T022526Z-clean-run-eu-us-gac-validation-holdo--32f57e214b0e--eu_tenant_id-5__us_tenant_id-10800__lookback_days-7,0,15,spill_present,normalized_spill_pressure,0.0,0.0040137326592349,1.611004985980886e-05,1.5372898387039553e-05
validation_holdout_195,20260706T022526Z-clean-run-eu-us-gac-validation-holdo--32f57e214b0e--eu_tenant_id-5__us_tenant_id-10800__lookback_days-7,0,16,temp_blocks_per_final_row,normalized_spill_pressure,0.0,0.0034743144995302,1.2070861241645782e-05,1.1518531905653353e-05
validation_holdout_195,20260706T022526Z-clean-run-eu-us-gac-validation-holdo--32f57e214b0e--eu_tenant_id-5__us_tenant_id-10800__lookback_days-7,0,17,spill_bytes_to_wan_bytes_ratio,normalized_spill_pressure,0.0,0.0021848784672811,4.773693916788609e-06,4.555262842277188e-06
validation_holdout_195,20260706T022526Z-clean-run-eu-us-gac-validation-holdo--32f57e214b0e--eu_tenant_id-5__us_tenant_id-10800__lookback_days-7,0,18,citus_repartition_observed_v2,citus_topology_normalized,0.0,0.001536174380174,2.3598317263029735e-06,2.251852331597822e-06
