cluster,feature,family,fuzzy_mass,raw_fuzzy_mean,raw_global_median,semantic_fuzzy_mean,semantic_global_mean,semantic_deviation,absolute_semantic_deviation
1,remote_region_rows_isf_normalized,skew_imbalance,890.9456897322583,0.0031091211576880027,0.0,0.003105154248059025,0.02444688752107078,-0.021341733273011757,0.021341733273011757
1,worker_task_scan_rows_isf_normalized,skew_imbalance,890.9456897322583,0.0352239026109155,0.0106935215946843,0.03517896063813586,0.04264477628150961,-0.007465815643373751,0.007465815643373751
1,worker_scan_rows_cv_normalized,skew_imbalance,890.9456897322583,0.09986212285270905,0.03,0.0997347093501072,0.0816457313713458,0.018088977978761397,0.018088977978761397
1,task_count_to_shard_count_ratio,citus_topology_normalized,890.9456897322583,1.9509329485278113,1.0,0.49997243111774486,0.3395150997638249,0.16045733135391999,0.16045733135391999
1,active_task_share,citus_topology_normalized,890.9456897322583,1.2945143070482465,1.0,0.42733511543574515,0.29635754942385556,0.1309775660118896,0.1309775660118896
1,citus_repartition_observed_v2,citus_topology_normalized,890.9456897322583,0.0007250370282327731,0.0,0.0007250370282327731,0.020366598778004074,-0.019641561749771302,0.019641561749771302
1,worker_task_seq_scan_share,citus_topology_normalized,890.9456897322583,0.9976604698005759,1.0,0.9963875606010367,0.6003054989816701,0.39608206161936665,0.39608206161936665
1,root_rows_estimate_error_log,estimate_error,890.9456897322583,-0.013740561595966243,0.0,0.4975653612555879,0.4968457424850376,0.0007196187705503232,0.0007196187705503232
1,foreign_scan_rows_estimate_error_log,estimate_error,890.9456897322583,4.587168783626928,4.475907850233953,0.9220893766197216,0.7738827209321529,0.14820665568756863,0.14820665568756863
1,aggregate_rows_estimate_error_log,estimate_error,890.9456897322583,1.1963825293915469,0.0,0.6370766591673074,0.5608225148452831,0.07625414432202426,0.07625414432202426
1,remote_root_rows_estimate_error_log,estimate_error,890.9456897322583,2.1074422103339914,0.693142180597445,0.7277556680680067,0.6458226778084181,0.08193299025958867,0.08193299025958867
2,foreign_scan_time_to_root_ratio,remote_fanin_fetch,154.661801808009,0.9502679545929944,0.9721002485399965,0.36809123507859587,0.2658000670761256,0.10229116800247029,0.10229116800247029
2,remote_to_final_rows_ratio,remote_fanin_fetch,154.661801808009,6609.840730505188,5050.5,0.8596145633379993,0.7397157385114298,0.11989882482656955,0.11989882482656955
2,regional_input_to_wan_rows_ratio,remote_fanin_fetch,154.661801808009,1680.060714480956,1.0,0.4292709295591598,0.35808414119408805,0.07118678836507175,0.07118678836507175
2,global_group_merge_ratio,regional_reduction,154.661801808009,7098.035573986104,8000.0,0.8699026979556141,0.7739536284717016,0.09594906948391257,0.09594906948391257
2,spill_present,normalized_spill_pressure,154.661801808009,0.03734393664244451,1.0,0.03734393664244451,0.5040733197556008,-0.46672938311315626,0.46672938311315626
2,spill_bytes_to_wan_bytes_ratio,normalized_spill_pressure,154.661801808009,0.34471461623159616,2.979439252336449,0.024149890692047635,0.3326901871004417,-0.30854029640839403,0.30854029640839403
2,temp_blocks_per_final_row,normalized_spill_pressure,154.661801808009,22.333850764518736,10.552,0.031942157558972055,0.4412884298605111,-0.409346272301539,0.409346272301539
2,hash_batch_excess,normalized_spill_pressure,154.661801808009,0.005640662600381575,0.0,0.0012778577482385838,0.01006143394932003,-0.008783576201081446,0.008783576201081446
2,remote_region_rows_isf_normalized,skew_imbalance,154.661801808009,0.06142325445438185,0.0,0.05888936243924255,0.02444688752107078,0.034442474918171775,0.034442474918171775
2,worker_task_scan_rows_isf_normalized,skew_imbalance,154.661801808009,0.0826740805983218,0.0106935215946843,0.0792635287715271,0.04264477628150961,0.036618752490017496,0.036618752490017496
2,worker_scan_rows_cv_normalized,skew_imbalance,154.661801808009,0.14003010228066587,0.03,0.1342534438928946,0.0816457313713458,0.05260771252154879,0.05260771252154879
2,task_count_to_shard_count_ratio,citus_topology_normalized,154.661801808009,1.233190474240411,1.0,0.36131729429003695,0.3395150997638249,0.02180219452621207,0.02180219452621207
2,active_task_share,citus_topology_normalized,154.661801808009,0.7449542412465305,1.0,0.2885110423527287,0.29635754942385556,-0.007846507071126885,0.007846507071126885
2,citus_repartition_observed_v2,citus_topology_normalized,154.661801808009,0.005042054571050224,0.0,0.005042054571050224,0.020366598778004074,-0.015324544206953849,0.015324544206953849
2,worker_task_seq_scan_share,citus_topology_normalized,154.661801808009,0.932501097583886,1.0,0.8940326525907719,0.6003054989816701,0.29372715360910184,0.29372715360910184
2,root_rows_estimate_error_log,estimate_error,154.661801808009,-0.16781836984562093,0.0,0.4832304343717205,0.4968457424850376,-0.013615308113317126,0.013615308113317126
2,foreign_scan_rows_estimate_error_log,estimate_error,154.661801808009,3.313841870678342,4.475907850233953,0.8330268881905207,0.7738827209321529,0.0591441672583678,0.0591441672583678
