query_run_id,dominant_cluster,max_membership,membership_entropy,membership_entropy_normalized,nearest_center_distance,top2_margin,membership_c0,membership_c1,membership_c2,membership_c3,dataset,ood_above_frozen_p99,distance_over_p99
20260706T021326Z-clean-run-eu-us-gac-validation-holdo--85fbc6e68494--t_rollup__lookback_days-30__min_value-0__limit_k-50,1,0.9779566148141972,0.1255000699935323,0.09052916430544343,0.16801757724308516,0.9648259368279177,0.0069183054626856776,0.9779566148141972,0.013130677986279418,0.001994401736837723,validation_holdout_195,False,0.16935697887101284
20260706T021344Z-clean-run-eu-us-gac-validation-holdo--46d142273a41--nt_rollup__lookback_days-7__min_value-0__limit_k-50,1,0.9810123330104491,0.11093986102454678,0.08002619366851223,0.1587913643155417,0.9696838657077159,0.005952716895836859,0.9810123330104491,0.011328467302733219,0.0017064827909808419,validation_holdout_195,False,0.16005721646836368
20260706T021402Z-clean-run-eu-us-gac-validation-holdo--9ce24c3d5325--_rollup__lookback_days-7__min_value-500__limit_k-50,1,0.9643491569345507,0.18503075268821995,0.13347147465762357,0.195340329169375,0.9425119792973123,0.010707017554654691,0.9643491569345507,0.02183717763723837,0.0031066478735562735,validation_holdout_195,False,0.19689754216567273
20260706T021528Z-clean-run-eu-us-gac-validation-holdo--361dccf55cd5--nt_rollup__lookback_days-7__min_value-0__limit_k-50,1,0.981010295986587,0.11094988119657753,0.08003342169476103,0.15879648773472502,0.9696808319658101,0.005953546561726772,0.981010295986587,0.011329464020776878,0.0017066934309093377,validation_holdout_195,False,0.16006238073039278
20260706T021546Z-clean-run-eu-us-gac-validation-holdo--b5b3ff0c6cc0--_rollup__lookback_days-7__min_value-500__limit_k-50,1,0.9643486983077708,0.1850330489845483,0.13347313108528625,0.19533945882576786,0.9425116946183926,0.01070756263423692,0.9643486983077708,0.021837003689378263,0.003106735368614119,validation_holdout_195,False,0.19689666488386506
20260706T021601Z-clean-run-eu-us-gac-validation-holdo--5e89f3e92528--rollup__lookback_days-30__min_value-500__limit_k-50,1,0.9645779154971504,0.18470989751192415,0.13324002657178083,0.20252535385168616,0.9433817212892789,0.010900519556001211,0.9645779154971504,0.02119619420787159,0.0033253707389767854,validation_holdout_195,False,0.20413984438950125
20260706T021617Z-clean-run-eu-us-gac-validation-holdo--9c85e55d81d2--t_rollup__lookback_days-30__min_value-0__limit_k-50,1,0.9798858109887316,0.11656394281090177,0.08408311111987636,0.16607252538892311,0.9680544358227756,0.006388818861567113,0.9798858109887316,0.011831375165955971,0.0018939949837453076,validation_holdout_195,False,0.16739642146283307
20260706T021811Z-clean-run-eu-us-gac-validation-holdo--ae887b9aba74--u_tenant_id-20__us_tenant_id-10100__lookback_days-7,0,0.8313792768973993,0.5854138680107513,0.4222868421233686,0.29467838687222725,0.7100018120866166,0.8313792768973993,0.028553038071746636,0.12137746481078271,0.018690220220071323,validation_holdout_195,False,0.29702750246815524
20260706T021826Z-clean-run-eu-us-gac-validation-holdo--2e4d22928def--eu_tenant_id-5__us_tenant_id-10020__lookback_days-7,0,0.8298087895028786,0.5891408336694723,0.4249752795600687,0.2958811931852804,0.7073069156262004,0.8298087895028786,0.02883791492596033,0.12250187387667817,0.01885142169448301,validation_holdout_195,False,0.29823989730617234
20260706T021840Z-clean-run-eu-us-gac-validation-holdo--cb3f501682ac--egion_global_user_join__lookback_days-7__limit_k-25,1,0.6738128685196998,0.9373040206617623,0.6761219312070055,0.5924991731814572,0.4889997955311728,0.10299494204000138,0.6738128685196998,0.184813072988527,0.038379116451771896,validation_holdout_195,False,0.5972224549364183
