query_run_id,dominant_cluster,max_membership,membership_entropy,membership_entropy_normalized,nearest_center_distance,top2_margin,membership_c0,membership_c1,membership_c2,membership_c3
20260626T114102Z-clean-run-eu-us-gac-v1__pilot-balanc--cf58a22247ac--multi_dimension_rollup__lookback_days-7__limit_k-25,1,0.9436652970565245,0.26852964687937003,0.19370319494226584,0.24941249079004674,0.9118137221050785,0.018851495603752957,0.9436652970565245,0.03185157495144592,0.005631632388276605
20260626T114121Z-clean-run-eu-us-gac-v1__pilot-balanc--18e4a849bf0b--t__gac_fdw_top_tenants__lookback_days-7__limit_k-50,1,0.9890954490593742,0.06973155832850272,0.05030068669699519,0.12652526474189946,0.9825460667930229,0.0034106104996361572,0.9890954490593742,0.006549382266351283,0.0009445581746383467
20260626T114141Z-clean-run-eu-us-gac-v1__pilot-balanc--c5f0b3a0235d--multi_dimension_rollup__lookback_days-3__limit_k-50,1,0.9354145676358764,0.2988822149656113,0.21559794467039828,0.2657988825106612,0.8989535379609385,0.021584740694452324,0.9354145676358764,0.036461029674937896,0.006539661994733398
20260626T114208Z-clean-run-eu-us-gac-v1__pilot-balanc--87ab183b9917--ollup__lookback_days-30__min_value-900__limit_k-100,2,0.8825365832999867,0.467340772955969,0.33711510777439574,0.26871124553374504,0.8140062341799029,0.06853034912008381,0.038214944518471995,0.8825365832999867,0.010718123061457432
20260626T114226Z-clean-run-eu-us-gac-v1__pilot-balanc--d3c81087e30d--ulti_dimension_rollup__lookback_days-30__limit_k-10,1,0.881142681940067,0.47771116683998344,0.3445957656886622,0.3633895163169483,0.817432877876574,0.0413781323762928,0.881142681940067,0.06370980406349293,0.01376938162014721
20260626T114249Z-clean-run-eu-us-gac-v1__pilot-balanc--e5ccb3819851--__limit_k-100__payload_repeat-64__payload_width-512,1,0.43161188026590047,1.2947073428706224,0.9339339314809869,0.8239313545094559,0.18367264101541092,0.16929492442202243,0.43161188026590047,0.24793923925048955,0.15115395606158735
20260626T114304Z-clean-run-eu-us-gac-v1__pilot-balanc--068c334e695d--ollup__lookback_days-14__min_value-900__limit_k-100,2,0.8875542283196586,0.4523844883592966,0.3263264289655241,0.26333493275734693,0.8217303733384944,0.06582385498116419,0.03642285557042832,0.8875542283196586,0.01019906112874891
20260626T114320Z-clean-run-eu-us-gac-v1__pilot-balanc--3defc2041615--gion_user_segment_join__lookback_days-7__limit_k-25,1,0.9474058759004261,0.2543025298316273,0.1834404993368032,0.24814691606045847,0.9176702501709084,0.017693562510387662,0.9474058759004261,0.029735625729517722,0.005164935859668436
20260626T114349Z-clean-run-eu-us-gac-v1__pilot-balanc--bfb7f603474b--ac_fdw_daily_rollup__lookback_days-1__min_value-100,1,0.8519136305463479,0.5546810339257758,0.40011778845993984,0.358033659094918,0.7686125144952605,0.050779345436291576,0.8519136305463479,0.08330111605108746,0.014005907966273117
20260626T114408Z-clean-run-eu-us-gac-v1__pilot-balanc--aa7d9a00723a--fdw_user_segment_join__lookback_days-30__limit_k-50,1,0.9854283183069964,0.08937217727655486,0.0644683984751675,0.15291680696709692,0.9771038781714583,0.004836989626145624,0.9854283183069964,0.008324440135538092,0.001410251931319859
