condition_id,feature,repetition_count,median,mad,range
cond-109494aaf85c5b74f7dc,citus_repartition_observed_v2,3,0.0,0.0,0.0
cond-109494aaf85c5b74f7dc,worker_task_seq_scan_share,3,0.5,0.0,0.0
cond-109494aaf85c5b74f7dc,root_rows_estimate_error_log,3,0.25,0.0,0.0
cond-109494aaf85c5b74f7dc,foreign_scan_rows_estimate_error_log,3,0.37442228575819697,0.0,0.000129911148673445
cond-109494aaf85c5b74f7dc,aggregate_rows_estimate_error_log,3,0.25,0.0,0.0
cond-109494aaf85c5b74f7dc,remote_root_rows_estimate_error_log,3,0.08777116641271751,0.0,0.0
cond-129d83d07d674987662d,foreign_scan_time_to_root_ratio,3,0.20951401862999458,0.00041914357880087905,0.0008574861421533908
cond-129d83d07d674987662d,remote_to_final_rows_ratio,3,0.5421652197243788,0.0,0.0
cond-129d83d07d674987662d,regional_input_to_wan_rows_ratio,3,0.22277801565215352,0.0,0.0
cond-129d83d07d674987662d,global_group_merge_ratio,3,0.9390577066593679,0.0,0.0
cond-129d83d07d674987662d,spill_present,3,0.5,0.0,0.0
cond-129d83d07d674987662d,spill_bytes_to_wan_bytes_ratio,3,0.4083807928416453,0.0,7.493795718571672e-06
cond-129d83d07d674987662d,temp_blocks_per_final_row,3,0.4614161814556576,0.0,1.4072814247811927e-06
cond-129d83d07d674987662d,hash_batch_excess,3,0.0,0.0,0.0
cond-129d83d07d674987662d,remote_region_rows_isf_normalized,3,0.4618802153517007,0.0,0.0
cond-129d83d07d674987662d,worker_task_scan_rows_isf_normalized,3,0.008449619687667572,0.0,0.0
cond-129d83d07d674987662d,worker_scan_rows_cv_normalized,3,0.26671295894488484,0.0,0.0
cond-129d83d07d674987662d,task_count_to_shard_count_ratio,3,0.3230326202012677,0.0,0.0
cond-129d83d07d674987662d,active_task_share,3,0.2649461597478896,0.0,0.0
cond-129d83d07d674987662d,citus_repartition_observed_v2,3,0.0,0.0,0.0
cond-129d83d07d674987662d,worker_task_seq_scan_share,3,0.5,0.0,0.0
cond-129d83d07d674987662d,root_rows_estimate_error_log,3,0.25,0.0,0.0
cond-129d83d07d674987662d,foreign_scan_rows_estimate_error_log,3,0.4723536686946996,0.0,0.0
cond-129d83d07d674987662d,aggregate_rows_estimate_error_log,3,0.25,0.0,0.0
cond-129d83d07d674987662d,remote_root_rows_estimate_error_log,3,0.08848546304866409,0.0,0.0
cond-1661f99ef69859e5d461,foreign_scan_time_to_root_ratio,3,0.222351709795397,9.092251330583556e-06,0.00012065092576346581
cond-1661f99ef69859e5d461,remote_to_final_rows_ratio,3,0.5344505564301459,0.0,0.0
cond-1661f99ef69859e5d461,regional_input_to_wan_rows_ratio,3,0.22277801565215352,0.0,0.0
cond-1661f99ef69859e5d461,global_group_merge_ratio,3,0.92569551787047,0.0,0.0
cond-1661f99ef69859e5d461,spill_present,3,0.0,0.0,0.0
cond-1661f99ef69859e5d461,spill_bytes_to_wan_bytes_ratio,3,0.0,0.0,0.0
cond-1661f99ef69859e5d461,temp_blocks_per_final_row,3,0.0,0.0,0.0
cond-1661f99ef69859e5d461,hash_batch_excess,3,0.0,0.0,0.0
cond-1661f99ef69859e5d461,remote_region_rows_isf_normalized,3,0.0,0.0,0.0
cond-1661f99ef69859e5d461,worker_task_scan_rows_isf_normalized,3,0.004768141942712489,0.0,0.0
cond-1661f99ef69859e5d461,worker_scan_rows_cv_normalized,3,0.016582159592623078,0.0,0.0
cond-1661f99ef69859e5d461,task_count_to_shard_count_ratio,3,0.19293142095945223,0.0,0.0
