query_run_id,k,nearest_center,feature,squared_distance_contribution,distance_contribution_share,query_id
20260727T115622Z-stats-ceb-full-no-refit-v1__stats-ce--bac3f3236be8--l_no_refit__stats_ceb_multiregion_count__query_id-3,3,0,worker_task_scan_rows_isf_normalized,2.89833492849463e-05,5.13114296206073e-05,3
20260727T115622Z-stats-ceb-full-no-refit-v1__stats-ce--bac3f3236be8--l_no_refit__stats_ceb_multiregion_count__query_id-3,3,0,worker_scan_rows_cv_normalized,4.9301557642780166e-05,8.728230061691834e-05,3
20260727T115622Z-stats-ceb-full-no-refit-v1__stats-ce--bac3f3236be8--l_no_refit__stats_ceb_multiregion_count__query_id-3,3,0,task_count_to_shard_count_ratio,0.06253338757270452,0.11070761642587477,3
20260727T115622Z-stats-ceb-full-no-refit-v1__stats-ce--bac3f3236be8--l_no_refit__stats_ceb_multiregion_count__query_id-3,3,0,active_task_share,0.03182678715087714,0.056345384133727,3
20260727T115622Z-stats-ceb-full-no-refit-v1__stats-ce--bac3f3236be8--l_no_refit__stats_ceb_multiregion_count__query_id-3,3,0,citus_repartition_observed_v2,0.20439784851938925,0.36186107118936534,3
20260727T115622Z-stats-ceb-full-no-refit-v1__stats-ce--bac3f3236be8--l_no_refit__stats_ceb_multiregion_count__query_id-3,3,0,worker_task_seq_scan_share,0.0001870740191104228,0.0003311913771958115,3
20260727T115622Z-stats-ceb-full-no-refit-v1__stats-ce--bac3f3236be8--l_no_refit__stats_ceb_multiregion_count__query_id-3,3,0,root_rows_estimate_error_log,0.0016577478626487242,0.0029348372386759436,3
20260727T115622Z-stats-ceb-full-no-refit-v1__stats-ce--bac3f3236be8--l_no_refit__stats_ceb_multiregion_count__query_id-3,3,0,foreign_scan_rows_estimate_error_log,1.0647730819598336e-05,1.885048843726149e-05,3
20260727T115622Z-stats-ceb-full-no-refit-v1__stats-ce--bac3f3236be8--l_no_refit__stats_ceb_multiregion_count__query_id-3,3,0,aggregate_rows_estimate_error_log,0.001210040499338374,0.00214222681131383,3
20260727T115622Z-stats-ceb-full-no-refit-v1__stats-ce--bac3f3236be8--l_no_refit__stats_ceb_multiregion_count__query_id-3,3,0,remote_root_rows_estimate_error_log,3.898708342464279e-06,6.902180171065797e-06,3
