k,seed,cluster,feature,weighted_mean_z,abs_weighted_mean_z,effective_membership_size
5,5,1,temp_blocks_per_wan_row,-0.030633163669037032,0.030633163669037032,512.6488181840626
5,5,1,temp_blocks_per_final_row,0.41284436599292973,0.41284436599292973,512.6488181840626
5,5,1,spill_per_wan_mb,-0.0477433236487405,0.0477433236487405,512.6488181840626
5,5,1,hash_batches_max,-0.014582740747704366,0.014582740747704366,512.6488181840626
5,5,1,remote_region_rows_isf,-0.04741168152261481,0.04741168152261481,512.6488181840626
5,5,1,worker_task_scan_rows_isf,0.3090552231480762,0.3090552231480762,512.6488181840626
5,5,1,worker_task_scan_actual_rows_max_share,-0.22832693791745637,0.22832693791745637,512.6488181840626
5,5,1,task_count_to_shard_count_ratio,0.28298101286561034,0.28298101286561034,512.6488181840626
5,5,1,active_task_share,0.14493208819944325,0.14493208819944325,512.6488181840626
5,5,1,citus_repartition_query,-0.033338748263069005,0.033338748263069005,512.6488181840626
5,5,1,worker_task_seq_scan_share,0.28819539377371567,0.28819539377371567,512.6488181840626
5,5,1,root_rows_estimate_error_log,0.03166871048149422,0.03166871048149422,512.6488181840626
5,5,1,foreign_scan_rows_estimate_error_log,0.08070663507682066,0.08070663507682066,512.6488181840626
5,5,1,aggregate_rows_estimate_error_log,0.5010671672800198,0.5010671672800198,512.6488181840626
5,5,1,remote_root_rows_estimate_error_log,-0.10375928796851577,0.10375928796851577,512.6488181840626
5,5,2,remote_path_share,0.47796654287702556,0.47796654287702556,320.28764314376303
5,5,2,remote_to_final_rows_ratio,0.6287931477219464,0.6287931477219464,320.28764314376303
5,5,2,wan_output_to_final_rows_ratio,0.5116338931904085,0.5116338931904085,320.28764314376303
5,5,2,drf_bytes_proxy,-0.043214690313597814,0.043214690313597814,320.28764314376303
5,5,2,global_group_merge_ratio,0.5116338931904085,0.5116338931904085,320.28764314376303
5,5,2,temp_bytes_to_wan_bytes_ratio,0.9562794246392521,0.9562794246392521,320.28764314376303
5,5,2,temp_blocks_per_wan_row,0.09810730897739645,0.09810730897739645,320.28764314376303
5,5,2,temp_blocks_per_final_row,1.0118309066593065,1.0118309066593065,320.28764314376303
5,5,2,spill_per_wan_mb,0.9299421041113326,0.9299421041113326,320.28764314376303
5,5,2,hash_batches_max,0.11647787556765227,0.11647787556765227,320.28764314376303
5,5,2,remote_region_rows_isf,-0.02984100963666502,0.02984100963666502,320.28764314376303
5,5,2,worker_task_scan_rows_isf,0.4787365558070464,0.4787365558070464,320.28764314376303
5,5,2,worker_task_scan_actual_rows_max_share,-0.2612554164614158,0.2612554164614158,320.28764314376303
5,5,2,task_count_to_shard_count_ratio,0.8212286262356402,0.8212286262356402,320.28764314376303
5,5,2,active_task_share,0.8288638961206317,0.8288638961206317,320.28764314376303
5,5,2,citus_repartition_query,0.003783303733710999,0.003783303733710999,320.28764314376303
5,5,2,worker_task_seq_scan_share,0.2827966601746792,0.2827966601746792,320.28764314376303
5,5,2,root_rows_estimate_error_log,-0.022547845620289608,0.022547845620289608,320.28764314376303
5,5,2,foreign_scan_rows_estimate_error_log,0.3226619754055542,0.3226619754055542,320.28764314376303
5,5,2,aggregate_rows_estimate_error_log,-0.2108531442336174,0.2108531442336174,320.28764314376303
5,5,2,remote_root_rows_estimate_error_log,0.17565423968699356,0.17565423968699356,320.28764314376303
5,5,3,remote_path_share,0.4854028242340826,0.4854028242340826,255.41825291770317
5,5,3,remote_to_final_rows_ratio,-0.5899929244738311,0.5899929244738311,255.41825291770317
5,5,3,wan_output_to_final_rows_ratio,-0.9949595931923786,0.9949595931923786,255.41825291770317
5,5,3,drf_bytes_proxy,0.3291315283569956,0.3291315283569956,255.41825291770317
5,5,3,global_group_merge_ratio,-0.9949595931923786,0.9949595931923786,255.41825291770317
