query_run_id,database_sweep_id,dataset_id,dataset_profile_id,runtime_config_id,runtime_intervention_axis,corpus_cell_id,logical_question_id,execution_strategy,instance_id,template_id,execution_status,timed_out,collection_error_count,remote_error_count,intervention_role,intervention_axis,network_profile_id,configured_latency_ms,configured_jitter_ms,configured_loss_percent,fetch_size,work_mem,configured_shard_count,configured_region_count,configured_worker_count_per_region,configured_worker_count_total,observed_region_count_for_task_scope,configured_region_shard_slots,observed_region_shard_slots
20260626T211218Z-clean-run-eu-us-gac-v1__pilot-skew-h--0f98dd52de4c--__limit_k-250__payload_repeat-64__payload_width-512,20260626T205232Z-clean-run-eu-us-gac-v1__pilot-skew-heavy-v1__fetch_large__analytics_clients,pilot-skew-heavy-v1,pilot-skew-heavy-v1,fetch_large,fetch_size,mr_raw_wide_fetch_sensitivity__dataset-pilot-skew-heavy-v1__runtime-fetch_large,event_raw_wide_sample,multiregion_union,mr_raw_wide_fetch_sensitivity__dataset-pilot-skew-heavy-v1__runtime-fetch_large__gac_fdw_multiregion_event_raw_wide_sample__lookback_days-1__min_value-500__limit_k-250__payload_repeat-64__payload_width-512,gac_fdw_multiregion_event_raw_wide_sample,completed,False,0,0,positive_case,fetch_size,,,,,10000,,32.0,2.0,2.0,4.0,2.0,64.0,64.0
20260626T211236Z-clean-run-eu-us-gac-v1__pilot-skew-h--c1a0e15e4b0a--__limit_k-250__payload_repeat-64__payload_width-512,20260626T205232Z-clean-run-eu-us-gac-v1__pilot-skew-heavy-v1__fetch_large__analytics_clients,pilot-skew-heavy-v1,pilot-skew-heavy-v1,fetch_large,fetch_size,fdw_raw_wide_fetch_sensitivity__dataset-pilot-skew-heavy-v1__runtime-fetch_large,event_raw_wide_sample,fdw_raw,fdw_raw_wide_fetch_sensitivity__dataset-pilot-skew-heavy-v1__runtime-fetch_large__gac_fdw_event_raw_wide_sample__lookback_days-7__min_value-900__limit_k-250__payload_repeat-64__payload_width-512,gac_fdw_event_raw_wide_sample,completed,False,0,0,positive_case,fetch_size,,,,,10000,,32.0,1.0,2.0,2.0,1.0,32.0,32.0
20260626T211251Z-clean-run-eu-us-gac-v1__pilot-skew-h--d4989d92459a--__limit_k-250__payload_repeat-64__payload_width-512,20260626T205232Z-clean-run-eu-us-gac-v1__pilot-skew-heavy-v1__fetch_large__analytics_clients,pilot-skew-heavy-v1,pilot-skew-heavy-v1,fetch_large,fetch_size,fdw_raw_wide_fetch_sensitivity__dataset-pilot-skew-heavy-v1__runtime-fetch_large,event_raw_wide_sample,fdw_raw,fdw_raw_wide_fetch_sensitivity__dataset-pilot-skew-heavy-v1__runtime-fetch_large__gac_fdw_event_raw_wide_sample__lookback_days-7__min_value-500__limit_k-250__payload_repeat-64__payload_width-512,gac_fdw_event_raw_wide_sample,completed,False,0,0,positive_case,fetch_size,,,,,10000,,32.0,1.0,2.0,2.0,1.0,32.0,32.0
20260626T211307Z-clean-run-eu-us-gac-v1__pilot-skew-h--2dc00c63a344--_gac_fdw_top_tenants__lookback_days-30__limit_k-100,20260626T205232Z-clean-run-eu-us-gac-v1__pilot-skew-heavy-v1__fetch_large__analytics_clients,pilot-skew-heavy-v1,pilot-skew-heavy-v1,fetch_large,fetch_size,fdw_top_tenants_fetch_sensitivity__dataset-pilot-skew-heavy-v1__runtime-fetch_large,top_tenants,fdw_raw,fdw_top_tenants_fetch_sensitivity__dataset-pilot-skew-heavy-v1__runtime-fetch_large__gac_fdw_top_tenants__lookback_days-30__limit_k-100,gac_fdw_top_tenants,completed,False,0,0,positive_case,fetch_size,,,,,10000,,32.0,1.0,2.0,2.0,1.0,32.0,32.0
20260626T211323Z-clean-run-eu-us-gac-v1__pilot-skew-h--aacac9c967a6--__limit_k-100__payload_repeat-16__payload_width-512,20260626T205232Z-clean-run-eu-us-gac-v1__pilot-skew-heavy-v1__fetch_large__analytics_clients,pilot-skew-heavy-v1,pilot-skew-heavy-v1,fetch_large,fetch_size,fdw_raw_wide_fetch_sensitivity__dataset-pilot-skew-heavy-v1__runtime-fetch_large,event_raw_wide_sample,fdw_raw,fdw_raw_wide_fetch_sensitivity__dataset-pilot-skew-heavy-v1__runtime-fetch_large__gac_fdw_event_raw_wide_sample__lookback_days-1__min_value-900__limit_k-100__payload_repeat-16__payload_width-512,gac_fdw_event_raw_wide_sample,completed,False,0,0,positive_case,fetch_size,,,,,10000,,32.0,1.0,2.0,2.0,1.0,32.0,32.0
20260626T211339Z-clean-run-eu-us-gac-v1__pilot-skew-h--4cd8293a1304--ltiregion_top_tenants__lookback_days-30__limit_k-50,20260626T205232Z-clean-run-eu-us-gac-v1__pilot-skew-heavy-v1__fetch_large__analytics_clients,pilot-skew-heavy-v1,pilot-skew-heavy-v1,fetch_large,fetch_size,mr_top_tenants_fetch_sensitivity__dataset-pilot-skew-heavy-v1__runtime-fetch_large,top_tenants,multiregion_union,mr_top_tenants_fetch_sensitivity__dataset-pilot-skew-heavy-v1__runtime-fetch_large__gac_fdw_multiregion_top_tenants__lookback_days-30__limit_k-50,gac_fdw_multiregion_top_tenants,completed,False,0,0,positive_case,fetch_size,,,,,10000,,32.0,2.0,2.0,4.0,2.0,64.0,64.0
20260626T211532Z-clean-run-eu-us-gac-v1__pilot-skew-h--7c948ab38b5a--l__gac_fdw_top_tenants__lookback_days-7__limit_k-50,20260626T211407Z-clean-run-eu-us-gac-v1__pilot-skew-heavy-v1__fetch_small__analytics_clients,pilot-skew-heavy-v1,pilot-skew-heavy-v1,fetch_small,fetch_size,fdw_top_tenants_fetch_sensitivity__dataset-pilot-skew-heavy-v1__runtime-fetch_small,top_tenants,fdw_raw,fdw_top_tenants_fetch_sensitivity__dataset-pilot-skew-heavy-v1__runtime-fetch_small__gac_fdw_top_tenants__lookback_days-7__limit_k-50,gac_fdw_top_tenants,completed,False,0,0,positive_case,fetch_size,,,,,100,,32.0,1.0,2.0,2.0,1.0,32.0,32.0
20260626T211551Z-clean-run-eu-us-gac-v1__pilot-skew-h--0400b1282be9--ultiregion_top_tenants__lookback_days-3__limit_k-25,20260626T211407Z-clean-run-eu-us-gac-v1__pilot-skew-heavy-v1__fetch_small__analytics_clients,pilot-skew-heavy-v1,pilot-skew-heavy-v1,fetch_small,fetch_size,mr_top_tenants_fetch_sensitivity__dataset-pilot-skew-heavy-v1__runtime-fetch_small,top_tenants,multiregion_union,mr_top_tenants_fetch_sensitivity__dataset-pilot-skew-heavy-v1__runtime-fetch_small__gac_fdw_multiregion_top_tenants__lookback_days-3__limit_k-25,gac_fdw_multiregion_top_tenants,completed,False,0,0,positive_case,fetch_size,,,,,100,,32.0,2.0,2.0,4.0,2.0,64.0,64.0
20260626T211616Z-clean-run-eu-us-gac-v1__pilot-skew-h--108597366a4f--ltiregion_top_tenants__lookback_days-3__limit_k-100,20260626T211407Z-clean-run-eu-us-gac-v1__pilot-skew-heavy-v1__fetch_small__analytics_clients,pilot-skew-heavy-v1,pilot-skew-heavy-v1,fetch_small,fetch_size,mr_top_tenants_fetch_sensitivity__dataset-pilot-skew-heavy-v1__runtime-fetch_small,top_tenants,multiregion_union,mr_top_tenants_fetch_sensitivity__dataset-pilot-skew-heavy-v1__runtime-fetch_small__gac_fdw_multiregion_top_tenants__lookback_days-3__limit_k-100,gac_fdw_multiregion_top_tenants,completed,False,0,0,positive_case,fetch_size,,,,,100,,32.0,2.0,2.0,4.0,2.0,64.0,64.0
20260626T211637Z-clean-run-eu-us-gac-v1__pilot-skew-h--c357f52064e0--__gac_fdw_top_tenants__lookback_days-14__limit_k-10,20260626T211407Z-clean-run-eu-us-gac-v1__pilot-skew-heavy-v1__fetch_small__analytics_clients,pilot-skew-heavy-v1,pilot-skew-heavy-v1,fetch_small,fetch_size,fdw_top_tenants_fetch_sensitivity__dataset-pilot-skew-heavy-v1__runtime-fetch_small,top_tenants,fdw_raw,fdw_top_tenants_fetch_sensitivity__dataset-pilot-skew-heavy-v1__runtime-fetch_small__gac_fdw_top_tenants__lookback_days-14__limit_k-10,gac_fdw_top_tenants,completed,False,0,0,positive_case,fetch_size,,,,,100,,32.0,1.0,2.0,2.0,1.0,32.0,32.0
