query_run_id,remote_path_share,remote_to_final_rows_ratio,wan_output_to_final_rows_ratio,drf_bytes_proxy,global_group_merge_ratio,temp_bytes_to_wan_bytes_ratio,temp_blocks_per_wan_row,temp_blocks_per_final_row,spill_per_wan_mb,hash_batches_max,remote_region_rows_isf,worker_task_scan_rows_isf,worker_task_scan_actual_rows_max_share,task_count_to_shard_count_ratio,active_task_share,citus_repartition_query,worker_task_seq_scan_share,root_rows_estimate_error_log,foreign_scan_rows_estimate_error_log,aggregate_rows_estimate_error_log,remote_root_rows_estimate_error_log
20260626T122851Z-clean-run-eu-us-gac-v1__pilot-balanc--0af283236e2e--__limit_k-100__payload_repeat-64__payload_width-512,0.7093386594392259,-2.267122539846677,-3.241111895824585,4.771171840499988,-3.241111895824585,-1.093893596256877,-0.15990904616949186,-0.9186346130954639,-0.529858997711173,-0.1286978904175573,-0.16162511368691898,-0.9479597706716048,-0.42392034510321175,-0.35463220828584885,0.04308894256977754,-0.14418745018211812,0.34072484736473385,0.09297767607627688,-3.0637322349778775,-0.2227560547015236,-2.6372671297326082
20260626T122906Z-clean-run-eu-us-gac-v1__pilot-balanc--4aff67241072--_etl_user_segment_topk__lookback_days-7__limit_k-25,-1.5195268391980012,0.31675150973488947,0.23409820608412452,-0.1983821471319045,0.23409820608412452,0.19956652572754338,-0.13511536075770034,-0.9186346130954639,-0.23117835795335767,-0.1286978904175573,-0.16162511368691898,-0.31532404677649445,-0.350103554515883,-0.35463220828584885,0.04308894256977754,-0.14418745018211812,0.34072484736473385,0.7161310295924768,0.1663522907854466,0.10798946485441378,-0.3460605543543522
20260626T122922Z-clean-run-eu-us-gac-v1__pilot-balanc--a411d2016ec3--on_user_segment_join__lookback_days-14__limit_k-100,0.5694936855160888,1.1676878755975884,1.1224299979748444,-0.1983821471319045,1.1224299979748444,2.386668655039616,0.22379084353945639,2.090498678897454,3.4920911407489417,-0.1286978904175573,-0.16162511368691898,-0.27496738188411934,-0.5228582295117413,2.768092202280521,1.8484581843200298,-0.14418745018211812,0.34072484736473385,-0.6558244942102106,0.5595173421597144,-0.6201910704300868,-0.3460605543543522
20260626T122950Z-clean-run-eu-us-gac-v1__pilot-balanc--de34a3c4234e--rollup__lookback_days-14__min_value-500__limit_k-25,0.647491242669727,0.4683517926347545,0.2340018384080752,-0.1983821471319045,0.2340018384080752,0.24382160059737545,-0.13495952465457098,0.4904308702412935,-0.2118744982855515,-0.1286978904175573,-0.13881096522850916,-0.7329752661285645,-0.4905610538221067,0.6862759285696077,0.04308894256977754,-0.14418745018211812,0.34072484736473385,0.09297767607627688,0.8272640500534676,2.0205209265949353,-0.5563869997219277
20260626T123011Z-clean-run-eu-us-gac-v1__pilot-balanc--f85a7169aafe--ulti_dimension_rollup__lookback_days-3__limit_k-100,0.6460496318468247,0.3881182095926365,0.13207405825470264,-0.1983821471319045,0.13207405825470264,0.19956652572754338,-0.1314894031473713,0.4542881256622958,-0.23117835795335767,-0.1286978904175573,-0.16162511368691898,-0.5632247924207986,-0.4798707931817071,0.7188043078463408,1.9048759731247251,-0.14418745018211812,0.34072484736473385,2.3454962374246895,0.1663522907854466,0.9727930307343224,1.5300207111275477
20260626T123031Z-clean-run-eu-us-gac-v1__pilot-balanc--b71cf11813c1--__limit_k-250__payload_repeat-16__payload_width-512,0.7088511807063429,-2.235687732651122,-3.2011774943494538,3.6003448974676084,-3.2011774943494538,-1.093893596256877,-0.15990904616949186,-0.9186346130954639,-0.529858997711173,-0.1286978904175573,-0.16162511368691898,-0.9479597706716048,-0.42392034510321175,-0.35463220828584885,0.04308894256977754,-0.14418745018211812,0.34072484736473385,0.5987739401631764,-2.4541395685600462,-0.2227560547015236,-2.3076678383336557
20260626T123046Z-clean-run-eu-us-gac-v1__pilot-balanc--185078955f97--multi_dimension_rollup__lookback_days-1__limit_k-10,0.6682899963803731,0.9054309553367668,0.7892619566321911,-0.1983821471319045,0.7892619566321911,0.19956652572754338,-0.1314894031473713,0.9618696154630713,-0.23117835795335767,-0.1286978904175573,-0.16162511368691898,-0.5632247924207986,-0.4798707931817071,0.7188043078463408,1.9048759731247251,-0.14418745018211812,0.34072484736473385,1.0024273834576847,0.1663522907854466,0.3750184880163995,1.5300207111275477
20260626T123106Z-clean-run-eu-us-gac-v1__pilot-balanc--b51c3b553839--__limit_k-100__payload_repeat-16__payload_width-512,0.7093181526400933,-2.267122539846677,-3.241111895824585,4.771171840499988,-3.241111895824585,-1.093893596256877,-0.15990904616949186,-0.9186346130954639,-0.529858997711173,-0.1286978904175573,-0.16162511368691898,-0.9479597706716048,-0.42392034510321175,-0.35463220828584885,0.04308894256977754,-0.14418745018211812,0.34072484736473385,0.09297767607627688,-3.0637322349778775,-0.2227560547015236,-2.6372671297326082
20260626T123122Z-clean-run-eu-us-gac-v1__pilot-balanc--58600e6ad366--_tenant_id-100__us_tenant_id-10010__lookback_days-7,0.7030638882920628,-0.7466194875750354,-1.3094830820756151,0.23762060004450614,-1.3094830820756151,-1.093893596256877,-0.15990904616949186,-0.9186346130954639,-0.529858997711173,-0.1286978904175573,-0.16162511368691898,-1.1779012758160143,1.5089891974037977,-1.3304835865878393,-1.7058625103757792,-0.14418745018211812,-3.1265476926577396,0.09297767607627688,-1.3233338913844974,-0.2227560547015236,1.0454418577486675
20260626T123137Z-clean-run-eu-us-gac-v1__pilot-balanc--d535a14caef6--fdw_user_segment_join__lookback_days-30__limit_k-10,0.4161570293512924,0.9390819017941785,0.8320117148059404,-0.1983821471319045,0.8320117148059404,2.319508922067296,0.19830336675246016,1.8405553904537357,3.2068293444159206,-0.1286978904175573,-0.16162511368691898,-0.5815337967999882,-0.47950842205518107,0.6862759285696077,1.8484581843200298,-0.14418745018211812,0.34072484736473385,0.007291894131210471,1.0700328887565371,-0.30975350592010903,-0.3460605543543522
