representation,feature,family,transform,reference_state_count,observed_count,missing_share,distinct_count,selected,decision,fit_scope
R1_sql_structural,plan_blocking_operator_count,basic_plan,log1p,26.0,26.0,0.0,1.0,True,retained_constant_for_unseen_structure,development_reference_only
R1_sql_structural,plan_sort_operator_count,basic_plan,log1p,26.0,26.0,0.0,1.0,True,retained_constant_for_unseen_structure,development_reference_only
R1_sql_structural,plan_aggregate_operator_count,basic_plan,log1p,26.0,26.0,0.0,1.0,True,retained_constant_for_unseen_structure,development_reference_only
R1_sql_structural,plan_join_operator_count,basic_plan,log1p,26.0,26.0,0.0,1.0,True,retained_constant_for_unseen_structure,development_reference_only
R1_sql_structural,plan_window_operator_count,basic_plan,log1p,26.0,26.0,0.0,1.0,True,retained_constant_for_unseen_structure,development_reference_only
R1_sql_structural,plan_limit_operator_count,basic_plan,log1p,26.0,26.0,0.0,1.0,True,retained_constant_for_unseen_structure,development_reference_only
R2_coordinator_physical,elapsed_seconds,execution,log1p,26.0,26.0,0.0,26.0,True,selected,development_reference_only
R2_coordinator_physical,result_row_count,execution,log1p,26.0,26.0,0.0,5.0,True,selected,development_reference_only
R2_coordinator_physical,result_output_byte_count,execution,log1p,26.0,26.0,0.0,10.0,True,selected,development_reference_only
R2_coordinator_physical,shared_blks_hit_sum,execution,log1p,26.0,26.0,0.0,1.0,False,constant,development_reference_only
R2_coordinator_physical,shared_blks_read_sum,execution,log1p,26.0,26.0,0.0,1.0,False,constant,development_reference_only
R2_coordinator_physical,temp_blks_written_sum,execution,log1p,26.0,26.0,0.0,14.0,True,selected,development_reference_only
R2_coordinator_physical,coordinator_main_plan_total_time_ms,gac,log1p,26.0,26.0,0.0,26.0,True,selected,development_reference_only
R2_coordinator_physical,coordinator_foreign_scan_time_ms_sum,gac,log1p,26.0,26.0,0.0,26.0,True,selected,development_reference_only
R2_coordinator_physical,coordinator_non_foreign_time_share_proxy,gac,identity,26.0,26.0,0.0,26.0,True,selected,development_reference_only
R2_coordinator_physical,coordinator_fanin_rows,gac,log1p,26.0,26.0,0.0,6.0,True,selected,development_reference_only
R2_coordinator_physical,coordinator_fanin_bytes_estimated,gac,log1p,26.0,26.0,0.0,6.0,True,selected,development_reference_only
R2_coordinator_physical,coordinator_final_rows,gac,log1p,26.0,26.0,0.0,5.0,True,selected,development_reference_only
R2_coordinator_physical,coordinator_final_bytes_estimated,gac,log1p,26.0,26.0,0.0,5.0,True,selected,development_reference_only
R2_coordinator_physical,coordinator_blocking_input_rows_sum,gac,log1p,26.0,26.0,0.0,6.0,True,selected,development_reference_only
R2_coordinator_physical,coordinator_temp_written_blocks,gac,log1p,26.0,26.0,0.0,14.0,True,selected,development_reference_only
R2_coordinator_physical,coordinator_hash_batches_max,gac,log1p,26.0,0.0,1.0,0.0,False,all_missing,development_reference_only
R2_coordinator_physical,coordinator_sort_input_rows_sum,gac,log1p,26.0,26.0,0.0,6.0,True,selected,development_reference_only
R2_coordinator_physical,coordinator_sort_time_ms_max,gac,log1p,26.0,26.0,0.0,26.0,True,selected,development_reference_only
R2_coordinator_physical,coordinator_aggregate_input_rows_sum,gac,log1p,26.0,0.0,1.0,0.0,False,all_missing,development_reference_only
R2_coordinator_physical,coordinator_aggregate_time_ms_max,gac,log1p,26.0,0.0,1.0,0.0,False,all_missing,development_reference_only
R2_coordinator_physical,coordinator_join_input_rows_sum,gac,log1p,26.0,0.0,1.0,0.0,False,all_missing,development_reference_only
R2_coordinator_physical,coordinator_join_time_ms_max,gac,log1p,26.0,0.0,1.0,0.0,False,all_missing,development_reference_only
R3_full_multilayer,elapsed_seconds,execution,log1p,,,,,True,frozen_selected,preexisting_development_artifact
R3_full_multilayer,result_row_count,execution,log1p,,,,,True,frozen_selected,preexisting_development_artifact
R3_full_multilayer,result_output_byte_count,execution,log1p,,,,,True,frozen_selected,preexisting_development_artifact
R3_full_multilayer,shared_blks_hit_sum,execution,log1p,,,,,False,frozen_excluded,preexisting_development_artifact
R3_full_multilayer,shared_blks_read_sum,execution,log1p,,,,,False,frozen_excluded,preexisting_development_artifact
R3_full_multilayer,temp_blks_written_sum,execution,log1p,,,,,True,frozen_selected,preexisting_development_artifact
R3_full_multilayer,estimated_result_bytes,flow,log1p,,,,,True,frozen_selected,preexisting_development_artifact
R3_full_multilayer,estimated_remote_output_bytes,flow,log1p,,,,,True,frozen_selected,preexisting_development_artifact
R3_full_multilayer,estimated_fanin_bytes,flow,log1p,,,,,True,frozen_selected,preexisting_development_artifact
R3_full_multilayer,coordinator_main_plan_total_time_ms,gac,log1p,,,,,True,frozen_selected,preexisting_development_artifact
R3_full_multilayer,coordinator_foreign_scan_time_ms_sum,gac,log1p,,,,,True,frozen_selected,preexisting_development_artifact
R3_full_multilayer,coordinator_non_foreign_time_share_proxy,gac,identity,,,,,True,frozen_selected,preexisting_development_artifact
R3_full_multilayer,coordinator_fanin_rows,gac,log1p,,,,,True,frozen_selected,preexisting_development_artifact
R3_full_multilayer,coordinator_fanin_bytes_estimated,gac,log1p,,,,,True,frozen_selected,preexisting_development_artifact
R3_full_multilayer,coordinator_final_rows,gac,log1p,,,,,True,frozen_selected,preexisting_development_artifact
R3_full_multilayer,coordinator_final_bytes_estimated,gac,log1p,,,,,True,frozen_selected,preexisting_development_artifact
R3_full_multilayer,coordinator_blocking_input_rows_sum,gac,log1p,,,,,True,frozen_selected,preexisting_development_artifact
R3_full_multilayer,coordinator_temp_written_blocks,gac,log1p,,,,,True,frozen_selected,preexisting_development_artifact
R3_full_multilayer,coordinator_hash_batches_max,gac,log1p,,,,,False,frozen_excluded,preexisting_development_artifact
R3_full_multilayer,coordinator_sort_input_rows_sum,gac,log1p,,,,,True,frozen_selected,preexisting_development_artifact
R3_full_multilayer,coordinator_sort_time_ms_max,gac,log1p,,,,,True,frozen_selected,preexisting_development_artifact
R3_full_multilayer,coordinator_aggregate_input_rows_sum,gac,log1p,,,,,False,frozen_excluded,preexisting_development_artifact
R3_full_multilayer,coordinator_aggregate_time_ms_max,gac,log1p,,,,,False,frozen_excluded,preexisting_development_artifact
R3_full_multilayer,coordinator_join_input_rows_sum,gac,log1p,,,,,False,frozen_excluded,preexisting_development_artifact
R3_full_multilayer,coordinator_join_time_ms_max,gac,log1p,,,,,False,frozen_excluded,preexisting_development_artifact
R3_full_multilayer,task_count,region,log1p,,,,,True,frozen_selected,preexisting_development_artifact
R3_full_multilayer,task_time_mean_ms,region,log1p,,,,,False,frozen_excluded,preexisting_development_artifact
R3_full_multilayer,task_time_cv,region,identity,,,,,False,frozen_excluded,preexisting_development_artifact
R3_full_multilayer,task_rows_mean,region,log1p,,,,,False,frozen_excluded,preexisting_development_artifact
R3_full_multilayer,task_rows_cv,region,identity,,,,,False,frozen_excluded,preexisting_development_artifact
R3_full_multilayer,remote_region_actual_rows_sum,region,log1p,,,,,True,frozen_selected,preexisting_development_artifact
R3_full_multilayer,remote_region_actual_rows_cv,region,identity,,,,,True,frozen_selected,preexisting_development_artifact
R3_full_multilayer,remote_region_actual_rows_max_share,region,identity,,,,,True,frozen_selected,preexisting_development_artifact
R3_full_multilayer,remote_region_actual_time_sum,region,log1p,,,,,True,frozen_selected,preexisting_development_artifact
R3_full_multilayer,remote_region_actual_time_cv,region,identity,,,,,True,frozen_selected,preexisting_development_artifact
R3_full_multilayer,remote_region_actual_time_max_share,region,identity,,,,,True,frozen_selected,preexisting_development_artifact
R3_full_multilayer,remote_region_tuple_bytes_sum,region,log1p,,,,,True,frozen_selected,preexisting_development_artifact
R3_full_multilayer,remote_region_tuple_bytes_cv,region,identity,,,,,True,frozen_selected,preexisting_development_artifact
R3_full_multilayer,remote_region_tuple_bytes_max_share,region,identity,,,,,True,frozen_selected,preexisting_development_artifact
R3_full_multilayer,regional_temp_written_blocks_sum,region,log1p,,,,,True,frozen_selected,preexisting_development_artifact
R3_full_multilayer,regional_spill_present,region,identity,,,,,False,frozen_excluded,preexisting_development_artifact
R3_full_multilayer,remote_citus_map_merge_job_count_sum,citus,log1p,,,,,False,frozen_excluded,preexisting_development_artifact
R3_full_multilayer,remote_citus_dependent_map_task_count_sum,citus,log1p,,,,,False,frozen_excluded,preexisting_development_artifact
R3_full_multilayer,remote_citus_repartition_fanout_ratio_max,citus,log1p,,,,,False,frozen_excluded,preexisting_development_artifact
R3_full_multilayer,citus_repartition_observed_v2,citus,identity,,,,,False,frozen_excluded,preexisting_development_artifact
R3_full_multilayer,worker_task_actual_rows_sum,worker,log1p,,,,,True,frozen_selected,preexisting_development_artifact
R3_full_multilayer,worker_task_actual_rows_cv,worker,identity,,,,,True,frozen_selected,preexisting_development_artifact
R3_full_multilayer,worker_task_actual_rows_max_share,worker,identity,,,,,True,frozen_selected,preexisting_development_artifact
R3_full_multilayer,worker_task_scan_actual_rows_sum,worker,log1p,,,,,True,frozen_selected,preexisting_development_artifact
R3_full_multilayer,worker_task_scan_actual_rows_cv,worker,identity,,,,,True,frozen_selected,preexisting_development_artifact
R3_full_multilayer,worker_task_scan_actual_rows_max_share,worker,identity,,,,,True,frozen_selected,preexisting_development_artifact
R3_full_multilayer,worker_task_actual_time_sum,worker,log1p,,,,,False,frozen_excluded,preexisting_development_artifact
R3_full_multilayer,worker_task_actual_time_cv,worker,identity,,,,,False,frozen_excluded,preexisting_development_artifact
R3_full_multilayer,worker_task_actual_time_max_share,worker,identity,,,,,False,frozen_excluded,preexisting_development_artifact
R3_full_multilayer,worker_task_seq_scan_share,worker,identity,,,,,True,frozen_selected,preexisting_development_artifact
R3_full_multilayer,worker_task_index_scan_share,worker,identity,,,,,False,frozen_excluded,preexisting_development_artifact
R3_full_multilayer,worker_task_join_node_count,worker,log1p,,,,,False,frozen_excluded,preexisting_development_artifact
R3_full_multilayer,worker_task_aggregate_node_count,worker,log1p,,,,,False,frozen_excluded,preexisting_development_artifact
R3_full_multilayer,worker_task_sort_node_count,worker,log1p,,,,,False,frozen_excluded,preexisting_development_artifact
R3_full_multilayer,worker_task_spill_count,worker,log1p,,,,,False,frozen_excluded,preexisting_development_artifact
R3_full_multilayer,worker_task_temp_written_sum,worker,log1p,,,,,False,frozen_excluded,preexisting_development_artifact
R3_full_multilayer,worker_task_within_region_worker_scan_rows_cv_max,worker,identity,,,,,True,frozen_selected,preexisting_development_artifact
R3_full_multilayer,worker_task_within_region_worker_scan_rows_max_share_max,worker,identity,,,,,True,frozen_selected,preexisting_development_artifact
R3_full_multilayer,regional_coordinator_tx_bytes_sum,telemetry,log1p,,,,,True,frozen_selected,preexisting_development_artifact
R3_full_multilayer,analytics_rx_bytes_sum,telemetry,log1p,,,,,True,frozen_selected,preexisting_development_artifact
R3_full_multilayer,worker_tx_bytes_sum,telemetry,log1p,,,,,True,frozen_selected,preexisting_development_artifact
R3_full_multilayer,os_cpu_busy_pct_mean,telemetry,identity,,,,,True,frozen_selected,preexisting_development_artifact
R3_full_multilayer,os_cpu_busy_pct_max,telemetry,identity,,,,,True,frozen_selected,preexisting_development_artifact
R3_full_multilayer,os_mem_used_peak_bytes_max,telemetry,log1p,,,,,True,frozen_selected,preexisting_development_artifact
R3_full_multilayer,os_disk_read_bytes_sum,telemetry,log1p,,,,,True,frozen_selected,preexisting_development_artifact
R3_full_multilayer,os_disk_written_bytes_sum,telemetry,log1p,,,,,True,frozen_selected,preexisting_development_artifact
R3_full_multilayer,os_net_rx_bytes_sum,telemetry,log1p,,,,,True,frozen_selected,preexisting_development_artifact
R3_full_multilayer,os_net_tx_bytes_sum,telemetry,log1p,,,,,True,frozen_selected,preexisting_development_artifact
R3_full_multilayer,os_tcp_retrans_segs_sum,telemetry,log1p,,,,,True,frozen_selected,preexisting_development_artifact
R3_full_multilayer,os_tcp_timeouts_sum,telemetry,log1p,,,,,True,frozen_selected,preexisting_development_artifact
R3_full_multilayer,edge_count,edge,log1p,,,,,False,frozen_excluded,preexisting_development_artifact
R3_full_multilayer,edge_remote_rows_sum,edge,log1p,,,,,True,frozen_selected,preexisting_development_artifact
R3_full_multilayer,edge_remote_rows_max_share,edge,identity,,,,,True,frozen_selected,preexisting_development_artifact
R3_full_multilayer,edge_remote_bytes_sum,edge,log1p,,,,,True,frozen_selected,preexisting_development_artifact
R3_full_multilayer,edge_remote_bytes_max_share,edge,identity,,,,,True,frozen_selected,preexisting_development_artifact
R3_full_multilayer,edge_foreign_scan_time_ms_sum,edge,log1p,,,,,True,frozen_selected,preexisting_development_artifact
R3_full_multilayer,edge_regional_plan_time_ms_sum,edge,log1p,,,,,True,frozen_selected,preexisting_development_artifact
R3_full_multilayer,edge_boundary_wait_ms_sum,edge,log1p,,,,,True,frozen_selected,preexisting_development_artifact
R3_full_multilayer,edge_estimated_fetch_cycles_sum,edge,log1p,,,,,True,frozen_selected,preexisting_development_artifact
R3_full_multilayer,edge_rtt_context_median_ms_mean,edge,log1p,,,,,True,frozen_selected,preexisting_development_artifact
R3_full_multilayer,edge_rtt_context_median_ms_max,edge,log1p,,,,,True,frozen_selected,preexisting_development_artifact
R3_full_multilayer,edge_source_tx_bytes_sum,edge,log1p,,,,,True,frozen_selected,preexisting_development_artifact
R3_full_multilayer,edge_source_tx_bps_mean,edge,log1p,,,,,True,frozen_selected,preexisting_development_artifact
R3_full_multilayer,edge_source_tx_bps_min,edge,log1p,,,,,True,frozen_selected,preexisting_development_artifact
R3_full_multilayer,edge_qdisc_drops_sum,edge,log1p,,,,,False,frozen_excluded,preexisting_development_artifact
R3_full_multilayer,edge_qdisc_overlimits_sum,edge,log1p,,,,,False,frozen_excluded,preexisting_development_artifact
R3_full_multilayer,edge_tcp_retrans_sum,edge,log1p,,,,,True,frozen_selected,preexisting_development_artifact
R3_full_multilayer,edge_available_share,edge,identity,,,,,False,frozen_excluded,preexisting_development_artifact
