evidence_block,rendered_corpus,sql_path,sql_sha256,condition_id,execution_slot_id,pair_id,repeat_id,logical_question_id,dataset_profile_id,topology_id,template_id,runtime_config_id,intervention_role,mitigation_action,repetition_index,run_order,parameter_json,expected_shape_tags
characterization_corpus,clean-run-v1,artifacts/rendered-corpora/clean-run-v1/groups/clean-run-eu-us-gac-v1__pilot-balanced-v1__default__analytics_clients/queries/etl_global_user_default__dataset-pilot-balanced-v1__runtime-default__gac_etl_global_user_topk__lookback_days-7__limit_k-50.sql,f7766f8ac03c954eaa3bc7de8e099cba6db1f9d1f8d8070f8c4cea6ab0ae829b,,,,,global_user_topk,pilot-balanced-v1,eu_us_gac,gac_etl_global_user_topk,default,negative_control,,0,404,"{""limit_k"": 50, ""lookback_days"": 7}","local_etl_read,non_colocated_join_materialized,topk"
characterization_corpus,clean-run-v1,artifacts/rendered-corpora/clean-run-v1/groups/clean-run-eu-us-gac-v1__pilot-balanced-v1__default__analytics_clients/queries/etl_multi_dimension_default__dataset-pilot-balanced-v1__runtime-default__gac_etl_multi_dimension_rollup__lookback_days-14__limit_k-10.sql,87dcc22d44b902acf0d73c3e17121c6e7dbfa4af22d4592cf766e9fd1ec07675,,,,,multi_dimension_rollup,pilot-balanced-v1,eu_us_gac,gac_etl_multi_dimension_rollup,default,negative_control,,0,258,"{""limit_k"": 10, ""lookback_days"": 14}","local_etl_read,multi_join_materialized,daily_group_by"
characterization_corpus,clean-run-v1,artifacts/rendered-corpora/clean-run-v1/groups/clean-run-eu-us-gac-v1__pilot-balanced-v1__default__analytics_clients/queries/etl_multi_dimension_default__dataset-pilot-balanced-v1__runtime-default__gac_etl_multi_dimension_rollup__lookback_days-14__limit_k-100.sql,125c9f86ce018bb27b939b4e28a9f11f834bfa047382b52955dd4f2e779e0bba,,,,,multi_dimension_rollup,pilot-balanced-v1,eu_us_gac,gac_etl_multi_dimension_rollup,default,negative_control,,0,499,"{""limit_k"": 100, ""lookback_days"": 14}","local_etl_read,multi_join_materialized,daily_group_by"
characterization_corpus,clean-run-v1,artifacts/rendered-corpora/clean-run-v1/groups/clean-run-eu-us-gac-v1__pilot-balanced-v1__default__analytics_clients/queries/etl_multi_dimension_default__dataset-pilot-balanced-v1__runtime-default__gac_etl_multi_dimension_rollup__lookback_days-14__limit_k-25.sql,eff26c39c14e045d85925a166105c15c924d40ea5d9e375d164478d08f7fcac1,,,,,multi_dimension_rollup,pilot-balanced-v1,eu_us_gac,gac_etl_multi_dimension_rollup,default,negative_control,,0,650,"{""limit_k"": 25, ""lookback_days"": 14}","local_etl_read,multi_join_materialized,daily_group_by"
characterization_corpus,clean-run-v1,artifacts/rendered-corpora/clean-run-v1/groups/clean-run-eu-us-gac-v1__pilot-balanced-v1__default__analytics_clients/queries/etl_multi_dimension_default__dataset-pilot-balanced-v1__runtime-default__gac_etl_multi_dimension_rollup__lookback_days-14__limit_k-50.sql,28c667740c346344ab0889bf668589ef0e46c5e3f26727f7f280653dab4b7a52,,,,,multi_dimension_rollup,pilot-balanced-v1,eu_us_gac,gac_etl_multi_dimension_rollup,default,negative_control,,0,121,"{""limit_k"": 50, ""lookback_days"": 14}","local_etl_read,multi_join_materialized,daily_group_by"
characterization_corpus,clean-run-v1,artifacts/rendered-corpora/clean-run-v1/groups/clean-run-eu-us-gac-v1__pilot-balanced-v1__default__analytics_clients/queries/etl_multi_dimension_default__dataset-pilot-balanced-v1__runtime-default__gac_etl_multi_dimension_rollup__lookback_days-1__limit_k-10.sql,ccd6db9940c83d4f22f56fb7719c888fd87809a9ca8fe2d8b401da80dff97737,,,,,multi_dimension_rollup,pilot-balanced-v1,eu_us_gac,gac_etl_multi_dimension_rollup,default,negative_control,,0,580,"{""limit_k"": 10, ""lookback_days"": 1}","local_etl_read,multi_join_materialized,daily_group_by"
characterization_corpus,clean-run-v1,artifacts/rendered-corpora/clean-run-v1/groups/clean-run-eu-us-gac-v1__pilot-balanced-v1__default__analytics_clients/queries/etl_multi_dimension_default__dataset-pilot-balanced-v1__runtime-default__gac_etl_multi_dimension_rollup__lookback_days-1__limit_k-100.sql,5eaf4ff38c3770a354b9de38735ac945859b2e16638ad10f87aada95c69ca6e4,,,,,multi_dimension_rollup,pilot-balanced-v1,eu_us_gac,gac_etl_multi_dimension_rollup,default,negative_control,,0,365,"{""limit_k"": 100, ""lookback_days"": 1}","local_etl_read,multi_join_materialized,daily_group_by"
characterization_corpus,clean-run-v1,artifacts/rendered-corpora/clean-run-v1/groups/clean-run-eu-us-gac-v1__pilot-balanced-v1__default__analytics_clients/queries/etl_multi_dimension_default__dataset-pilot-balanced-v1__runtime-default__gac_etl_multi_dimension_rollup__lookback_days-1__limit_k-25.sql,f69e7b75b9ee54f123b71f1c4d9340355cec29557669470989be8c6514061179,,,,,multi_dimension_rollup,pilot-balanced-v1,eu_us_gac,gac_etl_multi_dimension_rollup,default,negative_control,,0,464,"{""limit_k"": 25, ""lookback_days"": 1}","local_etl_read,multi_join_materialized,daily_group_by"
characterization_corpus,clean-run-v1,artifacts/rendered-corpora/clean-run-v1/groups/clean-run-eu-us-gac-v1__pilot-balanced-v1__default__analytics_clients/queries/etl_multi_dimension_default__dataset-pilot-balanced-v1__runtime-default__gac_etl_multi_dimension_rollup__lookback_days-1__limit_k-50.sql,28917661c7d123da6e6111e7ea1ddfe64c9f7b2047111ae876b2486e4412b6de,,,,,multi_dimension_rollup,pilot-balanced-v1,eu_us_gac,gac_etl_multi_dimension_rollup,default,negative_control,,0,153,"{""limit_k"": 50, ""lookback_days"": 1}","local_etl_read,multi_join_materialized,daily_group_by"
characterization_corpus,clean-run-v1,artifacts/rendered-corpora/clean-run-v1/groups/clean-run-eu-us-gac-v1__pilot-balanced-v1__default__analytics_clients/queries/etl_multi_dimension_default__dataset-pilot-balanced-v1__runtime-default__gac_etl_multi_dimension_rollup__lookback_days-30__limit_k-10.sql,81115fa1ca9a7e3a772f5f075098d9c378438fb53056d93c5335f60700a12597,,,,,multi_dimension_rollup,pilot-balanced-v1,eu_us_gac,gac_etl_multi_dimension_rollup,default,negative_control,,0,205,"{""limit_k"": 10, ""lookback_days"": 30}","local_etl_read,multi_join_materialized,daily_group_by"
