evaluation,distance_metric,neighbors,coverage_quantile,coverage_threshold,episode_count,recommendation_count,abstention_count,coverage,correct_count,top1_accuracy,mean_regret_log2
E3,cosine,3,0.99,0.2574757610674847,15,8,7,0.5333333333333333,4,0.5,0.5297196192843572
E3,cosine,3,1.0,0.282783078260204,15,8,7,0.5333333333333333,4,0.5,0.5297196192843572
E3,cosine,5,0.9,0.09556210096881373,15,8,7,0.5333333333333333,4,0.5,0.5297196192843572
E3,cosine,5,0.95,0.16059760124384542,15,8,7,0.5333333333333333,4,0.5,0.5297196192843572
E3,cosine,5,0.99,0.2574757610674847,15,8,7,0.5333333333333333,4,0.5,0.5297196192843572
E3,cosine,5,1.0,0.282783078260204,15,8,7,0.5333333333333333,4,0.5,0.5297196192843572
E3,euclidean,1,0.9,1.365205642254646,15,0,15,0.0,0,,
E3,euclidean,1,0.95,1.6243914528713777,15,0,15,0.0,0,,
E3,euclidean,1,0.99,1.9533554892194176,15,0,15,0.0,0,,
E3,euclidean,1,1.0,2.056915703364297,15,0,15,0.0,0,,
E3,euclidean,3,0.9,1.365205642254646,15,0,15,0.0,0,,
E3,euclidean,3,0.95,1.6243914528713777,15,0,15,0.0,0,,
E3,euclidean,3,0.99,1.9533554892194176,15,0,15,0.0,0,,
E3,euclidean,3,1.0,2.056915703364297,15,0,15,0.0,0,,
E3,euclidean,5,0.9,1.365205642254646,15,0,15,0.0,0,,
E3,euclidean,5,0.95,1.6243914528713777,15,0,15,0.0,0,,
E3,euclidean,5,0.99,1.9533554892194176,15,0,15,0.0,0,,
E3,euclidean,5,1.0,2.056915703364297,15,0,15,0.0,0,,
E3,manhattan,1,0.9,2.3782235646811527,15,0,15,0.0,0,,
E3,manhattan,1,0.95,2.9499134000907956,15,0,15,0.0,0,,
E3,manhattan,1,0.99,4.2051531858588325,15,0,15,0.0,0,,
E3,manhattan,1,1.0,4.580166691095399,15,0,15,0.0,0,,
E3,manhattan,3,0.9,2.3782235646811527,15,0,15,0.0,0,,
E3,manhattan,3,0.95,2.9499134000907956,15,0,15,0.0,0,,
E3,manhattan,3,0.99,4.2051531858588325,15,0,15,0.0,0,,
E3,manhattan,3,1.0,4.580166691095399,15,0,15,0.0,0,,
E3,manhattan,5,0.9,2.3782235646811527,15,0,15,0.0,0,,
E3,manhattan,5,0.95,2.9499134000907956,15,0,15,0.0,0,,
E3,manhattan,5,0.99,4.2051531858588325,15,0,15,0.0,0,,
E3,manhattan,5,1.0,4.580166691095399,15,0,15,0.0,0,,
E4,cosine,1,0.9,0.09556210096881373,15,15,0,1.0,10,0.6666666666666666,0.2576657425028151
E4,cosine,1,0.95,0.16059760124384542,15,15,0,1.0,10,0.6666666666666666,0.2576657425028151
E4,cosine,1,0.99,0.2574757610674847,15,15,0,1.0,10,0.6666666666666666,0.2576657425028151
E4,cosine,1,1.0,0.282783078260204,15,15,0,1.0,10,0.6666666666666666,0.2576657425028151
E4,cosine,3,0.9,0.09556210096881373,15,15,0,1.0,10,0.6666666666666666,0.25977456746471067
E4,cosine,3,0.95,0.16059760124384542,15,15,0,1.0,10,0.6666666666666666,0.25977456746471067
E4,cosine,3,0.99,0.2574757610674847,15,15,0,1.0,10,0.6666666666666666,0.25977456746471067
E4,cosine,3,1.0,0.282783078260204,15,15,0,1.0,10,0.6666666666666666,0.25977456746471067
E4,cosine,5,0.9,0.09556210096881373,15,15,0,1.0,10,0.6666666666666666,0.25977456746471067
E4,cosine,5,0.95,0.16059760124384542,15,15,0,1.0,10,0.6666666666666666,0.25977456746471067
E4,cosine,5,0.99,0.2574757610674847,15,15,0,1.0,10,0.6666666666666666,0.25977456746471067
