holdout,feature_view,model,pair_count,oof_mae,oof_rmse,oof_r2,oof_spearman,oof_kendall,oof_ndcg_at_5,oof_top3_recall,oof_top5_recall,fold_spearman_mean,fold_kendall_mean,fold_ndcg_at_5_mean,fold_top3_recall_mean,fold_top5_recall_mean
leave_size_class_out,extended,median_baseline,75,1.1496874804869708,1.5994825916904336,-0.09104567922851614,-0.24431749508954098,-0.20080989172003608,0.15561678671660506,0.0,0.0,,,0.47262495902869217,0.2222222222222222,0.3333333333333333
leave_size_class_out,extended,ridge,75,0.5358924345185369,0.6085440181033436,0.8420688150819603,0.9233285917496443,0.7542342342342343,0.4288645909655368,0.3333333333333333,0.2,0.9348717948717948,0.7844444444444444,0.9871725090401721,0.5555555555555555,0.6666666666666666
leave_size_class_out,extended,shallow_gradient_boosting,75,0.8302674133265625,1.014190074992706,0.5613454781167949,0.5441861634416518,0.4053673937408091,0.3142523570469266,0.0,0.0,0.8468717635136646,0.6755498273361114,0.6643698827756676,0.3333333333333333,0.5333333333333333
leave_stressed_template_out,core,elastic_net,75,0.4630155502825656,0.6902925785916686,0.7967875523505278,0.9259743954480797,0.7772972972972974,0.73936075143316,0.3333333333333333,0.6,0.9469566295417688,0.8555555555555556,0.9890558516278827,0.8333333333333333,0.8999999999999999
leave_stressed_template_out,core,median_baseline,75,1.1045174497362993,1.6068735760495914,-0.10115211323463025,-0.11439788239669382,-0.09083767834461294,0.1896023578356147,0.0,0.0,,,0.43600694099195897,0.16666666666666666,0.25
leave_stressed_template_out,core,ridge,75,0.46015203600141613,0.6854471882570659,0.799630369705432,0.9296728307254624,0.7830630630630632,0.9761062060379267,0.3333333333333333,0.4,0.9511774087625481,0.8603174603174604,0.9890558516278827,0.8333333333333333,0.8999999999999999
leave_stressed_template_out,core,shallow_gradient_boosting,75,0.3308961804584193,0.5641680340965448,0.8642621865926775,0.8676327449858888,0.7150977114455251,0.4711750345435832,0.0,0.4,0.9210829742078466,0.8251038551151599,0.8274840961046098,0.75,0.75
leave_stressed_template_out,extended,elastic_net,75,0.2406611684693677,0.45293456960225037,0.9125107212928069,0.9645803698435277,0.8436036036036036,0.4682520403880621,0.0,0.2,0.9720665299612667,0.9021942110177406,0.945509839576335,0.8333333333333333,0.9
leave_stressed_template_out,extended,median_baseline,75,1.1045174497362993,1.6068735760495914,-0.10115211323463025,-0.11439788239669382,-0.09083767834461294,0.1896023578356147,0.0,0.0,,,0.43600694099195897,0.16666666666666666,0.25
leave_stressed_template_out,extended,ridge,75,0.2124729623806949,0.4044186696275562,0.930249666136464,0.9714651493598863,0.8623423423423425,0.710018404481855,0.3333333333333333,0.4,0.9784672242102583,0.9167600373482727,0.9903393405200301,0.8333333333333333,0.9
leave_stressed_template_out,extended,shallow_gradient_boosting,75,0.27027571483119706,0.48298371621714814,0.9005169994207666,0.8871043482146197,0.7389903735728597,0.46900313820580275,0.0,0.2,0.9184845166212078,0.8180317813898348,0.891771059166394,0.75,0.8
