holdout,fold,held_out_group,feature_view,model,train_pair_count,test_pair_count,mae,rmse,r2,spearman,kendall,ndcg_at_5,top3_recall,top5_recall
leave_stressed_template_out,3,gac_fdw_single_edge_repartition_user_join_pair,extended,ridge,54,21,0.26843252598010686,0.4991129412113741,0.9073594629559474,0.9675324675324675,0.8761904761904763,0.9841577562244619,0.6666666666666666,0.8
leave_stressed_template_out,3,gac_fdw_single_edge_repartition_user_join_pair,extended,elastic_net,54,21,0.29058142709047907,0.5372153506269909,0.8926751647085996,0.9584415584415583,0.8571428571428572,0.8048397524496813,0.6666666666666666,0.8
leave_stressed_template_out,3,gac_fdw_single_edge_repartition_user_join_pair,extended,shallow_gradient_boosting,54,21,0.34553508890555407,0.7673617303931306,0.7810203911450698,0.8677287192141137,0.7434245147973991,0.6256482409945965,0.3333333333333333,0.8
leave_stressed_template_out,4,gac_fdw_single_edge_repartition_user_value_topk_pair,core,median_baseline,57,18,1.1076963261336958,1.6453807614098248,-0.17183640051182936,,,0.4730168970970905,0.0,0.4
leave_stressed_template_out,4,gac_fdw_single_edge_repartition_user_value_topk_pair,core,ridge,57,18,0.4132807986419045,0.4598510803093215,0.9084689221752948,0.9628482972136224,0.8823529411764707,0.97158731056695,1.0,0.8
leave_stressed_template_out,4,gac_fdw_single_edge_repartition_user_value_topk_pair,core,elastic_net,57,18,0.39719268303242145,0.44731068523252565,0.9133930589855221,0.9628482972136224,0.8823529411764707,0.97158731056695,1.0,0.8
leave_stressed_template_out,4,gac_fdw_single_edge_repartition_user_value_topk_pair,core,shallow_gradient_boosting,57,18,0.22649109487682184,0.3000128944160013,0.961040444249992,0.8871678393161518,0.7801560468156055,0.9721495168640709,1.0,0.8
leave_stressed_template_out,4,gac_fdw_single_edge_repartition_user_value_topk_pair,extended,median_baseline,57,18,1.1076963261336958,1.6453807614098248,-0.17183640051182936,,,0.4730168970970905,0.0,0.4
leave_stressed_template_out,4,gac_fdw_single_edge_repartition_user_value_topk_pair,extended,ridge,57,18,0.10901592714562108,0.13442982800595357,0.9921778626015797,0.9834881320949431,0.934640522875817,0.9912481475583704,1.0,1.0
leave_stressed_template_out,4,gac_fdw_single_edge_repartition_user_value_topk_pair,extended,elastic_net,57,18,0.1323940790657828,0.15977859363089336,0.9889497693620167,0.9731682146542827,0.9084967320261439,0.9912481475583704,1.0,1.0
