query_run_id,distance_c0,membership_c0,distance_c1,membership_c1,distance_c2,membership_c2,distance_c3,membership_c3,dominant_cluster,max_membership
20260725T113941Z-confirmatory-skew-v1-state-a__A-conf--82bc259aae2e--eu_tenant_id-1__us_tenant_id-10001__lookback_days-7,7.473956059227871,0.002960308726077416,6.0275472446716325,0.005472962630421102,0.9791128619642185,0.9848902052505538,5.622453351223273,0.006676523392947482,2,0.9848902052505538
20260725T113955Z-confirmatory-skew-v1-state-a__A-conf--84566377899f--ultiregion_top_tenants__lookback_days-7__limit_k-50,2.794362208663043,0.07878213720827554,1.218411648393967,0.844102816310284,5.676639230126782,0.01039859418229406,2.961766960296592,0.06671645229914652,1,0.844102816310284
20260725T114139Z-confirmatory-skew-v1-state-b__B-conf--6b6a1bdab472--ultiregion_top_tenants__lookback_days-7__limit_k-50,2.583108001464351,0.07195950501613556,1.0731997647872786,0.8850740021465181,6.023700543761622,0.006404087905320785,3.273868710884853,0.036562404932025595,1,0.8850740021465181
20260725T114155Z-confirmatory-skew-v1-state-b__B-conf--1526324c3195--eu_tenant_id-1__us_tenant_id-10001__lookback_days-7,6.001221307195419,0.14452160166277395,4.855076212872253,0.26479784980243026,4.728749754751966,0.2855143492051241,4.619855166697657,0.30516619932967165,3,0.30516619932967165
20260725T114210Z-confirmatory-skew-v1-state-b__B-conf--1526324c3195--eu_tenant_id-1__us_tenant_id-10001__lookback_days-7,6.001132631198379,0.14448927065067307,4.854979636156977,0.26474248122022875,4.72866364461653,0.2854532770261111,4.6186372052163165,0.3053149711029871,3,0.3053149711029871
20260725T114224Z-confirmatory-skew-v1-state-b__B-conf--06f02b2e6acb--p_tenants_raw_finalize__lookback_days-7__limit_k-50,2.2744701507048886,0.14215572176560765,1.2385725459062586,0.8071092471872263,6.2005545997583695,0.008097201225200181,3.4667257010336243,0.04263782982196589,1,0.8071092471872263
20260725T114241Z-confirmatory-skew-v1-state-b__B-conf--21b957a24269--eu_tenant_id-1__us_tenant_id-10001__lookback_days-7,6.042199383221799,0.14853155188701214,4.995460529273488,0.2557846576192658,4.793392059682436,0.28781301780278085,4.6816898796648845,0.30787077269094126,3,0.30787077269094126
20260725T114255Z-confirmatory-skew-v1-state-b__B-conf--6b6a1bdab472--ultiregion_top_tenants__lookback_days-7__limit_k-50,2.5830418910571598,0.07193657501343578,1.0730446101674223,0.8850928239767473,6.02366692861905,0.006401681171180115,3.2732156424947227,0.036568919838636985,1,0.8850928239767473
20260725T114312Z-confirmatory-skew-v1-state-b__B-conf--06f02b2e6acb--p_tenants_raw_finalize__lookback_days-7__limit_k-50,2.273900647818599,0.14198755110067363,1.237729969544811,0.8071456713970504,6.200422722708491,0.008082328820567832,3.460262135788571,0.04278444868170827,1,0.8071456713970504
20260725T114329Z-confirmatory-skew-v1-state-b__B-conf--1526324c3195--eu_tenant_id-1__us_tenant_id-10001__lookback_days-7,6.001145449079475,0.14449397637737948,4.854993582310932,0.26475054614074234,4.728676063674056,0.2854621736755034,4.618814443575434,0.30529330380637476,3,0.30529330380637476
20260725T114343Z-confirmatory-skew-v1-state-b__B-conf--06f02b2e6acb--p_tenants_raw_finalize__lookback_days-7__limit_k-50,2.2748408027936513,0.14226119521794883,1.2391145429376356,0.807074738163967,6.2006294219110565,0.008106702972309499,3.470484565462701,0.042557363645774726,1,0.807074738163967
20260725T114400Z-confirmatory-skew-v1-state-b__B-conf--21b957a24269--eu_tenant_id-1__us_tenant_id-10001__lookback_days-7,6.042086392878208,0.14847630156393712,4.9953459481021305,0.25569260688954487,4.793295088268554,0.28770721571130253,4.679646598219075,0.30812387583521555,3,0.30812387583521555
20260725T114414Z-confirmatory-skew-v1-state-b__B-conf--21b957a24269--eu_tenant_id-1__us_tenant_id-10001__lookback_days-7,6.042237321230974,0.1485685929320054,4.9954698052041735,0.2558516780688025,4.79332278010054,0.28790184630282567,4.683155035040172,0.30767788269636653,3,0.30767788269636653
20260725T114428Z-confirmatory-skew-v1-state-b__B-conf--6b6a1bdab472--ultiregion_top_tenants__lookback_days-7__limit_k-50,2.5831038064260823,0.07195087405439818,1.0731495865960516,0.8850819692592727,6.023667978229565,0.006403388983505536,3.2736832470912294,0.036563767702823456,1,0.8850819692592727
20260725T114509Z-confirmatory-skew-v1-state-c__C-conf--8dcf7977c538--ultiregion_top_tenants__lookback_days-7__limit_k-50,2.583064128133032,0.07193667142535769,1.0730539915499429,0.8850936716037776,6.023645933560625,0.006401910965492169,3.273282131405686,0.036567746005372805,1,0.8850936716037776
20260725T114527Z-confirmatory-skew-v1-state-c__C-conf--e08b476aca95--eu_tenant_id-1__us_tenant_id-10001__lookback_days-7,6.001139894679618,0.14450564212914038,4.85495955616111,0.2647765225721846,4.728571622146613,0.2855024819152437,4.619353524874605,0.30521535338343136,3,0.30521535338343136
20260725T114541Z-confirmatory-skew-v1-state-c__C-conf--ffe4b17dee3b--p_tenants_raw_finalize__lookback_days-7__limit_k-50,2.2742858534731787,0.14208775375260016,1.238252484976172,0.8071323753481451,6.200471592791563,0.008091765707808415,3.4644354161640756,0.04268810519144622,1,0.8071323753481451
20260725T114557Z-confirmatory-skew-v1-state-c__C-conf--dfea1533ac18--eu_tenant_id-1__us_tenant_id-10001__lookback_days-7,6.0417446955279805,0.1483178088382847,4.994974352697227,0.2554326818604573,4.792908454516467,0.2874198979214473,4.67388903637956,0.3088296113798107,3,0.3088296113798107
20260725T114611Z-confirmatory-skew-v1-state-c__C-conf--ffe4b17dee3b--p_tenants_raw_finalize__lookback_days-7__limit_k-50,2.2743903911649848,0.14211539545964805,1.2383968716455311,0.8071264899442787,6.200486300649372,0.008094347953012981,3.4655222243292934,0.04266376664306019,1,0.8071264899442787
20260725T114629Z-confirmatory-skew-v1-state-c__C-conf--ffe4b17dee3b--p_tenants_raw_finalize__lookback_days-7__limit_k-50,2.2748055223532533,0.14223675675450834,1.2390136098427131,0.8070881583818101,6.200579539608318,0.008105137497637969,3.4698630054037247,0.04256994736604364,1,0.8070881583818101
20260725T114645Z-confirmatory-skew-v1-state-c__C-conf--dfea1533ac18--eu_tenant_id-1__us_tenant_id-10001__lookback_days-7,6.04223848291427,0.14856913455410578,4.99547099422348,0.2558525773522285,4.793323799703549,0.2879028790546392,4.6831750890441946,0.30767540903902646,3,0.30767540903902646
