logical_run_id,setting,value,provenance,source
clean-run-v1-validation-holdout,repetitions,1,reconstructed_from_versioned_config,master-regimes/workloads/corpus/corpus_manifest.validation-holdout-v1.yml
clean-run-v1-validation-holdout,retry_semantics,append_attempt_then_logical_resolve,reconstructed_from_versioned_config,master-regimes-infra/common-scripts/index_corpus_run_attempts.py
clean-run-v1-validation-holdout,shuffle_seed,20260706,reconstructed_from_versioned_config,master-regimes/workloads/corpus/corpus_manifest.validation-holdout-v1.yml
clean-run-v1-validation-holdout,timeout_grace_seconds,30,reconstructed_from_versioned_config,master-regimes/workloads/corpus/corpus_manifest.validation-holdout-v1.yml
clean-run-v1-validation-holdout,warmup_per_instance,False,reconstructed_from_versioned_config,master-regimes/workloads/corpus/corpus_manifest.validation-holdout-v1.yml
clean-run-v1-wan-latency,auto_explain,log_min_duration=0; analyze=true; buffers=true; timing=false,reconstructed_from_versioned_config,master-regimes-infra/common-scripts/run_query_collection.py
clean-run-v1-wan-latency,cache_policy,mixed_cache_first_observed,reconstructed_from_versioned_config,master-regimes/workloads/corpus/corpus_manifest.wan-latency-companion-v1.yml
clean-run-v1-wan-latency,citus_explain_all_tasks,True,reconstructed_from_versioned_config,master-regimes-infra/common-scripts/run_query_collection.py
clean-run-v1-wan-latency,database_result_rows_stored,False,reconstructed_from_versioned_config,collector contract
clean-run-v1-wan-latency,explicit_cache_reset,False,reconstructed_from_versioned_config,master-regimes/workloads/corpus/corpus_manifest.wan-latency-companion-v1.yml
clean-run-v1-wan-latency,fcm_fuzzifier,1.7,reconstructed_from_versioned_config,master-regimes/analysis/reports/clean-run-v1-final-model/final_model_manifest.yml
clean-run-v1-wan-latency,fcm_k,4,reconstructed_from_versioned_config,master-regimes/analysis/reports/clean-run-v1-final-model/final_model_manifest.yml
clean-run-v1-wan-latency,fcm_seeds,0..9,reconstructed_from_versioned_config,configs/features/phase1_flow_ratio_candidate.yml
clean-run-v1-wan-latency,hard_timeout_seconds,300,recorded_at_run_time,_index/query_runs.csv
clean-run-v1-wan-latency,main_explain_options,ANALYZE=true; BUFFERS=true; VERBOSE=true; FORMAT=JSON,reconstructed_from_versioned_config,master-regimes-infra/common-scripts/run_query_collection.py
