query_run_id,k,dominant_cluster,max_membership,nearest_center_distance,top2_membership_margin,membership_c0,distance_c0,membership_c1,distance_c1,membership_c2,distance_c2
20260626T115723Z-clean-run-eu-us-gac-v1__pilot-balanc--d44a2f294d79--egion_user_value_topk__lookback_days-30__limit_k-10,3,1,0.9882516887518206,0.18224564373476734,0.9789957179519996,0.0024923404483583027,1.4792726436002335,0.9882516887518206,0.18224564373476734,0.009255970799820984,0.9345727467082059
20260626T115746Z-clean-run-eu-us-gac-v1__pilot-balanc--b99f0d332316--enant_point_rollup__tenant_id-1000__lookback_days-3,3,2,0.9474741422253828,0.2882547455925321,0.916305190091774,0.021356905641008412,1.0870177330948896,0.031168952133608784,0.9522966869487017,0.9474741422253828,0.2882547455925321
20260626T115801Z-clean-run-eu-us-gac-v1__pilot-balanc--b93f4ef9a3a7--_fdw_global_user_join__lookback_days-14__limit_k-10,3,1,0.9948037016320973,0.13627733383739096,0.9906835854383835,0.0010761821741889438,1.4875503956326206,0.9948037016320973,0.13627733383739096,0.004120116193713825,0.9298510875353145
20260626T115822Z-clean-run-eu-us-gac-v1__pilot-balanc--3c79e3e49f61--__gac_etl_top_tenants__lookback_days-14__limit_k-50,3,0,0.9988885781968728,0.08725132407668072,0.9980846021947178,0.9988885781968728,0.08725132407668072,0.0003074458009722776,1.4787133533556778,0.0008039760021549976,1.0562528962965918
20260626T115838Z-clean-run-eu-us-gac-v1__pilot-balanc--8ee2c6a2d03e--_tenant_point_rollup__tenant_id-10__lookback_days-7,3,0,0.9988885781968728,0.08725132407668072,0.9980846021947178,0.9988885781968728,0.08725132407668072,0.0003074458009722776,1.4787133533556778,0.0008039760021549976,1.0562528962965918
20260626T115858Z-clean-run-eu-us-gac-v1__pilot-balanc--20b59ff64b7c--tenant_id-100__us_tenant_id-10010__lookback_days-30,3,2,0.938477036495884,0.30596192229656144,0.9013532073133004,0.02439913432153243,1.0975760257482292,0.03712382918258356,0.9476264855756698,0.938477036495884,0.30596192229656144
20260626T115917Z-clean-run-eu-us-gac-v1__pilot-balanc--245b34a651a0--ac_fdw_user_value_topk__lookback_days-3__limit_k-25,3,1,0.9884923550722353,0.17192173981185382,0.9792888631096792,0.0023041529652085696,1.434473402724034,0.9884923550722353,0.17192173981185382,0.009203491962556142,0.8834623264633711
20260626T115937Z-clean-run-eu-us-gac-v1__pilot-balanc--54e852a2cdd5--ent_filter_summary__lookback_days-30__min_value-900,3,2,0.7265696768433997,0.5127604570102391,0.5097966018629965,0.056657248176196995,1.2523397137799515,0.21677307498040324,0.782996285208658,0.7265696768433997,0.5127604570102391
20260626T115953Z-clean-run-eu-us-gac-v1__pilot-balanc--11a399d5e4f4--ollup__lookback_days-14__min_value-100__limit_k-100,3,1,0.9890501707725984,0.16976040677562562,0.9803090703102422,0.0022087287650454147,1.4378480225752792,0.9890501707725984,0.16976040677562562,0.008741100462356233,0.8884125418524657
20260626T120020Z-clean-run-eu-us-gac-v1__pilot-balanc--47276565dfaf--event_filter_summary__lookback_days-14__min_value-0,3,1,0.9968117446163666,0.10913883229874853,0.9942340529251834,0.0006105636924503099,1.4537444266835802,0.9968117446163666,0.10913883229874853,0.002577691691183175,0.8781385924910836
20260626T120040Z-clean-run-eu-us-gac-v1__pilot-balanc--11c30c495f4d--__gac_etl_tenant_tier_daily_rollup__lookback_days-7,3,0,0.9987135632684477,0.09240307703743571,0.9977885497698552,0.9987135632684477,0.09240307703743571,0.0003614232329596626,1.479739074504149,0.0009250134985925657,1.0649738419242327
20260626T120055Z-clean-run-eu-us-gac-v1__pilot-balanc--629b6d23c500--vent_filter_summary__lookback_days-1__min_value-500,3,1,0.9912260111565996,0.1546959487332541,0.9841371341351569,0.0016851118219577093,1.4415155377427393,0.9912260111565996,0.1546959487332541,0.007088877021442691,0.8718409765552746
20260626T120112Z-clean-run-eu-us-gac-v1__pilot-balanc--c74fc35c0bb2--__gac_etl_top_tenants__lookback_days-7__limit_k-100,3,0,0.9988885781968728,0.08725132407668072,0.9980846021947178,0.9988885781968728,0.08725132407668072,0.0003074458009722776,1.4787133533556778,0.0008039760021549976,1.0562528962965918
20260626T120128Z-clean-run-eu-us-gac-v1__pilot-balanc--d55f2644b828--ulti_dimension_rollup__lookback_days-30__limit_k-25,3,1,0.9183108820054501,0.4077661996771174,0.8564861899616646,0.019864425950764576,1.5600230766076122,0.9183108820054501,0.4077661996771174,0.06182469204378545,1.0484577705727918
20260626T120156Z-clean-run-eu-us-gac-v1__pilot-balanc--b58c0f00ffd6--tiregion_top_tenants__lookback_days-14__limit_k-100,3,1,0.993665189933559,0.1390186712686213,0.9885896080184304,0.001259228151312272,1.4357228465102698,0.993665189933559,0.1390186712686213,0.005075581915128526,0.8814285538348385
20260626T120220Z-clean-run-eu-us-gac-v1__pilot-balanc--e6ba65814cc6--region_user_value_topk__lookback_days-1__limit_k-25,3,1,0.9899400841937945,0.16583854816610535,0.981902961695954,0.0020227933083649336,1.4489906318133416,0.9899400841937945,0.16583854816610535,0.008037122497840466,0.8940532779893243
20260626T120245Z-clean-run-eu-us-gac-v1__pilot-balanc--162e3d78b1a1--egion_tenant_tier_join__lookback_days-3__limit_k-25,3,1,0.9414326667742555,0.3196077590843285,0.8944632115875114,0.011597878039000356,1.4890561283194246,0.9414326667742555,0.3196077590843285,0.04696945518674416,0.9126581228905741
20260626T120308Z-clean-run-eu-us-gac-v1__pilot-balanc--a1b002f58c8f--tenant_tier_left_join__lookback_days-30__limit_k-25,3,1,0.9610510797211765,0.28445063964389194,0.9303595722959244,0.008257412853571398,1.5033938866171799,0.9610510797211765,0.28445063964389194,0.030691507425252135,0.949536804186892
20260626T120331Z-clean-run-eu-us-gac-v1__pilot-balanc--314ce1b1b926--_tenant_id-10__us_tenant_id-10100__lookback_days-14,3,2,0.9401015440814672,0.3027731029223517,0.9040134165578035,0.023810328394869178,1.0961262413299482,0.036088127523663666,0.9476564823480401,0.9401015440814672,0.3027731029223517
20260626T120347Z-clean-run-eu-us-gac-v1__pilot-balanc--855a4ed92b62--tenant_point_rollup__tenant_id-10__lookback_days-14,3,0,0.9988885781968728,0.08725132407668072,0.9980846021947178,0.9988885781968728,0.08725132407668072,0.0003074458009722776,1.4787133533556778,0.0008039760021549976,1.0562528962965918
20260626T120402Z-clean-run-eu-us-gac-v1__pilot-balanc--f757c92af8a1--__limit_k-250__payload_repeat-16__payload_width-512,3,1,0.9895223738459972,0.15826708268599676,0.9810100326976009,0.0019652850056066013,1.3966597720280176,0.9895223738459972,0.15826708268599676,0.008512341148396286,0.8361273053908943
20260626T120422Z-clean-run-eu-us-gac-v1__pilot-balanc--99cc6bc75ece--c_etl_global_user_topk__lookback_days-3__limit_k-10,3,0,0.9980071503666029,0.10797003418638475,0.9965765181405118,0.9980071503666029,0.10797003418638475,0.0005622174073060482,1.4809265409890975,0.0014306322260910613,1.067985155181742
