query_run_id,k,dominant_cluster,max_membership,nearest_center_distance,top2_membership_margin,membership_c0,distance_c0,membership_c1,distance_c1,membership_c2,distance_c2,membership_c3,distance_c3
20260626T114657Z-clean-run-eu-us-gac-v1__pilot-balanc--ef5bcb70f647--time-default__gac_etl_local_rollup__lookback_days-1,4,3,0.9987722931936394,0.07766904416616459,0.998176006706237,0.000596286487402437,1.043883401304603,0.00021636604278384456,1.4884869963753848,0.00041505427617429,1.1850168297086714,0.9987722931936394,0.07766904416616459
20260626T114713Z-clean-run-eu-us-gac-v1__pilot-balanc--9ee7f72814a6--tenant_point_rollup__tenant_id-100__lookback_days-3,4,3,0.9987722931936394,0.07766904416616459,0.998176006706237,0.000596286487402437,1.043883401304603,0.00021636604278384456,1.4884869963753848,0.00041505427617429,1.1850168297086714,0.9987722931936394,0.07766904416616459
20260626T114727Z-clean-run-eu-us-gac-v1__pilot-balanc--e8c5b4ab360e--_tenant_point_rollup__tenant_id-5__lookback_days-14,4,3,0.9987722931936394,0.07766904416616459,0.998176006706237,0.000596286487402437,1.043883401304603,0.00021636604278384456,1.4884869963753848,0.00041505427617429,1.1850168297086714,0.9987722931936394,0.07766904416616459
20260626T114743Z-clean-run-eu-us-gac-v1__pilot-balanc--8f38da54d9b8--vent_filter_summary__lookback_days-1__min_value-500,4,1,0.9827681375925413,0.151388103988627,0.9723709195831596,0.005372606010187202,0.9373135078409394,0.9827681375925413,0.151388103988627,0.010397218009381724,0.7439240874380323,0.001462038387889739,1.4781348348041983
20260626T114803Z-clean-run-eu-us-gac-v1__pilot-balanc--3f158ec7be56--ent_filter_summary__lookback_days-14__min_value-500,4,1,0.9809515468687313,0.15550674554316166,0.9694355727264898,0.005922806434216381,0.9299106860300256,0.9809515468687313,0.15550674554316166,0.011515974142241462,0.7368356650979331,0.0016096725548108634,1.4671270974851784
20260626T114820Z-clean-run-eu-us-gac-v1__pilot-balanc--fb6c8a602c26--gion_user_segment_join__lookback_days-1__limit_k-10,4,1,0.9600306995943487,0.22291559123271984,0.9373315793446154,0.013369491993703348,0.9949471687885447,0.9600306995943487,0.22291559123271984,0.022699120249733324,0.8266793294202933,0.0039006881622144713,1.5312313288278372
20260626T114847Z-clean-run-eu-us-gac-v1__pilot-balanc--83c78e97c5d8--c_fdw_user_value_topk__lookback_days-30__limit_k-50,4,1,0.9754586560908166,0.1799932025965838,0.9612223270494775,0.007900276668391135,0.9711904486541812,0.9754586560908166,0.1799932025965838,0.014236329041339145,0.7902962146912249,0.0024047381994534234,1.4726701261484145
20260626T114906Z-clean-run-eu-us-gac-v1__pilot-balanc--00ca4dc79bfd--multi_dimension_rollup__lookback_days-1__limit_k-50,4,1,0.9511914159529911,0.23832462721432462,0.9235497811776984,0.016316570952191214,0.988877697830406,0.9511914159529911,0.23832462721432462,0.027641634775292644,0.8222717912170052,0.004850378319525156,1.5119632326677435
20260626T114935Z-clean-run-eu-us-gac-v1__pilot-balanc--44d7b7cb8065--u_tenant_id-1__us_tenant_id-11000__lookback_days-14,4,0,0.8235373339906276,0.3006934422872133,0.6965609497915163,0.8235373339906276,0.3006934422872133,0.029984790973720046,0.9587331630489109,0.12697638419911128,0.578508939740914,0.019501490836541242,1.1145238703512907
20260626T114950Z-clean-run-eu-us-gac-v1__pilot-balanc--d3cd2224a349--tenant_id-1000__us_tenant_id-10005__lookback_days-7,4,0,0.8291664697456025,0.2963739567733887,0.706205597877045,0.8291664697456025,0.2963739567733887,0.028954985549547237,0.958873841282854,0.12296087186855753,0.5780244610739366,0.01891767283629263,1.112912308628996
20260626T115006Z-clean-run-eu-us-gac-v1__pilot-balanc--c1b1eed690b9--multi_dimension_rollup__lookback_days-7__limit_k-25,4,3,0.987952856998031,0.17703512975254834,0.9822427332693414,0.0057101237286895845,1.074957265925453,0.0022096063118591885,1.4986731115913876,0.00412741296142017,1.2042866106208705,0.987952856998031,0.17703512975254834
20260626T115022Z-clean-run-eu-us-gac-v1__pilot-balanc--215f7e7724a7--c_fdw_daily_rollup__lookback_days-30__min_value-500,4,1,0.8821505869162508,0.3065874986661989,0.8121441514624919,0.03762829067001344,0.9248351451028217,0.8821505869162508,0.3065874986661989,0.0700064354537589,0.7442110412701536,0.010214686959976826,1.459706779837269
20260626T115039Z-clean-run-eu-us-gac-v1__pilot-balanc--b4f6bd426175--c_fdw_daily_rollup__lookback_days-14__min_value-100,4,1,0.8810212317562929,0.3192247239919594,0.8128715176620643,0.039946538287134147,0.9425926496133971,0.8810212317562929,0.3192247239919594,0.06814971409422854,0.7818606169924704,0.010882515862344351,1.4858894294235834
20260626T115057Z-clean-run-eu-us-gac-v1__pilot-balanc--8ed2abdba8f2--ac_fdw_daily_rollup__lookback_days-3__min_value-900,4,2,0.7889204410510452,0.34812782972057876,0.6549494329629217,0.1339710080881235,0.6475101445244029,0.059002869006451936,0.8627694732256215,0.7889204410510452,0.34812782972057876,0.01810568185437941,1.3045632977985169
20260626T115112Z-clean-run-eu-us-gac-v1__pilot-balanc--8cfde183ec1f--_tenant_tier_left_join__lookback_days-3__limit_k-25,4,1,0.8888403554664611,0.3217165925940709,0.8277316286675183,0.03933771669355118,0.9580288243236932,0.8888403554664611,0.3217165925940709,0.061108726798942914,0.8211559526598887,0.010713201041044675,1.510393258895218
20260626T115134Z-clean-run-eu-us-gac-v1__pilot-balanc--ab905f91fd57--_fdw_user_segment_join__lookback_days-3__limit_k-50,4,1,0.9882782227047956,0.13953665721834743,0.9815149658174261,0.0038560057912705253,0.9721826282824357,0.9882782227047956,0.13953665721834743,0.006763256887369498,0.7986223947722879,0.0011025146165644115,1.5068204965784735
20260626T115155Z-clean-run-eu-us-gac-v1__pilot-balanc--5726f29fca95--region_user_value_topk__lookback_days-7__limit_k-10,4,1,0.9796328450443389,0.1684183950105522,0.9677109324928587,0.0065191775409656275,0.9734064272166925,0.9796328450443389,0.1684183950105522,0.011921912551480226,0.7880261262238982,0.0019260648632153912,1.4915124212471216
20260626T115219Z-clean-run-eu-us-gac-v1__pilot-balanc--dbab8234ed31--nant_point_rollup__tenant_id-1000__lookback_days-30,4,3,0.9987722931936394,0.07766904416616459,0.998176006706237,0.000596286487402437,1.043883401304603,0.00021636604278384456,1.4884869963753848,0.00041505427617429,1.1850168297086714,0.9987722931936394,0.07766904416616459
20260626T115234Z-clean-run-eu-us-gac-v1__pilot-balanc--c3d0cbd5f4eb--ent_filter_summary__lookback_days-14__min_value-900,4,2,0.9346601132755987,0.20606431185960009,0.8940332974340686,0.04062681584153019,0.6175144242293723,0.01975769410953065,0.7947378394948138,0.9346601132755987,0.20606431185960009,0.004955376773340404,1.2895991646428508
20260626T115251Z-clean-run-eu-us-gac-v1__pilot-balanc--deee54bd9b71--multi_dimension_rollup__lookback_days-3__limit_k-10,4,1,0.9673049645563707,0.2022914544166438,0.9487240446246974,0.010949152037036773,0.9708263659654053,0.9673049645563707,0.2022914544166438,0.018580919931673365,0.8067727272192076,0.003164963474919225,1.4989794771305955
20260626T115311Z-clean-run-eu-us-gac-v1__pilot-balanc--d1309619208e--t__gac_etl_top_tenants__lookback_days-7__limit_k-10,4,3,0.9987722931936394,0.07766904416616459,0.998176006706237,0.000596286487402437,1.043883401304603,0.00021636604278384456,1.4884869963753848,0.00041505427617429,1.1850168297086714,0.9987722931936394,0.07766904416616459
20260626T115326Z-clean-run-eu-us-gac-v1__pilot-balanc--44871847f974--fdw_global_user_join__lookback_days-14__limit_k-100,4,1,0.9903422051989422,0.1313121545895009,0.9847959706825189,0.0031855881298197336,0.9788438341616882,0.9903422051989422,0.1313121545895009,0.0055462345164233404,0.8061769890450056,0.0009259721548147516,1.5084138229073742
