query_run_id,foreign_scan_time_to_root_ratio,remote_to_final_rows_ratio,regional_input_to_wan_rows_ratio,global_group_merge_ratio,spill_present,spill_bytes_to_wan_bytes_ratio,temp_blocks_per_final_row,hash_batch_excess,remote_region_rows_isf_normalized,worker_task_scan_rows_isf_normalized,worker_scan_rows_cv_normalized,task_count_to_shard_count_ratio,active_task_share,citus_repartition_observed_v2,worker_task_seq_scan_share,root_rows_estimate_error_log,foreign_scan_rows_estimate_error_log,aggregate_rows_estimate_error_log,remote_root_rows_estimate_error_log
20260626T114604Z-clean-run-eu-us-gac-v1__pilot-balanc--c60cefe42ed2--_fdw_global_user_join__lookback_days-3__limit_k-100,0.951051608831208,33333.333333333336,1.0,33333.333333333336,1,15.733590320162758,2040.7777777777776,0.0,0.0,0.0105396825396825,0.0066666666666666,2.0,2.0,0,1.0,0.0,5.111018268193043,0.0,0.693142180597445
20260626T114623Z-clean-run-eu-us-gac-v1__pilot-balanc--f25ee678287d--etl_user_segment_topk__lookback_days-30__limit_k-10,0.0,,,,0,,0.0,0.0,,,,,,0,,0.6931471805599453,,0.6931471805599453,
20260626T114638Z-clean-run-eu-us-gac-v1__pilot-balanc--6e8351e4cfc6--_tenant_tier_left_join__lookback_days-3__limit_k-25,0.981354790337419,16750.0,1.0,16750.0,1,3.157133744418456,154.66666666666666,0.0,0.0,0.0087686567164179,0.0248756218905472,1.03125,1.03125,0,1.0,-0.6931471805599453,3.5033422062071398,-3.780687003367059,6.90875477931522
20260626T114657Z-clean-run-eu-us-gac-v1__pilot-balanc--ef5bcb70f647--time-default__gac_etl_local_rollup__lookback_days-1,0.0,,,,0,,0.0,0.0,,,,,,0,,0.0,,0.0,
20260626T114713Z-clean-run-eu-us-gac-v1__pilot-balanc--9ee7f72814a6--tenant_point_rollup__tenant_id-100__lookback_days-3,0.0,,,,0,,0.0,0.0,,,,,,0,,0.0,,0.0,
20260626T114727Z-clean-run-eu-us-gac-v1__pilot-balanc--e8c5b4ab360e--_tenant_point_rollup__tenant_id-5__lookback_days-14,0.0,,,,0,,0.0,0.0,,,,,,0,,0.0,,0.0,
20260626T114743Z-clean-run-eu-us-gac-v1__pilot-balanc--8f38da54d9b8--vent_filter_summary__lookback_days-1__min_value-500,0.9990696203453848,199954.0,1.0,199954.0,1,3.75296,1466.0,0.0,0.0034507936825469,0.0078632371159652,0.0121460784364466,2.0,1.0,0,1.0,0.0,2.6446561000722792,0.0,-0.003686750922441
20260626T114803Z-clean-run-eu-us-gac-v1__pilot-balanc--3f158ec7be56--ent_filter_summary__lookback_days-14__min_value-500,0.99357825525287,100322.0,1.0,100322.0,1,3.755102040816327,736.0,0.0,0.0,0.0081794685628405,0.0292458284324475,1.0,1.0,0,1.0,0.0,5.064835470516523,0.0,0.003214794805614
20260626T114820Z-clean-run-eu-us-gac-v1__pilot-balanc--fb6c8a602c26--gion_user_segment_join__lookback_days-1__limit_k-10,0.9700523403581188,66666.66666666667,1.0,66666.66666666667,1,23.663167104111984,6010.444444444444,0.0,0.0,0.0079160104986876,0.0122474487139158,4.0,2.0,0,1.0,-0.0953101798043249,4.84343737506235,-0.832909122935104,0.693142180597445
20260626T114847Z-clean-run-eu-us-gac-v1__pilot-balanc--83c78e97c5d8--c_fdw_user_value_topk__lookback_days-30__limit_k-50,0.9177577248699692,4000.0,1.0,4000.0,1,10.6304,166.1,0.0,0.0,0.008,0.03,1.0,1.0,0,1.0,0.0,5.981745337085321,6.106124619472967,0.693142180597445
20260626T114906Z-clean-run-eu-us-gac-v1__pilot-balanc--00ca4dc79bfd--multi_dimension_rollup__lookback_days-1__limit_k-50,0.9862519027856048,25083.33333333333,1.0,25083.33333333333,1,2.979439252336449,265.6666666666667,0.0,0.0,0.0079837235056272,0.0109348934984116,4.0625,2.03125,0,1.0,1.2729656758128876,4.475907850233953,1.8325814637483104,6.90875477931522
20260626T114935Z-clean-run-eu-us-gac-v1__pilot-balanc--44d7b7cb8065--u_tenant_id-1__us_tenant_id-11000__lookback_days-14,0.995962784210816,200.0,2.0,200.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.03125,0,0.0,0.0,3.1675825304806504,0.0,5.303304908059076
20260626T114950Z-clean-run-eu-us-gac-v1__pilot-balanc--d3cd2224a349--tenant_id-1000__us_tenant_id-10005__lookback_days-7,0.9970587757357122,200.0,2.0,200.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.03125,0,0.0,0.0,2.6210388241125804,0.0,5.303304908059076
20260626T115006Z-clean-run-eu-us-gac-v1__pilot-balanc--c1b1eed690b9--multi_dimension_rollup__lookback_days-7__limit_k-25,0.0,,,,0,,0.0,0.0,,,,,,0,,1.6094379124341005,,1.6094379124341005,
20260626T115022Z-clean-run-eu-us-gac-v1__pilot-balanc--215f7e7724a7--c_fdw_daily_rollup__lookback_days-30__min_value-500,0.9774976598602206,3236.1935483870966,1.0,3236.1935483870966,1,3.755102040816327,23.741935483870968,0.0,0.0,0.0081794685628405,0.0292458284324475,1.0,1.0,0,1.0,-1.4830239875784417,6.0481461369506455,-1.4830239875784417,0.003214794805614
20260626T115039Z-clean-run-eu-us-gac-v1__pilot-balanc--b4f6bd426175--c_fdw_daily_rollup__lookback_days-14__min_value-100,0.9879054630791756,12023.866666666669,1.0,12023.866666666669,1,3.753016323633783,88.13333333333334,0.0,0.0,0.0079544304177819,0.0294636223511016,1.0,1.0,0,1.0,-2.176171168138387,5.867778478680962,-2.176171168138387,0.5897691231327988
20260626T115057Z-clean-run-eu-us-gac-v1__pilot-balanc--8ed2abdba8f2--ac_fdw_daily_rollup__lookback_days-3__min_value-900,0.9963522551439276,5057.25,1.0,5057.25,0,0.0,0.0,0.0,0.0,0.0082586641024782,0.0287211429136388,1.0,1.0,0,1.0,-3.339321977944068,2.105836825746791,-3.339321977944068,-1.5980135347584377
20260626T115112Z-clean-run-eu-us-gac-v1__pilot-balanc--8cfde183ec1f--_tenant_tier_left_join__lookback_days-3__limit_k-25,0.9833033650528632,33500.0,1.0,33500.0,1,3.157133744418456,309.3333333333333,0.0,0.0,0.0083582089552238,0.0103565472610255,2.0625,1.03125,0,1.0,-0.6931471805599453,3.5261541049642777,-3.780687003367059,6.90875477931522
20260626T115134Z-clean-run-eu-us-gac-v1__pilot-balanc--ab905f91fd57--_fdw_user_segment_join__lookback_days-3__limit_k-50,0.9520081087634444,33333.333333333336,1.0,33333.333333333336,1,15.444444444444445,1961.4444444444443,0.0,0.0,0.0105396825396825,0.03,2.0,2.0,0,1.0,-0.1823215567939546,4.84343737506235,-0.1823215567939546,0.693142180597445
20260626T115155Z-clean-run-eu-us-gac-v1__pilot-balanc--5726f29fca95--region_user_value_topk__lookback_days-7__limit_k-10,0.964528493515101,40000.0,1.0,40000.0,1,5.15328,805.2,0.0,0.0,0.008,0.0122474487139158,2.0,1.0,0,1.0,0.0,4.368581387921194,5.886435651416717,0.693142180597445
20260626T115219Z-clean-run-eu-us-gac-v1__pilot-balanc--dbab8234ed31--nant_point_rollup__tenant_id-1000__lookback_days-30,0.0,,,,0,,0.0,0.0,,,,,,0,,0.0,,0.0,
20260626T115234Z-clean-run-eu-us-gac-v1__pilot-balanc--c3d0cbd5f4eb--ent_filter_summary__lookback_days-14__min_value-900,0.997105965395541,39935.0,1.0,39935.0,0,0.0,0.0,0.0,0.0130962814573682,0.0066651960229022,0.0140812350992967,2.0,1.0,0,1.0,0.0,3.67878500807318,0.0,-1.6242062833596462
20260626T115251Z-clean-run-eu-us-gac-v1__pilot-balanc--deee54bd9b71--multi_dimension_rollup__lookback_days-3__limit_k-10,0.9720980608346038,30100.0,1.0,30100.0,1,2.979439252336449,318.8,0.0,0.0,0.0106935215946843,0.0265780730897009,2.03125,2.03125,0,1.0,1.01160091167848,4.475907850233953,1.252762968495368,6.90875477931522
20260626T115311Z-clean-run-eu-us-gac-v1__pilot-balanc--d1309619208e--t__gac_etl_top_tenants__lookback_days-7__limit_k-10,0.0,,,,0,,0.0,0.0,,,,,,0,,0.0,,0.0,
20260626T115326Z-clean-run-eu-us-gac-v1__pilot-balanc--44871847f974--fdw_global_user_join__lookback_days-14__limit_k-100,0.9071637329001626,33333.333333333336,1.0,33333.333333333336,1,24.517400149908983,3180.1111111111118,0.0,0.0,0.0105396825396825,0.0066666666666666,2.0,2.0,0,1.0,0.0,5.111018268193043,0.0,0.693142180597445
20260626T115347Z-clean-run-eu-us-gac-v1__pilot-balanc--c7c8afe06427--__limit_k-250__payload_repeat-64__payload_width-512,0.9997575909931586,1.2,67.43,1.2,0,0.0,0.0,0.0,0.0,0.0082586641024782,0.0287211429136388,1.0,1.0,0,1.0,0.5626083088718766,0.5626083088718766,,-5.805825200171353
20260626T115402Z-clean-run-eu-us-gac-v1__pilot-balanc--20a5fbf596e5--tenant_id-1000__us_tenant_id-10100__lookback_days-1,0.9967526610138914,200.0,2.0,200.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.03125,0,0.0,0.0,0.5596157879354227,0.0,5.303304908059076
20260626T115418Z-clean-run-eu-us-gac-v1__pilot-balanc--476c33bb9417--multi_dimension_rollup__lookback_days-1__limit_k-50,0.9804298875460744,12541.666666666666,1.0,12541.666666666666,1,2.979439252336449,132.83333333333334,0.0,0.0,0.0106935215946843,0.0265780730897009,2.03125,2.03125,0,1.0,1.8325814637483104,4.475907850233953,1.8325814637483104,6.90875477931522
20260626T115437Z-clean-run-eu-us-gac-v1__pilot-balanc--f5a4e6eff71c--vent_filter_summary__lookback_days-7__min_value-100,0.9961040014602388,180358.0,1.0,180358.0,1,3.753016323633783,1322.0,0.0,0.0,0.0079544304177819,0.0294636223511016,1.0,1.0,0,1.0,0.0,4.9486354581002745,0.0,0.5897691231327988
20260626T115456Z-clean-run-eu-us-gac-v1__pilot-balanc--8c8f902e7af4--multi_dimension_rollup__lookback_days-1__limit_k-25,0.9835278758989788,25083.33333333333,1.0,25083.33333333333,1,2.979439252336449,265.6666666666667,0.0,0.0,0.0079837235056272,0.0109348934984116,4.0625,2.03125,0,1.0,1.2729656758128876,4.475907850233953,1.8325814637483104,6.90875477931522
20260626T115524Z-clean-run-eu-us-gac-v1__pilot-balanc--b9a90f4f18bd--eu_tenant_id-5__us_tenant_id-10001__lookback_days-7,0.9971281697826028,200.0,2.0,200.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.03125,0,0.0,0.0,2.374905754573672,0.0,5.303304908059076
20260626T115540Z-clean-run-eu-us-gac-v1__pilot-balanc--de25ce8c43a3--egion_global_user_join__lookback_days-7__limit_k-50,0.9452202972746272,33333.333333333336,1.0,33333.333333333336,1,24.757682835421356,3211.277777777778,0.0,0.0,0.0079160104986876,0.0112216721537356,4.0,2.0,0,1.0,0.0,5.111018268193043,0.0,0.693142180597445
20260626T115607Z-clean-run-eu-us-gac-v1__pilot-balanc--5c4aa83c327f--enant_point_rollup__tenant_id-500__lookback_days-14,0.9983747693929544,200.0,2.0,200.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.03125,0.03125,0,0.0,0.0,3.218875824868201,0.0,5.303304908059076
20260626T115623Z-clean-run-eu-us-gac-v1__pilot-balanc--1f012d8d8d3d--_tenant_tier_left_join__lookback_days-1__limit_k-50,0.9922686274062066,67000.0,1.0,67000.0,1,3.157133744418456,618.6666666666666,0.0,0.0,0.0083582089552238,0.0103565472610255,2.0625,1.03125,0,1.0,-1.9859154836690125,2.410888642098376,-4.399726211773283,6.90875477931522
20260626T115644Z-clean-run-eu-us-gac-v1__pilot-balanc--028de9a85102--_rollup__lookback_days-1__min_value-100__limit_k-25,0.9957431415343364,14414.24,1.0,14414.24,1,3.167416528534217,133.76,0.0,0.0009990120880463,0.0078016324949912,0.0120558718363553,2.0,1.0,0,1.0,0.0,3.397700874603426,2.687528565381413,0.5897691231327988
