query_run_id,foreign_scan_time_to_root_ratio,remote_to_final_rows_ratio,regional_input_to_wan_rows_ratio,global_group_merge_ratio,spill_present,spill_bytes_to_wan_bytes_ratio,temp_blocks_per_final_row,hash_batch_excess,remote_region_rows_isf_normalized,worker_task_scan_rows_isf_normalized,worker_scan_rows_cv_normalized,task_count_to_shard_count_ratio,active_task_share,citus_repartition_observed_v2,worker_task_seq_scan_share,root_rows_estimate_error_log,foreign_scan_rows_estimate_error_log,aggregate_rows_estimate_error_log,remote_root_rows_estimate_error_log
20260626T114727Z-clean-run-eu-us-gac-v1__pilot-balanc--e8c5b4ab360e--_tenant_point_rollup__tenant_id-5__lookback_days-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5
20260626T114743Z-clean-run-eu-us-gac-v1__pilot-balanc--8f38da54d9b8--vent_filter_summary__lookback_days-1__min_value-500,0.3856627123103556,0.9479592789763815,0.38586284191890446,0.9479592789763815,1.0,0.6368723405423712,0.9132252848587796,0.0,0.0034507936825469,0.0078632371159652,0.0121460784364466,0.5298923194957792,0.38586284191890446,0.0,1.0,0.5,0.8849296790685408,0.5,0.4988264760503682
20260626T114803Z-clean-run-eu-us-gac-v1__pilot-balanc--3f158ec7be56--ent_filter_summary__lookback_days-14__min_value-500,0.3844778078701088,0.9448577112128682,0.38586284191890446,0.9448577112128682,1.0,0.6369559573652024,0.9043075342611258,0.0,0.0,0.0081794685628405,0.0292458284324475,0.38586284191890446,0.38586284191890446,0.0,1.0,0.5,0.9379510256458465,0.5,0.5010232974434614
20260626T114820Z-clean-run-eu-us-gac-v1__pilot-balanc--fb6c8a602c26--gion_user_segment_join__lookback_days-1__limit_k-10,0.37932922341513364,0.9428395679765942,0.38586284191890446,0.9428395679765942,1.0,0.8074778538814945,0.9271568275402576,0.0,0.0,0.0079160104986876,0.0122474487139158,0.6460652404025354,0.5298923194957792,0.0,1.0,0.4697531943350094,0.9351908185604987,0.2789376450543253,0.6929303459228214
20260626T114847Z-clean-run-eu-us-gac-v1__pilot-balanc--83c78e97c5d8--c_fdw_user_value_topk__lookback_days-30__limit_k-50,0.3674492314051799,0.9236147927652361,0.38586284191890446,0.9236147927652361,1.0,0.7536235864668382,0.8771730975071943,0.0,0.0,0.008,0.03,0.38586284191890446,0.38586284191890446,0.0,1.0,0.5,0.9472740327207907,0.9483290816805731,0.6929303459228214
20260626T114906Z-clean-run-eu-us-gac-v1__pilot-balanc--00ca4dc79bfd--multi_dimension_rollup__lookback_days-1__limit_k-50,0.3828870898496774,0.937357955819687,0.38586284191890446,0.937357955819687,1.0,0.6010443615367107,0.8872275456555964,0.0,0.0,0.0079837235056272,0.0109348934984116,0.6482557582036192,0.5328662216172926,0.0,1.0,0.788044370465564,0.9300327789956606,0.8409981068571255,0.954244363816976
20260626T114935Z-clean-run-eu-us-gac-v1__pilot-balanc--44d7b7cb8065--u_tenant_id-1__us_tenant_id-11000__lookback_days-14,0.3849931068900682,0.8813510338096907,0.5298923194957792,0.8813510338096907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038547653830923,0.019583666670619046,0.0,0.0,0.5,0.9026621601407386,0.5,0.9406755169048453
20260626T114950Z-clean-run-eu-us-gac-v1__pilot-balanc--d3cd2224a349--tenant_id-1000__us_tenant_id-10005__lookback_days-7,0.3852295522793379,0.8813510338096907,0.5298923194957792,0.8813510338096907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038547653830923,0.019583666670619046,0.0,0.0,0.5,0.8839818940653672,0.5,0.9406755169048453
20260626T115006Z-clean-run-eu-us-gac-v1__pilot-balanc--c1b1eed690b9--multi_dimension_rollup__lookback_days-7__limit_k-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8230326202012678,0.5,0.8230326202012678,0.5
20260626T115022Z-clean-run-eu-us-gac-v1__pilot-balanc--215f7e7724a7--c_fdw_daily_rollup__lookback_days-30__min_value-500,0.3809714080614851,0.9216326823409215,0.38586284191890446,0.9216326823409215,1.0,0.6369559573652024,0.8076577485588476,0.0,0.0,0.0081794685628405,0.0292458284324475,0.38586284191890446,0.38586284191890446,0.0,1.0,0.18884281243062379,0.9478425340227894,0.18884281243062379,0.5010232974434614
20260626T115039Z-clean-run-eu-us-gac-v1__pilot-balanc--b4f6bd426175--c_fdw_daily_rollup__lookback_days-14__min_value-100,0.3832471060640399,0.9324907110223701,0.38586284191890446,0.9324907110223701,1.0,0.636874540115703,0.8604948165555181,0.0,0.0,0.0079544304177819,0.0294636223511016,0.38586284191890446,0.38586284191890446,0.0,1.0,0.1371102990263699,0.9462691268252434,0.1371102990263699,0.6696155073854372
20260626T115057Z-clean-run-eu-us-gac-v1__pilot-balanc--8ed2abdba8f2--ac_fdw_daily_rollup__lookback_days-3__min_value-900,0.38507715876891757,0.92569551787047,0.38586284191890446,0.92569551787047,0.0,0.0,0.0,0.0,0.0,0.0082586641024782,0.0287211429136388,0.38586284191890446,0.38586284191890446,0.0,1.0,0.09261644173393441,0.8588796185857648,0.09261644173393441,0.17798545878349237
20260626T115112Z-clean-run-eu-us-gac-v1__pilot-balanc--8cfde183ec1f--_tenant_tier_left_join__lookback_days-3__limit_k-25,0.38224368911100404,0.9390866999794818,0.38586284191890446,0.9390866999794818,1.0,0.6104142225901426,0.8901485656667436,0.0,0.0,0.0083582089552238,0.0103565472610255,0.5357795918870424,0.39248161744989635,0.0,1.0,0.30706857904054774,0.9120384656389264,0.08230873905919633,0.954244363816976
20260626T115134Z-clean-run-eu-us-gac-v1__pilot-balanc--ab905f91fd57--_fdw_user_segment_join__lookback_days-3__limit_k-50,0.37529919064723505,0.9390577066593679,0.38586284191890446,0.9390577066593679,1.0,0.7816232910775605,0.9165166352953806,0.0,0.0,0.0105396825396825,0.03,0.5298923194957792,0.5298923194957792,0.0,1.0,0.4425957648076051,0.9351908185604987,0.4425957648076051,0.6929303459228214
20260626T115155Z-clean-run-eu-us-gac-v1__pilot-balanc--5726f29fca95--region_user_value_topk__lookback_days-7__limit_k-10,0.3781030928487718,0.9400999937152301,0.38586284191890446,0.9400999937152301,1.0,0.6797030682637212,0.9055719039012095,0.0,0.0,0.008,0.0122474487139158,0.5298923194957792,0.38586284191890446,0.0,1.0,0.5,0.928370629807072,0.9464362262001048,0.6929303459228214
20260626T115219Z-clean-run-eu-us-gac-v1__pilot-balanc--dbab8234ed31--nant_point_rollup__tenant_id-1000__lookback_days-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5
20260626T115234Z-clean-run-eu-us-gac-v1__pilot-balanc--c3d0cbd5f4eb--ent_filter_summary__lookback_days-14__min_value-900,0.38523972717201094,0.9400908535658505,0.38586284191890446,0.9400908535658505,0.0,0.0,0.0,0.0,0.0130962814573682,0.0066651960229022,0.0140812350992967,0.5298923194957792,0.38586284191890446,0.0,1.0,0.5,0.9155155714280643,0.5,0.17566665612997812
20260626T115251Z-clean-run-eu-us-gac-v1__pilot-balanc--deee54bd9b71--multi_dimension_rollup__lookback_days-3__limit_k-10,0.3797816319286955,0.9384584779451673,0.38586284191890446,0.9384584779451673,1.0,0.6010443615367107,0.890709667986852,0.0,0.0,0.0106935215946843,0.0265780730897009,0.5328662216172926,0.5328662216172926,0.0,1.0,0.7518356742223862,0.9300327789956606,0.7855660371705957,0.954244363816976
20260626T115311Z-clean-run-eu-us-gac-v1__pilot-balanc--d1309619208e--t__gac_etl_top_tenants__lookback_days-7__limit_k-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5
20260626T115326Z-clean-run-eu-us-gac-v1__pilot-balanc--44871847f974--fdw_global_user_join__lookback_days-14__limit_k-100,0.36496646353362594,0.9390577066593679,0.38586284191890446,0.9390577066593679,1.0,0.8093821251889397,0.9214645820280127,0.0,0.0,0.0105396825396825,0.0066666666666666,0.5298923194957792,0.5298923194957792,0.0,1.0,0.5,0.9384977849811166,0.5,0.6929303459228214
20260626T115347Z-clean-run-eu-us-gac-v1__pilot-balanc--c7c8afe06427--__limit_k-250__payload_repeat-64__payload_width-512,0.3858107158206688,0.4250474748285973,0.8520709166095483,0.4250474748285973,0.0,0.0,0.0,0.0,0.0,0.0082586641024782,0.0287211429136388,0.38586284191890446,0.38586284191890446,0.0,1.0,0.6631248189013438,0.6631248189013438,0.5,0.05429322963428229
20260626T115402Z-clean-run-eu-us-gac-v1__pilot-balanc--20a5fbf596e5--tenant_id-1000__us_tenant_id-10100__lookback_days-1,0.38516353743973186,0.8813510338096907,0.5298923194957792,0.8813510338096907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038547653830923,0.019583666670619046,0.0,0.0,0.5,0.6624003626179448,0.5,0.9406755169048453
20260626T115418Z-clean-run-eu-us-gac-v1__pilot-balanc--476c33bb9417--multi_dimension_rollup__lookback_days-1__limit_k-50,0.38161488640471763,0.9327900686827121,0.38586284191890446,0.9327900686827121,1.0,0.6010443615367107,0.8717508237278327,0.0,0.0,0.0106935215946843,0.0265780730897009,0.5328662216172926,0.5328662216172926,0.0,1.0,0.8409981068571255,0.9300327789956606,0.8409981068571255,0.954244363816976
20260626T115437Z-clean-run-eu-us-gac-v1__pilot-balanc--f5a4e6eff71c--vent_filter_summary__lookback_days-7__min_value-100,0.38502358670952325,0.947517769969356,0.38586284191890446,0.947517769969356,1.0,0.636874540115703,0.9119936788201423,0.0,0.0,0.0079544304177819,0.0294636223511016,0.38586284191890446,0.38586284191890446,0.0,1.0,0.5,0.936531929073951,0.5,0.6696155073854372
20260626T115456Z-clean-run-eu-us-gac-v1__pilot-balanc--8c8f902e7af4--multi_dimension_rollup__lookback_days-1__limit_k-25,0.38229274465907903,0.937357955819687,0.38586284191890446,0.937357955819687,1.0,0.6010443615367107,0.8872275456555964,0.0,0.0,0.0079837235056272,0.0109348934984116,0.6482557582036192,0.5328662216172926,0.0,1.0,0.788044370465564,0.9300327789956606,0.8409981068571255,0.954244363816976
