pair_subset,radius_label,radius,pair_count,same_winner_count,same_winner_probability,wilson_95_low,wilson_95_high,unconditional_same_winner_probability,lift_over_baseline
different_query_id,pooled_q50,8.115186700361631,4056,2119,0.5224358974358975,0.5070498896379781,0.5377794471344158,0.5185498489425981,0.003886048493299321
different_query_id,pooled_q75,10.88910038929842,6184,3151,0.5095407503234153,0.49707908899519626,0.5219905657115823,0.5185498489425981,-0.009009098619182865
different_query_id,pooled_q100,23.38480098540922,8275,4291,0.5185498489425981,0.5077782162049757,0.5293042670781057,0.5185498489425981,0.0
different_query_id,frozen_P99,1.9533554892194174,852,574,0.6737089201877934,0.6415079407125387,0.7043505088277219,0.5185498489425981,0.15515907124519523
same_query_id,pooled_q01,0.5703068230743868,60,60,1.0,0.93982814785791,0.9999999999999998,1.0,0.0
same_query_id,pooled_q02,0.8825252608550558,106,106,1.0,0.9650272414265277,1.0,1.0,0.0
same_query_id,pooled_q05,1.3338642632289912,138,138,1.0,0.9729172355344272,1.0,1.0,0.0
same_query_id,pooled_q10,1.787290698857044,142,142,1.0,0.9736600356869919,0.9999999999999999,1.0,0.0
same_query_id,pooled_q20,3.0706016133213967,144,144,1.0,0.9740163628569635,1.0,1.0,0.0
same_query_id,pooled_q30,5.164937109346913,144,144,1.0,0.9740163628569635,1.0,1.0,0.0
same_query_id,pooled_q50,8.115186700361631,202,202,1.0,0.981337778877479,1.0,1.0,0.0
same_query_id,pooled_q75,10.88910038929842,202,202,1.0,0.981337778877479,1.0,1.0,0.0
same_query_id,pooled_q100,23.38480098540922,240,240,1.0,0.9842460800584412,1.0,1.0,0.0
same_query_id,frozen_P99,1.9533554892194174,143,143,1.0,0.9738394125777184,0.9999999999999999,1.0,0.0
confirmatory_vs_all_prior,pooled_q01,0.5703068230743868,5,5,1.0,0.5655175352168251,1.0,0.5097701149425288,0.4902298850574712
confirmatory_vs_all_prior,pooled_q02,0.8825252608550558,14,7,0.5,0.26799202452413634,0.7320079754758637,0.5097701149425288,-0.009770114942528774
confirmatory_vs_all_prior,pooled_q05,1.3338642632289912,43,19,0.4418604651162791,0.30433309839170514,0.5889238554717591,0.5097701149425288,-0.0679096498262497
confirmatory_vs_all_prior,pooled_q10,1.787290698857044,70,35,0.5,0.3859571764530239,0.6140428235469761,0.5097701149425288,-0.009770114942528774
confirmatory_vs_all_prior,pooled_q20,3.0706016133213967,121,57,0.47107438016528924,0.3843989169791173,0.5595299663732161,0.5097701149425288,-0.03869573477723953
confirmatory_vs_all_prior,pooled_q30,5.164937109346913,285,173,0.6070175438596491,0.5492507187186134,0.6619378005786366,0.5097701149425288,0.09724742891712035
confirmatory_vs_all_prior,pooled_q50,8.115186700361631,1072,537,0.5009328358208955,0.47105207729033716,0.530806932681441,0.5097701149425288,-0.008837279121633235
confirmatory_vs_all_prior,pooled_q75,10.88910038929842,1170,590,0.5042735042735043,0.4756574426494944,0.532861595355899,0.5097701149425288,-0.005496610669024515
confirmatory_vs_all_prior,pooled_q100,23.38480098540922,1740,887,0.5097701149425288,0.48628568387917287,0.5332115013884564,0.5097701149425288,0.0
confirmatory_vs_all_prior,frozen_P99,1.9533554892194174,81,42,0.5185185185185185,0.41135648703875716,0.6240035838711533,0.5097701149425288,0.008748403575989716
confirmatory_vs_reference,pooled_q01,0.5703068230743868,0,0,,,,0.5102564102564102,
confirmatory_vs_reference,pooled_q02,0.8825252608550558,0,0,,,,0.5102564102564102,
confirmatory_vs_reference,pooled_q05,1.3338642632289912,0,0,,,,0.5102564102564102,
confirmatory_vs_reference,pooled_q10,1.787290698857044,0,0,,,,0.5102564102564102,
confirmatory_vs_reference,pooled_q20,3.0706016133213967,0,0,,,,0.5102564102564102,
confirmatory_vs_reference,pooled_q30,5.164937109346913,33,27,0.8181818181818182,0.6561176836533009,0.9138923179105933,0.5102564102564102,0.307925407925408
confirmatory_vs_reference,pooled_q50,8.115186700361631,390,199,0.5102564102564102,0.46078594426879044,0.5595267978786588,0.5102564102564102,0.0
confirmatory_vs_reference,pooled_q75,10.88910038929842,390,199,0.5102564102564102,0.46078594426879044,0.5595267978786588,0.5102564102564102,0.0
confirmatory_vs_reference,pooled_q100,23.38480098540922,390,199,0.5102564102564102,0.46078594426879044,0.5595267978786588,0.5102564102564102,0.0
confirmatory_vs_reference,frozen_P99,1.9533554892194174,0,0,,,,0.5102564102564102,
confirmatory_vs_final_dba,pooled_q01,0.5703068230743868,0,0,,,,0.5125925925925926,
confirmatory_vs_final_dba,pooled_q02,0.8825252608550558,0,0,,,,0.5125925925925926,
confirmatory_vs_final_dba,pooled_q05,1.3338642632289912,0,0,,,,0.5125925925925926,
confirmatory_vs_final_dba,pooled_q10,1.787290698857044,0,0,,,,0.5125925925925926,
confirmatory_vs_final_dba,pooled_q20,3.0706016133213967,0,0,,,,0.5125925925925926,
confirmatory_vs_final_dba,pooled_q30,5.164937109346913,36,30,0.8333333333333334,0.6810920568872054,0.9212955240498188,0.5125925925925926,0.32074074074074077
confirmatory_vs_final_dba,pooled_q50,8.115186700361631,315,157,0.4984126984126984,0.4435499981541893,0.5533136468570375,0.5125925925925926,-0.014179894179894181
