episode_id,query_id,topology_id,cohort,scenario_order,logical_question_id,round_id,case_index,best_action,winner_margin_log2,pca_1,pca_2,pca_3,pca_4,pca_5,pca_6,gain__increase_gac_work_mem,gain__regional_topk_candidates,gain__mitigate_remote_path_bundle
q05_event_deviation::run-3,q05_event_deviation,eu_us_gac,final_dba,13,q05_event_deviation,temporal_panel,38,regional_topk_candidates,0.47532748313218987,0.8361285139928392,-0.6349918268072183,-1.1736253769398615,-0.33494457580344533,-0.054067137397527734,0.16498133404563436,-0.0316462744395453,1.5227227683950888,1.047395285262899
q05_event_deviation::run-4,q05_event_deviation,eu_us_gac,final_dba,14,q05_event_deviation,temporal_panel,39,regional_topk_candidates,0.45435941954846304,0.8714321096621241,-0.608666100362837,-1.1767963482509678,-0.5705649273670295,0.16984659476847333,0.15923822204915397,0.0486061304280509,1.6292173868977764,1.1748579673493134
q05_event_deviation::run-5,q05_event_deviation,eu_us_gac,final_dba,15,q05_event_deviation,temporal_panel,40,regional_topk_candidates,0.5116023910096268,0.840273628522272,-0.655430279117359,-1.2654675776333681,-0.2266609666808197,-0.1134124593104444,0.25407481172129653,0.1061461385855623,1.7019159811692757,1.1903135901596489
q06_tenant_sum::run-1,q06_tenant_sum,eu_us_gac,final_dba,16,q06_tenant_sum,temporal_panel,41,regional_topk_candidates,0.2919563116630042,1.4549219362607941,-1.1765371110036398,-0.06446240647972777,-0.23830356022746685,-0.21138491910065577,0.06511851413867896,-0.0113274524048228,3.047649640005925,2.755693328342921
q07_tenant_count::run-1,q07_tenant_count,eu_us_gac,final_dba,17,q07_tenant_count,temporal_panel,42,regional_topk_candidates,1.4292628893726516,2.5875301710955068,-0.7661853612833872,0.9072234239894752,-0.08347991554119226,0.4565775638870243,0.08117935177904241,0.0095142040035063,5.78740087138428,4.358137982011629
q07_tenant_count::run-2,q07_tenant_count,eu_us_gac,final_dba,18,q07_tenant_count,temporal_panel,43,regional_topk_candidates,1.6219710125927689,2.6111954946967346,-0.21584600262133732,0.7711725353965831,-0.2622639200541393,0.13414818782934257,-0.19224028657960665,0.0058933650242485,5.944838229402522,4.322867216809753
q08_tenant_avg::run-1,q08_tenant_avg,eu_us_gac,final_dba,19,q08_tenant_avg,temporal_panel,44,regional_topk_candidates,3.098847768387162,2.5737102118614064,-0.5519471416086534,-0.892952402949994,0.8058720863819381,0.1502125508210595,0.00043040070817389897,0.0206639435078385,4.495349709290721,1.3965019409035595
q08_tenant_avg::run-2,q08_tenant_avg,eu_us_gac,final_dba,20,q08_tenant_avg,temporal_panel,45,regional_topk_candidates,3.4147186210029346,2.701677200996825,-0.17502794881068967,-0.7476505468967415,1.1923384145880969,0.20137310427593602,0.44719062895789724,0.0735851486077056,4.607859831466466,1.1931412104635313
q08_tenant_avg::run-3,q08_tenant_avg,eu_us_gac,final_dba,21,q08_tenant_avg,temporal_panel,46,regional_topk_candidates,2.8221938369754507,2.7135566564830773,-0.11290910394648053,-0.749240106454408,0.5569303806401944,0.4179505311200554,0.07666196518841514,0.0268770971362172,4.231723759789755,1.4095299228143046
q09_tenant_max::run-1,q09_tenant_max,eu_us_apac_gac,final_dba,22,q09_tenant_max,temporal_panel,47,mitigate_remote_path_bundle,1.3756076286393708,2.84323861100295,-1.7733891058505935,-0.7134877523372528,-5.893667601545173,-2.6990658018184055,5.548632940312115,-0.0098099219860758,0.6178171990686502,1.993424827708021
q09_tenant_max::run-2,q09_tenant_max,eu_us_apac_gac,final_dba,23,q09_tenant_max,temporal_panel,48,mitigate_remote_path_bundle,1.3241434731600286,2.924074075686235,-0.9150159008165999,-0.7977808236290085,-5.362341453079656,-2.9064250113541203,5.9424290447521395,0.0118212301274772,0.711494806856934,2.0356382800169626
q09_tenant_max::run-3,q09_tenant_max,eu_us_apac_gac,final_dba,24,q09_tenant_max,temporal_panel,49,mitigate_remote_path_bundle,1.0789795139529628,2.9037611343906877,-0.9199530278939464,-0.8363730373495889,-5.569071343971882,-3.1064209524761597,5.6683442563947946,0.0235774955198211,0.741129797923938,1.8201093118769007
q09_tenant_max::run-4,q09_tenant_max,eu_us_apac_gac,final_dba,25,q09_tenant_max,temporal_panel,50,mitigate_remote_path_bundle,1.3135790020504303,2.899769055230531,-0.885987621584481,-0.7672391906300203,-5.718665168907561,-2.9632199846667064,5.596000910314709,0.001257989186062,0.6273560086690125,1.940935010719443
q10_tenant_min::run-1,q10_tenant_min,eu_us_apac_gac,final_dba,26,q10_tenant_min,temporal_panel,51,mitigate_remote_path_bundle,1.7367465060806084,3.608608508703995,-1.49579668267305,-0.20216260269633438,-5.988926728659427,-2.9319430016133756,5.426643833822924,-0.0152279019519483,1.5949990223674917,3.3317455284481
q10_tenant_min::run-2,q10_tenant_min,eu_us_apac_gac,final_dba,27,q10_tenant_min,temporal_panel,52,mitigate_remote_path_bundle,1.7982389754682935,3.6765705356199296,-0.7747393396403948,-0.262574057546544,-5.697132578898686,-3.293386818295148,5.519647064992588,-0.0055403245600634,1.6670659134424273,3.4653048889107207
q10_tenant_min::run-3,q10_tenant_min,eu_us_apac_gac,final_dba,28,q10_tenant_min,temporal_panel,53,mitigate_remote_path_bundle,1.828584532811226,3.694338222531114,-0.7757728341282825,-0.32170319864145475,-5.705231662456668,-3.233741210770367,5.566807076758055,0.0360130863917107,1.6725292573066506,3.5011137901178766
q10_tenant_min::run-4,q10_tenant_min,eu_us_apac_gac,final_dba,29,q10_tenant_min,temporal_panel,54,mitigate_remote_path_bundle,1.8322404418006728,3.654707100404908,-0.7825727734945963,-0.3036166472075355,-5.6200676570364125,-3.32245537349937,5.547479898084264,-0.0081606287519814,1.62577245151283,3.458012893313503
q10_tenant_min::run-5,q10_tenant_min,eu_us_apac_gac,final_dba,30,q10_tenant_min,temporal_panel,55,mitigate_remote_path_bundle,1.7765094041863732,3.642480731216304,-0.9102310714907501,-0.4302950805850676,-4.463328524049603,-4.1836997297965555,5.9937468095442705,0.0597814596106214,1.7150745043587334,3.4915839085451066
q11_tenant_high_count::run-1,q11_tenant_high_count,eu_us_apac_gac,final_dba,31,q11_tenant_high_count,temporal_panel,56,regional_topk_candidates,0.5009034563312984,4.101739795341765,-1.2344150868768702,-1.522392962888301,-4.866001754887469,-2.6251621465694845,5.942026396775067,0.0937873302573581,1.689951973975143,1.1890485176438446
q12_tenant_user_sum::run-1,q12_tenant_user_sum,eu_us_apac_gac,final_dba,32,q12_tenant_user_sum,temporal_panel,57,regional_topk_candidates,0.11867755245443856,5.0937964527242015,-0.8871267345453235,-0.8223548090685943,-5.0977769385689,-2.936005131830118,5.51768065352516,0.0620501007483585,2.722186807479819,2.60350925502538
q12_tenant_user_sum::run-2,q12_tenant_user_sum,eu_us_apac_gac,final_dba,33,q12_tenant_user_sum,temporal_panel,58,regional_topk_candidates,0.2576277758551133,5.095674891215522,-0.46384687729938556,-0.9621257628892632,-5.308895384967545,-2.7284768020740255,5.455980174400718,0.0468398291295993,2.642596705948222,2.3849689300931085
q13_tenant_user_count::run-1,q13_tenant_user_count,eu_us_apac_gac,final_dba,34,q13_tenant_user_count,temporal_panel,59,mitigate_remote_path_bundle,1.049339771001879,4.302835293214511,-1.8484527165475457,-0.07057543383260392,-5.062861778749774,-2.570420821943603,5.607756992793265,-0.0169087536433568,2.533280904815219,3.582620675817098
q13_tenant_user_count::run-2,q13_tenant_user_count,eu_us_apac_gac,final_dba,35,q13_tenant_user_count,temporal_panel,60,mitigate_remote_path_bundle,0.938199250813168,4.352903164737869,-0.9319996215731213,-0.19632248876070535,-5.437441312425386,-2.971492046271527,5.160651413604104,0.000215558798449,2.489066964314711,3.427266215127879
q13_tenant_user_count::run-3,q13_tenant_user_count,eu_us_apac_gac,final_dba,36,q13_tenant_user_count,temporal_panel,61,mitigate_remote_path_bundle,0.9331935786367525,4.364364125566208,-0.9030433131044595,-0.18020638217870213,-5.621529956812698,-2.7906835267426646,5.123050784333606,0.0022388104984377,2.4918301675269805,3.425023746163733
q14_tenant_day_sum::run-1,q14_tenant_day_sum,eu_us_apac_gac,final_dba,37,q14_tenant_day_sum,temporal_panel,62,mitigate_remote_path_bundle,0.9477271125121352,5.072305400863397,-1.5161603239286998,-1.5366877560441938,-4.34624508932131,-2.427787252293401,5.194739925901992,0.0635345663129016,0.2853191710203477,1.233046283532483
q14_tenant_day_sum::run-2,q14_tenant_day_sum,eu_us_apac_gac,final_dba,38,q14_tenant_day_sum,temporal_panel,63,mitigate_remote_path_bundle,0.97116891238259,5.17587600105896,-0.8102605889309659,-1.675436127543818,-4.727121426406529,-2.269762880385746,5.049312890012631,0.1056924575119,0.3492104306271075,1.3203793430096975
q14_tenant_day_sum::run-3,q14_tenant_day_sum,eu_us_apac_gac,final_dba,39,q14_tenant_day_sum,temporal_panel,64,mitigate_remote_path_bundle,0.9298375423042682,5.126898658730644,-0.8806547252660634,-1.659112030179631,-4.343134322951095,-2.661403793550529,5.1251216963314645,0.0468458501152429,0.2983051381180681,1.2281426804223363
q14_tenant_day_sum::run-4,q14_tenant_day_sum,eu_us_apac_gac,final_dba,40,q14_tenant_day_sum,temporal_panel,65,mitigate_remote_path_bundle,1.0620701052466557,5.176541071857379,-0.7982012948514553,-1.4999038389220976,-4.53964908935981,-2.420983394160945,5.156162476075417,0.0572275554466537,0.1205952939116147,1.1826653991582703
