condition_id,from_state,to_state,transition_count
cond-8e785df292aebfd07c13,mixed_boundary,mixed_boundary,2
cond-92a1bd311fb0048702ea,mixed_boundary,mixed_boundary,2
cond-93b3ada989afb7c59810,mixed_boundary,mixed_boundary,2
cond-95138c034ddd84d6c91e,clear_prototype,clear_prototype,2
cond-9698597d895bf28c92c9,clear_prototype,clear_prototype,2
cond-98277f4a3e908871b5eb,mixed_boundary,mixed_boundary,2
cond-98688e66ad42e812aef9,clear_prototype,clear_prototype,2
cond-9c359776cfbd26e1209f,clear_prototype,clear_prototype,2
cond-9e0bc2458da5ed44af3d,weak_prototype_coverage,weak_prototype_coverage,2
cond-b269be3e505ece7d383d,mixed_boundary,mixed_boundary,4
cond-b2fdb86400597d671700,clear_prototype,clear_prototype,2
cond-b42d73a6d849ff95d8a6,clear_prototype,clear_prototype,2
cond-b459da930a353f2ec5e0,clear_prototype,clear_prototype,2
cond-b77c7d171a33f4a835f2,clear_prototype,clear_prototype,2
cond-b95414a49e47e1e18e23,weak_prototype_coverage,weak_prototype_coverage,4
cond-ba07470531ca335e20aa,mixed_boundary,mixed_boundary,4
cond-bb2c7ac9eb6cbc37169c,clear_prototype,clear_prototype,2
cond-bb861cdd5341ce6892be,mixed_boundary,mixed_boundary,2
cond-bd140430ae62137804c5,mixed_boundary,mixed_boundary,4
cond-bf30004dc48a40699fc7,mixed_boundary,mixed_boundary,4
cond-c0092f66631f1ae01fc6,mixed_boundary,mixed_boundary,2
cond-c2354b18983fde954627,weak_prototype_coverage,weak_prototype_coverage,2
cond-c5b1cb80a15ad5f221e3,mixed_boundary,mixed_boundary,2
cond-c640c975692de84cae06,mixed_boundary,mixed_boundary,2
cond-c7752535b0651ad3a347,clear_prototype,clear_prototype,4
cond-cca388d51eb3c5986b3a,clear_prototype,clear_prototype,2
cond-d183514acf4239fd7160,clear_prototype,clear_prototype,2
cond-d440ac0b04f4bf5b7186,mixed_boundary,mixed_boundary,2
cond-d58a1a7d57bc70acde3c,mixed_boundary,mixed_boundary,2
cond-d5afdbe598daf23c73c0,clear_prototype,clear_prototype,2
cond-d80fba772498162ebbf6,mixed_boundary,mixed_boundary,2
cond-da01e051b792b0e29b50,clear_prototype,clear_prototype,2
cond-ea1310ef7a785f25ad14,weak_prototype_coverage,weak_prototype_coverage,2
cond-f461d0b4d2ee745f8be9,weak_prototype_coverage,weak_prototype_coverage,2
cond-f852b03bbba6d24405e1,weak_prototype_coverage,weak_prototype_coverage,2
cond-fb730b7faa8045049194,mixed_boundary,mixed_boundary,4
cond-fe7077a5b6b17cc15c54,clear_prototype,clear_prototype,2
