condition_id,metric,observed_repetitions,mean,standard_deviation,coefficient_of_variation,median,mad,robust_relative_dispersion,minimum,maximum
cond-7e7bb6200a10d904a4ec,main_root_actual_total_time_ms,3,1653.3133333333335,29.92069027167209,0.01809741061686558,1666.624,7.644999999999982,0.006800860302023716,1619.047,1674.269
cond-8174a6833910222c7e23,elapsed_seconds,3,1.663343,0.04479207595099825,0.026928947277259262,1.671149,0.03256999999999999,0.028895258292348548,1.615161,1.703719
cond-8174a6833910222c7e23,main_root_actual_total_time_ms,3,1583.2576666666666,41.86171346628483,0.026440240491251793,1586.55,36.82600000000002,0.034413178027796185,1539.847,1623.376
cond-846d8b77c86400b75b64,elapsed_seconds,3,4.228702000000001,0.2203265399787324,0.05210264047424773,4.11458,0.025732999999999784,0.009272330541634791,4.088847,4.482679
cond-846d8b77c86400b75b64,main_root_actual_total_time_ms,3,4134.173333333333,221.93427299390524,0.053682865980600375,4011.146,10.146000000000186,0.003750165065046317,4001.0,4390.374
cond-877228963f14a73f246c,elapsed_seconds,5,0.23138460000000002,0.008548779316370256,0.036946189661586186,0.226028,0.0013520000000000199,0.008868260569487096,0.224676,0.243383
cond-877228963f14a73f246c,main_root_actual_total_time_ms,5,161.38500000000002,8.344963600879264,0.051708421482041474,156.675,2.701999999999998,0.02556875825753947,153.973,173.129
cond-8c59d73c305c0c5ae78c,elapsed_seconds,3,1.3163150000000001,0.029790548836837485,0.022631777983869727,1.306075,0.013080000000000203,0.014847851769615296,1.292995,1.349875
cond-8c59d73c305c0c5ae78c,main_root_actual_total_time_ms,3,1254.0740000000003,31.36918706310381,0.025013824593368334,1241.727,10.970000000000027,0.013097985305948924,1230.757,1289.738
cond-8c64ffbc156a42d5de5e,elapsed_seconds,5,1.2797122,0.07231715496823699,0.056510483347925404,1.304635,0.04495500000000008,0.051087302578882304,1.168925,1.34959
cond-8c64ffbc156a42d5de5e,main_root_actual_total_time_ms,5,1218.6642,70.25820205997302,0.0576518142241095,1239.938,49.13499999999999,0.05875096254812739,1111.115,1290.491
cond-8dd5923c9b087c2d08c2,elapsed_seconds,3,0.48313100000000003,0.021317685779652526,0.04412402801652662,0.478225,0.013531000000000015,0.04194900015682999,0.464694,0.506474
cond-8dd5923c9b087c2d08c2,main_root_actual_total_time_ms,3,408.34633333333335,20.093331091019564,0.04920659119673634,405.609,15.84699999999998,0.0579246569972559,389.762,429.668
cond-8e10f074460e2452d761,elapsed_seconds,3,0.04404133333333333,0.004458867158072033,0.10124278309933168,0.041954,0.0009450000000000014,0.03339507555894556,0.041009,0.049161
cond-8e10f074460e2452d761,main_root_actual_total_time_ms,3,0.06233333333333333,0.0015275252316519481,0.024505752379443017,0.062,0.0010000000000000009,0.02391290322580647,0.061,0.064
cond-8e785df292aebfd07c13,elapsed_seconds,3,0.24010833333333334,0.032257896340792805,0.13434725856020327,0.229089,0.014284999999999992,0.09244852873773943,0.214804,0.276432
cond-8e785df292aebfd07c13,main_root_actual_total_time_ms,3,175.43633333333332,19.28349222348829,0.1099173236073578,170.576,11.527999999999992,0.10019822718319099,159.048,196.685
cond-92a1bd311fb0048702ea,elapsed_seconds,3,0.21677500000000002,0.0026640114489243512,0.012289292810168844,0.218288,4.999999999999449e-05,0.0003395972293483464,0.213699,0.218338
cond-92a1bd311fb0048702ea,main_root_actual_total_time_ms,3,157.26666666666665,2.3876702731602926,0.01518230355973056,156.384,0.9379999999999882,0.008892717925107315,155.446,159.97
cond-93b3ada989afb7c59810,elapsed_seconds,3,4.6154883333333325,0.03327248449294576,0.007208876307334564,4.615281,0.03296100000000024,0.01058829973732918,4.58232,4.648864
cond-93b3ada989afb7c59810,main_root_actual_total_time_ms,3,4521.415333333333,29.526897099649972,0.006530454497725116,4521.747,29.027999999999338,0.00951776222774052,4491.724,4550.775
cond-95138c034ddd84d6c91e,elapsed_seconds,3,0.051118666666666666,0.012895665059752958,0.2522691983310655,0.047034,0.006274000000000002,0.19776826125781352,0.04076,0.065562
cond-95138c034ddd84d6c91e,main_root_actual_total_time_ms,3,0.085,0.019974984355438177,0.2349998159463315,0.09,0.011999999999999997,0.19767999999999994,0.063,0.102
cond-9698597d895bf28c92c9,elapsed_seconds,3,225.99677800000003,0.04522699441705807,0.00020012229739424896,226.00941,0.02493599999999674,0.00016357776253650308,225.946578,226.034346
cond-9698597d895bf28c92c9,main_root_actual_total_time_ms,3,223508.345,41.11540838907177,0.0001839546903229576,223521.738,19.355999999999767,0.00012838664309240317,223462.203,223541.094
cond-98277f4a3e908871b5eb,elapsed_seconds,3,2.470584,0.09138977049429556,0.03699116099444324,2.475894,0.0833090000000003,0.049886595872036706,2.376655,2.559203
cond-98277f4a3e908871b5eb,main_root_actual_total_time_ms,3,2385.594,86.77610064989094,0.03637504984079057,2397.484,68.32799999999997,0.04225391819090345,2293.486,2465.812
cond-98688e66ad42e812aef9,elapsed_seconds,3,2.822162666666667,0.212281223873741,0.07521934379653322,2.771246,0.13127600000000017,0.0702318731718513,2.63997,3.055272
cond-98688e66ad42e812aef9,main_root_actual_total_time_ms,3,2731.0253333333335,196.92859381342603,0.07210793375287597,2688.196,129.15999999999985,0.07123461830908155,2559.036,2945.844
cond-9c359776cfbd26e1209f,elapsed_seconds,3,0.17739033333333332,0.006450853767784016,0.03636530608272914,0.179221,0.00350700000000001,0.02901154552200922,0.170222,0.182728
cond-9c359776cfbd26e1209f,main_root_actual_total_time_ms,3,119.80533333333334,4.032985783924034,0.033662823446290936,118.992,2.7510000000000048,0.034276527833804006,116.241,124.183
cond-9e0bc2458da5ed44af3d,elapsed_seconds,3,0.4982146666666667,0.027362923936109854,0.05492195586931039,0.500767,0.02344500000000005,0.06941263501788272,0.469665,0.524212
cond-9e0bc2458da5ed44af3d,main_root_actual_total_time_ms,3,419.31166666666667,22.934384149859635,0.0546953160931041,420.986,20.37700000000001,0.07176233936520458,395.586,441.363
cond-b269be3e505ece7d383d,elapsed_seconds,5,2.0757326,0.13370874666341018,0.06441520775046371,2.098535,0.13033399999999995,0.09208004079036086,1.936976,2.228869
cond-b269be3e505ece7d383d,main_root_actual_total_time_ms,5,2007.3970000000002,132.27315374065898,0.06589287208293076,2030.718,127.14599999999996,0.09282759083240505,1869.899,2157.864
cond-b2fdb86400597d671700,elapsed_seconds,3,0.726457,0.015247539998307927,0.02098890918293571,0.733947,0.0025640000000000107,0.005179374532493512,0.708913,0.736511
cond-b2fdb86400597d671700,main_root_actual_total_time_ms,3,665.084,13.172108525213366,0.019805180285818583,667.415,9.519999999999982,0.021147789606167037,650.902,676.935
cond-b42d73a6d849ff95d8a6,elapsed_seconds,3,1.322109,0.09235564264840557,0.06985478704736567,1.317709,0.085677,0.09639815786338257,1.232032,1.416586
cond-b42d73a6d849ff95d8a6,main_root_actual_total_time_ms,3,1261.2299999999998,91.31350980550475,0.07240036298336129,1255.638,82.79700000000003,0.09776291590410614,1172.841,1355.211
cond-b459da930a353f2ec5e0,elapsed_seconds,3,1.784724,0.12899395010619685,0.07227669382279661,1.710806,0.0011120000000000019,0.0009636692880431812,1.709694,1.933672
