condition_id,repetition_count,mean_l1_to_condition_mean,max_l1_to_condition_mean,dominant_cluster,dominant_cluster_agreement,mean_membership_c0,mean_membership_c1,mean_membership_c2,mean_membership_c3
cond-21e27f028b9d2c7391c4,3,5.899703828989485e-07,8.849555743761783e-07,1,1.0,0.19907962735331564,0.32649525885566594,0.20485874302311216,0.2695663707679063
cond-225db1900d966640512e,3,0.0001980342934341644,0.00029592650838315693,0,1.0,0.7452985125741791,0.15624836048751736,0.024857343378514706,0.0735957835597888
cond-22930995d28b411a802a,3,0.03931428166995751,0.05897142250493623,3,1.0,0.04003861087026673,0.09780940359163603,0.030723818326181495,0.8314281672119158
cond-235171408d34ddfd185e,3,8.428581541504906e-07,1.2642872312396136e-06,1,1.0,0.23418207981448455,0.32374776518692855,0.1445075835116024,0.2975625714869845
cond-237ce059e3ec5c42e426,3,6.761565893390978e-07,1.0142348839670134e-06,2,1.0,0.21797590322186056,0.2503648420183972,0.27838322825277545,0.25327602650696673
cond-27f20255d8711f744816,5,4.889566193378991e-05,9.48039994014202e-05,1,1.0,0.12441927464515276,0.7324391901500926,0.018884964157389737,0.12425657104736498
cond-2934cc7da1de670fd716,5,0.0007873247391833486,0.0011204530003072078,1,1.0,0.09028363727582463,0.8183735300584282,0.01366607316742271,0.07767675949832448
cond-2b31382cbb0741a77873,3,1.6900397648011989e-06,2.535059647229554e-06,2,1.0,0.17059540670492765,0.25459612742437115,0.30154254007686515,0.2732659257938361
cond-2f7c5c4be6cf31156182,5,0.00028419081747767526,0.00037825023315775363,0,1.0,0.39610873099021887,0.29051561940360415,0.09863438579228431,0.21474126381389264
cond-33bae3c34e8ca2f62e55,3,0.00010849074038509395,0.00016273611057761664,1,1.0,0.1289435218337497,0.7389196431734214,0.021541655589924907,0.11059517940290405
cond-36f3dc2b7cc2196e32e8,5,0.00011336987619416372,0.0001880377737375899,0,1.0,0.5283439155231135,0.22978622329596532,0.08183095096216916,0.16003891021875202
cond-3a0c2ae45bc4fcdebff0,3,0.0002701066921270608,0.00040516003819057733,3,1.0,0.16956029831836397,0.32744144417630355,0.12907745056881798,0.3739208069365145
cond-3a3f69b12ed3afde9053,3,2.928028943823454e-06,4.0624709608805265e-06,1,1.0,0.23364866813690965,0.3266537681145636,0.154271490597138,0.28542607315138885
cond-3da59e1bcfb56a20168b,3,0.00022037206764217768,0.0003305581014633567,1,1.0,0.2143145314732694,0.6507999392091887,0.025762785741156927,0.10912274357638507
cond-3f66556ae8c298eab74d,3,0.00010681515595880459,0.0001521624659478124,1,1.0,0.3615283707039318,0.4146918414783392,0.048271161882957936,0.17550862593477112
cond-40aea493e6e3b117a24a,3,0.0001450029284651803,0.00021750439269788147,1,1.0,0.24881270419989354,0.33442472970339704,0.13998658864724958,0.2767759774494599
cond-40cccee0a49f23e922e5,3,1.109973992743929e-05,1.6645380729343046e-05,1,1.0,0.11618971249836874,0.6639367167168946,0.025666423322237356,0.19420714746249934
cond-464dce3840415e29aed7,3,2.4912274353601954e-07,3.73684115262396e-07,2,1.0,0.22584852537434863,0.25995066029341296,0.2601353372616546,0.25406547707058386
cond-474460353c8cb8a30093,3,6.558639723591719e-05,9.83795958539313e-05,1,1.0,0.11624923870323296,0.4261310183588119,0.09231073955320979,0.36530900338474526
cond-49c0893fa0327bc1ad95,5,4.829433753876511e-06,9.90661985562219e-06,3,1.0,0.06736575903269357,0.1211036528711654,0.05350131495011438,0.7580292731460267
cond-4ce68d2509565ea28322,3,1.1102230246251565e-16,1.1102230246251565e-16,3,1.0,0.022525133091847085,0.06204423465929887,0.011085444351085758,0.9043451878977683
cond-4f778474755e588e8aa1,5,0.0007769770228901573,0.0017584565413109599,1,1.0,0.09884608383440119,0.5131150221550461,0.06389478036368548,0.3241441136468671
cond-5e469422c082309ca012,5,0.0,0.0,3,1.0,0.09059009666633433,0.17792672577542892,0.055291407881063445,0.6761917696771732
cond-5faa3019b230f5846285,3,1.1102230246251565e-16,1.1102230246251565e-16,3,1.0,0.022525133091847085,0.06204423465929887,0.011085444351085758,0.9043451878977683
cond-626acafcfab45b04176a,3,0.0001551327706039903,0.00023230157972975451,1,1.0,0.12323550786263578,0.38816716961834996,0.12145516894899207,0.36714215357002217
cond-655121eb744d31a08ad7,3,2.517686819673385e-06,3.685834858019321e-06,1,1.0,0.2336511011642934,0.3266578102520745,0.1542739232668641,0.2854171653167679
cond-656e5fefb973b7da7046,3,0.0005002180838762776,0.0007503271258144026,0,1.0,0.6663820864886952,0.19042013969725172,0.03974310455169481,0.10345466926235829
cond-65b11355ad1f90ca6542,5,0.0,0.0,3,1.0,0.03341765528013842,0.09881568285770212,0.016950352982152774,0.8508163088800066
cond-6c9e6448bb422a2bdfa0,3,0.00048201305038948067,0.0007010199499964016,1,1.0,0.09606540895817726,0.7667710876269606,0.0217350662219513,0.11542843719291095
cond-70d7bcd7626b433cb422,3,0.0002050119572659497,0.0003075179358988864,0,1.0,0.4519818273792821,0.37288153814386793,0.03849934834073195,0.13663728613611797
cond-72bfefbb5c0254ea65c6,3,2.7482252399017165e-05,4.122058691821001e-05,1,1.0,0.09715533516852846,0.7361241437698466,0.01841151732268954,0.1483090037389355
cond-75c7c8787cb7f09cef45,3,9.573381972385654e-05,0.00014360072958572237,1,1.0,0.11566753058333616,0.662382493019115,0.02553044006076255,0.19641953633678622
cond-786bf7b48205fb7374ea,3,1.769282132892414e-06,2.6539231992835435e-06,2,1.0,0.0030303089686969393,0.005636321046707047,0.9843924758373452,0.006940894147250799
cond-791c5fc733f60b39e7fe,3,8.856687533242574e-05,0.00013229692782142435,0,1.0,0.8167272155487925,0.12399339200713598,0.011844139333932859,0.04743525311013874
cond-7a2af6ca1005b4f9873f,3,0.00012781986721809024,0.0001917298008272117,1,1.0,0.1740388489879822,0.3987984927583539,0.09017037762541981,0.3369922806282441
cond-7a5d985fe2a5157c737d,5,0.0005363877574101117,0.0010452482123908258,3,1.0,0.12625040525353687,0.2914495604115336,0.12972755173760323,0.4525724825973264
cond-7d0f79fc868b4ff8b06f,3,6.649276603769756e-05,9.973914905653247e-05,1,1.0,0.2488325604827216,0.33445105484930143,0.13999970098860284,0.27671668367937413
cond-7e08a2dad61485b9193f,3,8.483457547780089e-05,0.000127251863216854,3,1.0,0.16146320411699652,0.2701639555894255,0.25995253726852924,0.3084203030250487
cond-7e57e053af0e3e8768f3,3,0.00010059019078534348,0.0001418361578570948,0,1.0,0.5010057842127189,0.3445047714859933,0.03530438629550999,0.11918505800577782
cond-7e7bb6200a10d904a4ec,3,0.00018963020620017582,0.0002844453093003227,1,1.0,0.11571803730318737,0.6625356881617203,0.025543431179104483,0.19620284335598795
cond-8174a6833910222c7e23,3,0.00015776053099050488,0.00023664079648576253,1,1.0,0.12439940358976337,0.7323431839887803,0.01887972346081098,0.12437768896064537
cond-846d8b77c86400b75b64,3,0.00017834262256941186,0.0002675057525589261,0,1.0,0.7482822174215423,0.15567357568735715,0.024317087160193224,0.07172711973090726
cond-877228963f14a73f246c,5,0.00034783575029087577,0.0005228610189328409,3,1.0,0.16142914700730157,0.27010180234928294,0.25988275501084623,0.3085862956325693
cond-8c59d73c305c0c5ae78c,3,0.000116202725238157,0.0001743040878572008,0,1.0,0.4611549496188894,0.37526487402705017,0.0331459737204589,0.13043420263360148
cond-8c64ffbc156a42d5de5e,5,7.793813509066119e-05,0.00013750259281562066,1,1.0,0.08581921820278282,0.7144613108939654,0.02741707508559117,0.17230239581766066
cond-8dd5923c9b087c2d08c2,3,5.636113638721648e-05,8.454170458074839e-05,1,1.0,0.17387423623054374,0.39894955689345185,0.08993428598484261,0.33724192089116173
cond-8e10f074460e2452d761,3,1.3877787807814457e-17,1.3877787807814457e-17,3,1.0,0.03341765528013842,0.0988156828577021,0.016950352982152774,0.8508163088800066
cond-8e785df292aebfd07c13,3,9.918906778150216e-07,1.4878360167225324e-06,3,1.0,0.14182814832958615,0.23852114492312793,0.21437992468603528,0.4052707820612506
cond-92a1bd311fb0048702ea,3,0.006053617875709886,0.009080426813564857,3,1.0,0.14213882031511016,0.23944637940873328,0.21209559419212676,0.40631920608402977
cond-93b3ada989afb7c59810,3,6.849561520800203e-05,8.522012592772354e-05,0,1.0,0.5266602590146946,0.23092896699959087,0.08273047604566654,0.15968029794004807
cond-95138c034ddd84d6c91e,3,1.3877787807814457e-17,1.3877787807814457e-17,3,1.0,0.03341765528013842,0.0988156828577021,0.016950352982152774,0.8508163088800066
cond-9698597d895bf28c92c9,3,3.372796096276035e-05,5.059194144402257e-05,1,1.0,0.11405283046555674,0.6029004061283986,0.036280819793178626,0.24676594361286597
cond-98277f4a3e908871b5eb,3,0.00012685273483898038,0.0001895434836023599,0,1.0,0.4825610672962355,0.32613716494989303,0.041410947612585174,0.1498908201412863
cond-98688e66ad42e812aef9,3,3.9943793432908534e-05,5.932329748482845e-05,1,1.0,0.10327764560214263,0.8029751576829797,0.014486376178054143,0.07926082053682364
cond-9c359776cfbd26e1209f,3,6.938893903907228e-18,6.938893903907228e-18,3,1.0,0.09059009666633433,0.17792672577542892,0.05529140788106344,0.6761917696771732
cond-9e0bc2458da5ed44af3d,3,4.107049109926727e-05,6.160573664892866e-05,1,1.0,0.23412561122996647,0.3236721766099214,0.14446768547746527,0.2977345266826468
cond-b269be3e505ece7d383d,5,0.0002993463021783632,0.00040414356406574814,1,1.0,0.36066571927627117,0.3935316161322293,0.06618935989586658,0.17961330469563297
cond-b2fdb86400597d671700,3,6.098651579654971e-05,9.147977369493472e-05,1,1.0,0.07064220801174846,0.8643009022511506,0.009226043214494538,0.05583084652260641
cond-b42d73a6d849ff95d8a6,3,6.98724462776211e-05,0.0001048086694162842,1,1.0,0.10768735905117895,0.7259046231062974,0.020660379540176348,0.14574763830234733
cond-b459da930a353f2ec5e0,3,0.00018702671305392596,0.00027717757927164105,1,1.0,0.11349703598420015,0.6008868599060126,0.03608046600414277,0.24953563810564436
cond-b77c7d171a33f4a835f2,3,2.3620051446034593e-06,3.543007717030089e-06,3,1.0,0.06339530026202896,0.13918028131204824,0.04269151308569217,0.7547329053402306
cond-b95414a49e47e1e18e23,5,0.00012713012802689772,0.0002361409349684318,0,1.0,0.34113745734018036,0.2950533455125478,0.1310724173759522,0.23273677977131962
cond-ba07470531ca335e20aa,5,0.0001099601759076807,0.00018410450481909368,2,1.0,0.18410846009318924,0.2243299257604138,0.36080151792311127,0.23076009622328578
cond-bb2c7ac9eb6cbc37169c,3,9.179160182535076e-05,0.00013768740273794808,1,1.0,0.09673138838537447,0.7350590092290384,0.018315523262714295,0.14989407912287284
cond-bb861cdd5341ce6892be,3,0.00011050479633983636,0.0001657571945098829,0,1.0,0.4722995094699964,0.298146548926693,0.05998029020334362,0.16957365139996708
cond-bd140430ae62137804c5,5,1.0505106763608606e-05,2.0677799219798176e-05,2,1.0,0.14735750678231357,0.1988550848019865,0.44378287310559966,0.21000453531010024
cond-bf30004dc48a40699fc7,5,0.0001672249814845872,0.00029945400726621996,0,1.0,0.4674292313635574,0.2894103872421592,0.06892602692614336,0.1742343544681401
cond-c0092f66631f1ae01fc6,3,2.0035825094672406e-05,3.0053737642046774e-05,1,1.0,0.12214717052767603,0.5538085538190717,0.043791113247091375,0.2802531624061609
cond-c2354b18983fde954627,3,6.976700974612819e-05,0.00010465051461913677,1,1.0,0.2488285253019263,0.33444553195732213,0.13999692514171688,0.27672901759903473
cond-c5b1cb80a15ad5f221e3,3,0.0003191796409393044,0.0004787694614088456,3,1.0,0.09972977967708851,0.3614883683024798,0.1064373580543538,0.4323444939660779
cond-c640c975692de84cae06,3,0.00014485382474691,0.00021728073712037888,1,1.0,0.2462557416708556,0.3639552765819826,0.1334484455184577,0.25634053622870406
cond-c7752535b0651ad3a347,5,1.6968312588912238e-06,2.2326738986049033e-06,3,1.0,0.02610401674398145,0.0732071353143294,0.023661628736157177,0.877027219205532
cond-cca388d51eb3c5986b3a,3,0.000296417602089441,0.0004446264031340956,1,1.0,0.11549723737685691,0.6618354378041884,0.025486414293139997,0.19718091052581477
cond-d183514acf4239fd7160,3,0.00015718688054653282,0.00023578032081982697,1,1.0,0.1954211524984892,0.6052930880715347,0.038474467429530555,0.1608112920004455
cond-d440ac0b04f4bf5b7186,3,0.00019759993047265464,0.0002963998957090097,1,1.0,0.2657932695931591,0.3553164783322457,0.1322616967562017,0.24662855531839348
cond-d58a1a7d57bc70acde3c,3,1.6216008260262298e-05,2.428284270727249e-05,1,1.0,0.15489058001837003,0.461969819231326,0.0538833403458114,0.3292562604044926
cond-d5afdbe598daf23c73c0,3,0.0001295818821247692,0.00019317076634640593,1,1.0,0.09671910131066601,0.7350187606175359,0.018312655047956827,0.14994948302384128
cond-d80fba772498162ebbf6,3,0.0005033438327429451,0.0007550157491144002,0,1.0,0.41473050694955704,0.3682238923491717,0.05723008282912632,0.1598155178721449
cond-da01e051b792b0e29b50,3,0.00015231482205924768,0.00022847223308902764,1,1.0,0.12890867411145657,0.7389731207681184,0.021531135304158715,0.11058706981626627
cond-ea1310ef7a785f25ad14,3,1.9434725192131927e-07,2.9152087782646774e-07,2,1.0,0.23431973393503314,0.256124072656368,0.25868295519487094,0.2508732382137279
cond-f461d0b4d2ee745f8be9,3,2.7755575615628914e-17,2.7755575615628914e-17,2,1.0,0.21295908333193106,0.24787082783950756,0.2862783651750454,0.2528917236535159
cond-f852b03bbba6d24405e1,3,1.9510145432000137e-06,2.6259087188562624e-06,1,1.0,0.249037081337063,0.33471981320015276,0.1401354326572116,0.27610767280557263
cond-fb730b7faa8045049194,5,5.655809112150717e-05,0.00012161143484909487,1,1.0,0.3879569402919417,0.4036724689602754,0.04236523015910348,0.16600536058867946
cond-fe7077a5b6b17cc15c54,3,0.000273535917895146,0.0004103038768427762,1,1.0,0.09656550939678787,0.7345843517237554,0.018278067123119635,0.1505720717563371
