query_run_id,hard_cluster,max_membership,top2_margin,membership_entropy,nearest_center_distance,nearest_center_distance_baseline_percentile,display_state,membership_c0,membership_c1,membership_c2,membership_c3
20260724T224036Z-repeatability-v1__pilot-balanced-v1_--4f19a423aa55--ion_global_user_join__lookback_days-30__limit_k-100,0,0.5283478231698981,0.2985578828610781,1.173084839059653,5.721855466729372,0.9058044806517311,mixed_boundary,0.5283478231698981,0.22978994030882008,0.0818337231123711,0.16002851340891064
20260724T224055Z-repeatability-v1__pilot-balanced-v1_--b236a78a235a--_rollup__lookback_days-7__min_value-900__limit_k-10,1,0.5131076637284018,0.18895606459112962,1.1120446521759548,2.608332005898198,0.5392057026476579,mixed_boundary,0.0988455432787487,0.5131076637284018,0.06389519385557732,0.32415159913727215
20260724T224109Z-repeatability-v1__pilot-balanced-v1_--f19771bc7362--u_tenant_id-1__us_tenant_id-10005__lookback_days-30,2,0.9723581701543194,0.9600292430113383,0.15535952793546748,1.1858364597614788,0.10641547861507128,clear_prototype,0.005359354820147367,0.009953547882552306,0.9723581701543194,0.012328927142981077
20260724T224123Z-repeatability-v1__pilot-balanced-v1_--539329890443--t__gac_fdw_top_tenants__lookback_days-3__limit_k-50,1,0.7144426950469963,0.5421482846468222,0.8526091744332136,1.5977813952035822,0.269857433808554,clear_prototype,0.08583636707963226,0.7144426950469963,0.027426527473197293,0.17229441040017407
20260724T224139Z-repeatability-v1__pilot-balanced-v1_--58cfb4b3bbf2--tenant_tier_left_join__lookback_days-1__limit_k-100,0,0.3959824335175247,0.10552721843589269,1.2848337782674137,4.364000897295314,0.8319755600814664,mixed_boundary,0.3959824335175247,0.290455215081632,0.09863196247037172,0.2149303889304715
20260724T224155Z-repeatability-v1__pilot-balanced-v1_--66db034caa84--__limit_k-100__payload_repeat-16__payload_width-512,3,0.43211003020410244,0.07047691284262819,1.1988599004765057,2.96331783238,0.6206720977596741,mixed_boundary,0.09977321800568904,0.36163311736147424,0.10648363442873426,0.43211003020410244
20260724T224209Z-repeatability-v1__pilot-balanced-v1_--4f19a423aa55--ion_global_user_join__lookback_days-30__limit_k-100,0,0.5282751352207609,0.2985073938316065,1.1731732583082817,5.72183467240743,0.9058044806517311,mixed_boundary,0.5282751352207609,0.22976774138915437,0.08182419428446398,0.1601329291056208
20260724T224228Z-repeatability-v1__pilot-balanced-v1_--8af220979f3b--vent_filter_summary__lookback_days-1__min_value-100,1,0.41469691955658744,0.05318068709949253,1.184564408158808,3.1626950770846727,0.6792260692464358,mixed_boundary,0.3615162324570949,0.41469691955658744,0.04828120424128864,0.175505643745029
20260724T224244Z-repeatability-v1__pilot-balanced-v1_--66db034caa84--__limit_k-100__payload_repeat-16__payload_width-512,3,0.43233957299734876,0.07084729935654432,1.1987077058543698,2.962291429390816,0.6206720977596741,mixed_boundary,0.09973066074472307,0.36149227364080444,0.10643749261712371,0.43233957299734876
20260724T224258Z-repeatability-v1__pilot-balanced-v1_--29477138269d--_event_filter_summary__lookback_days-3__min_value-0,1,0.4036743358517946,0.015720104000499946,1.1655710590950976,3.102456720251357,0.6608961303462322,mixed_boundary,0.38795423185129463,0.4036743358517946,0.04236583207993952,0.1660056002169713
20260724T224313Z-repeatability-v1__pilot-balanced-v1_--66db034caa84--__limit_k-100__payload_repeat-16__payload_width-512,3,0.4325838786967823,0.07124416479162149,1.1985487425992565,2.9612162791708374,0.6206720977596741,mixed_boundary,0.09968546028085344,0.3613397139051608,0.10639094711720345,0.4325838786967823
20260724T224327Z-repeatability-v1__pilot-balanced-v1_--39121cff7924--c_fdw_multiregion_event_full_scan_summary__case-001,2,0.2846519421086237,0.03040086153374849,1.3812190163213494,13.188027149539996,0.9928716904276986,weak_prototype_coverage,0.21400980031843087,0.2470871769980702,0.2846519421086237,0.2542510805748752
20260724T224342Z-repeatability-v1__pilot-balanced-v1_--f19771bc7362--u_tenant_id-1__us_tenant_id-10005__lookback_days-30,2,0.9723661305984366,0.9600389848300481,0.15532208438919382,1.185658027119333,0.10539714867617107,clear_prototype,0.005357173760766328,0.009949549872408736,0.9723661305984366,0.012327145768388456
20260724T224355Z-repeatability-v1__pilot-balanced-v1_--39121cff7924--c_fdw_multiregion_event_full_scan_summary__case-001,2,0.28465195038280594,0.030400891273841546,1.3812190166402742,13.188027196778709,0.9928716904276986,weak_prototype_coverage,0.2140098064165583,0.24708718409167132,0.28465195038280594,0.2542510591089644
20260724T224409Z-repeatability-v1__pilot-balanced-v1_--24ccfd75cda8--_etl_global_user_topk__lookback_days-14__limit_k-50,3,0.8508163088800066,0.7520006260223044,0.5488559611657226,1.277452895647532,0.13441955193482688,clear_prototype,0.03341765528013842,0.09881568285770212,0.016950352982152774,0.8508163088800066
20260724T224423Z-repeatability-v1__pilot-balanced-v1_--39dfbb7c776b--time-default__gac_etl_local_rollup__lookback_days-7,3,0.9043451878977684,0.8423009532384695,0.39875249978463284,1.0650311795089487,0.025458248472505093,clear_prototype,0.022525133091847085,0.06204423465929887,0.011085444351085758,0.9043451878977684
20260724T224437Z-repeatability-v1__pilot-balanced-v1_--2eb038d165f6--_rollup__lookback_days-7__min_value-500__limit_k-50,1,0.7668112203096589,0.6514009161738583,0.7610377946733,1.6571628780501177,0.2790224032586558,clear_prototype,0.09604884282579246,0.7668112203096589,0.021729632728748123,0.11541030413580051
20260724T224452Z-repeatability-v1__pilot-balanced-v1_--4aea96052fee--__limit_k-100__payload_repeat-64__payload_width-512,2,0.2637117159501579,0.010428574950223757,1.3851078566123096,13.90815674379542,0.9959266802443992,weak_prototype_coverage,0.23047679653964256,0.25328314099993415,0.2637117159501579,0.2525283465102654
20260724T224506Z-repeatability-v1__pilot-balanced-v1_--f19771bc7362--u_tenant_id-1__us_tenant_id-10005__lookback_days-30,2,0.9723560879615368,0.9600266904687089,0.1553693195839679,1.1858829982397558,0.10641547861507128,clear_prototype,0.0053599237684577045,0.009954590777177747,0.9723560879615368,0.012329397492827866
