pair_id,coordinator_fanin_rows,coordinator_fanin_bytes_estimated,coordinator_final_rows,coordinator_non_foreign_time_share_proxy,coordinator_join_operator_count,remote_region_actual_rows_sum,remote_region_tuple_bytes_sum,remote_region_task_count_sum,remote_citus_dependent_map_task_count_sum,remote_citus_repartition_fanout_ratio_max,worker_task_actual_rows_sum,worker_task_scan_actual_rows_sum,regional_coordinator_tx_bytes_sum,analytics_rx_bytes_sum,worker_tx_bytes_sum,os_cpu_busy_pct_mean,os_mem_used_peak_bytes_max,os_disk_read_bytes_sum,os_disk_written_bytes_sum,scenario_level,dataset_size_class,stressed_template_id,dataset_profile_id,logical_question_id,target_log2_gain,correctness_recovery_applied
pair-1c238776712b70c60755f748,578.0,13872.0,1.0,0.0002390232377561,0.0,22465.0,2146304.0,24.0,64.0,2.6666666666666665,2465.0,2465.0,582028.0,154094.0,4150294.0,39.54725,784338944.0,0.0,3612672.0,moderate,small,gac_fdw_single_edge_repartition_join_summary_pair,raw-small-balanced-v1,joined_event_summary,4.854191925879576,False
pair-1cdebbc81bce474c37a7a153,578.0,55488.0,100.0,5.733328721917966e-05,0.0,22465.0,2146304.0,24.0,64.0,2.6666666666666665,2465.0,2465.0,666414.0,234398.0,5418993.0,38.63175,779214848.0,0.0,2899968.0,moderate,small,gac_fdw_single_edge_repartition_joined_event_sample_pair,raw-small-balanced-wide-global-dim-v1,joined_event_sample,4.811226842247837,False
pair-288cbff987f60cafeba91116,102.0,7344.0,4.0,8.732029683565592e-06,0.0,2003216.0,213909504.0,24.0,256.0,10.666666666666666,3216.0,3216.0,3182596.0,229716.0,271024268.0,37.16525,898392064.0,32768.0,2049523712.0,sparse,large,gac_fdw_single_edge_repartition_user_join_pair,raw-large-balanced-wide-global-dim-v1,user_segment_topk,6.335050607309961,False
pair-2dfec967eca0f44903379a2d,578.0,55488.0,100.0,6.13137543003352e-05,0.0,22465.0,2146304.0,24.0,64.0,2.6666666666666665,2465.0,2465.0,662764.0,234398.0,4399962.0,39.0045,779522048.0,0.0,4612096.0,moderate,small,gac_fdw_single_edge_repartition_joined_event_sample_pair,raw-small-balanced-v1,joined_event_sample,4.669087914786451,False
pair-30132bc0777348864faaa7f3,192.0,13824.0,9.0,3.211237751847062e-05,0.0,200200.0,20971520.0,24.0,128.0,5.333333333333333,200.0,200.0,923741.0,20639.0,27666821.0,38.461,782225408.0,0.0,5095424.0,router,medium,gac_fdw_single_edge_repartition_user_join_pair,pilot-balanced-v1,user_segment_topk,6.7345080236861055,False
pair-34a74a8d70340e01a9472cbc,2.0,48.0,1.0,2.007405858782424e-05,0.0,20110.0,2146304.0,24.0,64.0,2.6666666666666665,110.0,110.0,443337.0,13607.0,4155104.0,39.23425,802615296.0,0.0,3268608.0,sparse,small,gac_fdw_single_edge_repartition_join_summary_pair,raw-small-balanced-v1,joined_event_summary,5.081946163316832,False
pair-38844d353db639cb3e78623d,2.0,144.0,2.0,2.194884537974136e-05,0.0,20110.0,2146304.0,24.0,64.0,2.6666666666666665,110.0,110.0,445977.0,14837.0,4164031.0,39.1,777318400.0,8192.0,2392064.0,sparse,small,gac_fdw_single_edge_repartition_user_join_pair,raw-small-balanced-v1,user_segment_topk,5.007527925727927,False
pair-3d73fd3e78c05f26f44a68aa,19384.0,1860864.0,100.0,0.0008575139842212,0.0,40000.0,2146304.0,24.0,64.0,2.6666666666666665,20000.0,20000.0,2287106.0,1855564.0,5160427.0,38.12775,777879552.0,0.0,1523712.0,broad,small,gac_fdw_single_edge_repartition_joined_event_sample_pair,raw-small-balanced-wide-global-dim-v1,joined_event_sample,3.933093963487112,False
pair-3f408d4e3ea8e452a6556694,14160.0,1019520.0,5.0,0.0005591389117139,0.0,2062616.0,213909504.0,24.0,256.0,10.666666666666666,62616.0,62616.0,7148452.0,4346354.0,277305808.0,36.7875,900935680.0,122880.0,2000650240.0,moderate,large,gac_fdw_single_edge_repartition_user_join_pair,raw-large-balanced-wide-global-dim-v1,user_segment_topk,5.242447754106646,False
pair-3fc5087101e14439cf784fdd,1935744.0,46457856.0,1.0,0.0548001770350426,0.0,4000000.0,213909504.0,24.0,256.0,10.666666666666666,2000000.0,2000000.0,125829128.0,123101778.0,236850430.0,30.917,885166080.0,57344.0,2015100928.0,broad,large,gac_fdw_single_edge_repartition_join_summary_pair,raw-large-balanced-v1,joined_event_summary,1.4203918843438563,False
