condition_id,execution_strategy,dataset_id,runtime_config_id,display_state,mean_pairwise_membership_l1,max_pairwise_membership_l1,mean_top_membership,mean_top2_margin,dominant_cluster_agreement
cond-49c0893fa0327bc1ad95,single_region_citus,pilot-balanced-v1,default,clear_prototype,1.4271651722422284e-07,2.973279415313668e-07,0.8421435578385245,0.7269092293982198,1.0
cond-4ce68d2509565ea28322,etl_materialized,pilot-balanced-v1,default,clear_prototype,0.0,0.0,0.9987722931936394,0.998176006706237,1.0
cond-4f778474755e588e8aa1,multiregion_union,pilot-balanced-v1,default,clear_prototype,3.5839838742841856e-05,7.478987442108634e-05,0.8879332478861846,0.8220150765491561,1.0
cond-5e469422c082309ca012,single_region_citus,pilot-balanced-v1,default,clear_prototype,0.0,0.0,0.9391889812098906,0.8935283591973097,1.0
cond-5faa3019b230f5846285,etl_materialized,pilot-skew-heavy-v1,default,clear_prototype,0.0,0.0,0.9987722931936394,0.998176006706237,1.0
cond-626acafcfab45b04176a,multiregion_union,pilot-skew-heavy-v1,default,clear_prototype,4.176825501375711e-06,6.022904408228055e-06,0.9592881763745617,0.9340074143697388,1.0
cond-655121eb744d31a08ad7,multiregion_union,pilot-region-imbalanced-v1,wan_100ms,clear_prototype,1.5961086777723418e-07,2.394163016658513e-07,0.6132391619623022,0.3825300870768396,1.0
cond-656e5fefb973b7da7046,fdw_raw,pilot-skew-heavy-v1,default,clear_prototype,0.0001450452708823,0.0002175679063235,0.9872378337885012,0.9798728916453332,1.0
cond-65b11355ad1f90ca6542,etl_materialized,pilot-skew-heavy-v1,default,clear_prototype,0.0,0.0,0.9980100548540298,0.9970552357180336,1.0
cond-6c9e6448bb422a2bdfa0,multiregion_union,pilot-balanced-v1,default,clear_prototype,9.89189198777127e-06,1.4129638141681736e-05,0.9643917350087774,0.9425794477641812,1.0
cond-70d7bcd7626b433cb422,fdw_raw,pilot-balanced-v1,work_mem_low,clear_prototype,3.1975944274562538e-06,4.7963916411843804e-06,0.9633458325494092,0.9425328229424248,1.0
cond-72bfefbb5c0254ea65c6,multiregion_union,pilot-region-local-skew-asymmetric-medium-v1,wan_40ms,clear_prototype,7.96368909812666e-08,1.194553364718999e-07,0.9810609720648664,0.9692739084790052,1.0
cond-75c7c8787cb7f09cef45,multiregion_union,pilot-balanced-v1,wan_0ms,clear_prototype,3.341404205002968e-07,5.005350977363692e-07,0.97895578074288,0.9659034025789356,1.0
cond-786bf7b48205fb7374ea,multiregion_union,pilot-balanced-v1,default,clear_prototype,2.0121181926115637e-05,3.0181772889173453e-05,0.823108768241339,0.6958251421570191,1.0
cond-791c5fc733f60b39e7fe,fdw_raw,pilot-balanced-v1,default,clear_prototype,1.2905181217093536e-05,1.9357771825640304e-05,0.9915232468768718,0.98663498945086,1.0
cond-7a2af6ca1005b4f9873f,multiregion_union,pilot-balanced-v1,wan_100ms,clear_prototype,9.851822854129176e-05,0.00014777449399,0.9320786773380026,0.888616273137966,1.0
cond-7a5d985fe2a5157c737d,fdw_raw,pilot-balanced-v1,default,clear_prototype,3.386851433583131e-05,7.392844638049595e-05,0.8199921398400066,0.7059626813791727,1.0
